"dataset","valAccuracy","blockForm","learningrate","nblocks","nhidden","testAccuracy","bottleneck"
"hepatitis",0.75625,"diavolo",0.01,16,256,0.769230782985687,0.5
"hepatitis",0.75625,"rect",0.01,2,256,0.794871807098389,0.5
"hepatitis",0.75625,"diavolo",0.1,4,512,0.794871807098389,0.5
"hepatitis",0.75625,"rect",0.1,4,256,0.743589758872986,0.25
"hepatitis",0.75625,"diavolo",0.01,3,512,0.769230782985687,0.5
"hepatitis",0.75625,"rect",0.1,2,1024,0.82051283121109,0.25
"hepatitis",0.75625,"rect",0.1,2,512,0.846153855323792,0.5
"hepatitis",0.75,"diavolo",0.01,8,1024,0.871794879436493,0.5
"hepatitis",0.75,"rect",0.01,8,256,0.794871807098389,0.25
"hepatitis",0.75,"diavolo",0.01,8,256,0.717948734760284,0.25
"hepatitis",0.75,"rect",0.1,8,256,0.794871807098389,0.25
"hepatitis",0.75,"rect",0.1,8,256,0.82051283121109,0.5
"hepatitis",0.75,"rect",0.01,4,1024,0.794871807098389,0.25
"hepatitis",0.75,"diavolo",0.01,4,512,0.794871807098389,0.5
"hepatitis",0.75,"rect",0.01,4,256,0.82051283121109,0.25
"hepatitis",0.75,"rect",0.1,4,512,0.871794879436493,0.25
"hepatitis",0.75,"diavolo",0.1,4,256,0.794871807098389,0.25
"hepatitis",0.75,"rect",0.01,3,1024,0.769230782985687,0.25
"hepatitis",0.75,"rect",0.01,3,1024,0.769230782985687,0.5
"hepatitis",0.75,"diavolo",0.01,3,512,0.794871807098389,0.25
"hepatitis",0.75,"rect",0.01,3,256,0.846153855323792,0.5
"hepatitis",0.75,"diavolo",0.01,3,256,0.82051283121109,0.25
"hepatitis",0.75,"diavolo",0.01,3,256,0.794871807098389,0.5
"hepatitis",0.75,"rect",0.1,3,1024,0.846153855323792,0.25
"hepatitis",0.75,"rect",0.1,3,512,0.794871807098389,0.25
"hepatitis",0.75,"rect",0.1,3,512,0.769230782985687,0.5
"hepatitis",0.75,"diavolo",0.1,3,512,0.897435903549194,0.25
"hepatitis",0.75,"rect",0.1,3,256,0.846153855323792,0.25
"hepatitis",0.75,"rect",0.01,2,1024,0.82051283121109,0.25
"hepatitis",0.75,"diavolo",0.01,2,1024,0.743589758872986,0.5
"hepatitis",0.75,"diavolo",0.01,2,256,0.794871807098389,0.5
"hepatitis",0.75,"rect",0.1,2,1024,0.846153855323792,0.5
"hepatitis",0.75,"diavolo",0.1,2,1024,0.769230782985687,0.25
"hepatitis",0.75,"rect",0.1,2,512,0.871794879436493,0.25
"hepatitis",0.75,"diavolo",0.1,2,512,0.794871807098389,0.25
"hepatitis",0.75,"rect",0.1,2,256,0.794871807098389,0.25
"hepatitis",0.75,"diavolo",0.1,16,256,0.794871807098389,0.25
"hepatitis",0.74375,"diavolo",0.01,16,512,0.846153855323792,0.5
"hepatitis",0.74375,"diavolo",0.01,2,256,0.794871807098389,0.25
"hepatitis",0.74375,"rect",0.01,16,512,0.846153855323792,0.25
"hepatitis",0.74375,"rect",0.01,8,1024,0.871794879436493,0.5
"hepatitis",0.74375,"diavolo",0.01,8,1024,0.82051283121109,0.25
"hepatitis",0.74375,"rect",0.01,4,1024,0.794871807098389,0.5
"hepatitis",0.74375,"rect",0.01,4,256,0.769230782985687,0.5
"hepatitis",0.74375,"rect",0.1,4,512,0.871794879436493,0.5
"hepatitis",0.74375,"diavolo",0.01,3,1024,0.794871807098389,0.5
"hepatitis",0.74375,"diavolo",0.1,2,256,0.769230782985687,0.5
"hepatitis",0.7375,"rect",0.1,3,256,0.794871807098389,0.5
"hepatitis",0.73125,"rect",0.01,16,1024,0.846153855323792,0.5
"hepatitis",0.73125,"diavolo",0.01,16,1024,0.794871807098389,0.25
"hepatitis",0.73125,"rect",0.1,4,256,0.82051283121109,0.5
"hepatitis",0.725,"rect",0.01,4,512,0.743589758872986,0.5
"hepatitis",0.725,"rect",0.01,2,1024,0.794871807098389,0.5
"hepatitis",0.71875,"rect",0.01,16,512,0.82051283121109,0.5
"hepatitis",0.71875,"diavolo",0.01,8,512,0.666666686534882,0.5
"hepatitis",0.71875,"diavolo",0.1,8,256,0.769230782985687,0.5
"hepatitis",0.7125,"rect",0.01,16,1024,0.82051283121109,0.25
"hepatitis",0.70625,"rect",0.01,8,512,0.794871807098389,0.25
"hepatitis",0.7,"diavolo",0.01,16,512,0.794871807098389,0.25
"hepatitis",0.7,"rect",0.01,16,256,0.794871807098389,0.25
"hepatitis",0.7,"rect",0.01,8,512,0.794871807098389,0.5
"hepatitis",0.7,"diavolo",0.01,8,512,0.717948734760284,0.25
"hepatitis",0.7,"diavolo",0.1,8,256,0.794871807098389,0.25
"hepatitis",0.69375,"rect",0.01,8,256,0.717948734760284,0.5
"hepatitis",0.69375,"diavolo",0.1,8,1024,0.794871807098389,0.25
"hepatitis",0.6875,"diavolo",0.1,16,1024,0.794871807098389,0.25
"hepatitis",0.6875,"diavolo",0.1,16,512,0.794871807098389,0.25
"hepatitis",0.6875,"rect",0.1,16,256,0.794871807098389,0.25
"hepatitis",0.6875,"diavolo",0.1,16,256,0.794871807098389,0.5
"hepatitis",0.6875,"diavolo",0.1,8,1024,0.794871807098389,0.5
"hepatitis",0.6875,"rect",0.1,8,512,0.794871807098389,0.5
"hepatitis",0.6875,"diavolo",0.1,8,512,0.794871807098389,0.5
"hepatitis",0.6875,"diavolo",0.01,4,1024,0.769230782985687,0.25
"hepatitis",0.6875,"diavolo",0.01,4,512,0.794871807098389,0.25
"hepatitis",0.6875,"diavolo",0.01,4,256,0.692307710647583,0.5
"hepatitis",0.6875,"rect",0.1,4,1024,0.794871807098389,0.25
"hepatitis",0.6875,"rect",0.1,4,1024,0.794871807098389,0.5
"hepatitis",0.6875,"diavolo",0.01,3,1024,0.82051283121109,0.25
"hepatitis",0.6875,"rect",0.01,2,512,0.82051283121109,0.5
"hepatitis",0.6875,"diavolo",0.01,2,512,0.82051283121109,0.25
"hepatitis",0.6875,"rect",0.01,2,256,0.82051283121109,0.25
"hepatitis",0.63125,"rect",0.01,3,256,0.794871807098389,0.25
"hepatitis",0.56875,"rect",0.1,8,512,0.794871807098389,0.25
"hepatitis",0.50625,"diavolo",0.1,16,512,0.282051295042038,0.5
"hepatitis",0.4875,"rect",0.1,8,1024,0.666666686534882,0.5
"hepatitis",0.425,"rect",0.1,16,256,0.205128207802773,0.5
"hepatitis",0.425,"diavolo",1,3,256,0.205128207802773,0.25
"hepatitis",0.3875,"rect",0.1,8,1024,0.205128207802773,0.25
"hepatitis",0.3875,"rect",1,4,1024,0.205128207802773,0.25
"hepatitis",0.3875,"diavolo",1,4,512,0.205128207802773,0.25
"hepatitis",0.3875,"diavolo",1,3,1024,0.205128207802773,0.25
"hepatitis",0.3875,"rect",1,2,512,0.205128207802773,0.25
"hepatitis",0.3875,"diavolo",1,2,512,0.205128207802773,0.25
"hepatitis",0.3875,"diavolo",1,2,512,0.205128207802773,0.5
"hepatitis",0.3875,"rect",1,2,256,0.205128207802773,0.25
"hepatitis",0.38125,"rect",1,4,1024,0.205128207802773,0.5
"hepatitis",0.35625,"diavolo",1,8,512,0.205128207802773,0.25
"hepatitis",0.35,"rect",0.1,16,512,0.205128207802773,0.5
"hepatitis",0.35,"rect",1,4,512,0.205128207802773,0.5
"hepatitis",0.35,"diavolo",1,4,512,0.205128207802773,0.5
"hepatitis",0.35,"diavolo",1,4,256,0.205128207802773,0.25
"hepatitis",0.35,"rect",1,3,1024,0.205128207802773,0.25
"hepatitis",0.35,"diavolo",1,3,1024,0.205128207802773,0.5
"hepatitis",0.35,"rect",1,3,512,0.205128207802773,0.5
"hepatitis",0.35,"diavolo",1,3,512,0.205128207802773,0.25
"hepatitis",0.35,"diavolo",1,3,512,0.205128207802773,0.5
"hepatitis",0.35,"rect",1,3,256,0.205128207802773,0.25
"hepatitis",0.35,"rect",1,2,1024,0.205128207802773,0.5
"hepatitis",0.35,"diavolo",1,2,1024,0.205128207802773,0.5
"hepatitis",0.35,"rect",1,2,512,0.205128207802773,0.5
"hepatitis",0.35,"rect",1,2,256,0.205128207802773,0.5
"hepatitis",0.35,"diavolo",1,2,256,0.205128207802773,0.25
"hepatitis",0.34375,"diavolo",0.1,16,1024,0.205128207802773,0.5
"hepatitis",0.3375,"diavolo",1,16,512,0.205128207802773,0.25
"hepatitis",0.3125,"rect",0.1,16,1024,0.205128207802773,0.25
"hepatitis",0.3125,"rect",0.1,16,1024,0.205128207802773,0.5
"hepatitis",0.3125,"rect",0.1,16,512,0.205128207802773,0.25
"hepatitis",0.3125,"rect",1,16,1024,0.205128207802773,0.25
"hepatitis",0.3125,"rect",1,16,1024,0.205128207802773,0.5
"hepatitis",0.3125,"diavolo",1,16,1024,0.205128207802773,0.25
"hepatitis",0.3125,"diavolo",1,16,1024,0.205128207802773,0.5
"hepatitis",0.3125,"rect",1,16,512,0.205128207802773,0.25
"hepatitis",0.3125,"rect",1,16,512,0.205128207802773,0.5
"hepatitis",0.3125,"diavolo",1,16,512,0.205128207802773,0.5
"hepatitis",0.3125,"rect",1,16,256,0.205128207802773,0.25
"hepatitis",0.3125,"rect",1,16,256,0.205128207802773,0.5
"hepatitis",0.3125,"diavolo",1,16,256,0.205128207802773,0.25
"hepatitis",0.3125,"diavolo",1,16,256,0.205128207802773,0.5
"hepatitis",0.3125,"rect",1,8,1024,0.205128207802773,0.25
"hepatitis",0.3125,"rect",1,8,1024,0.205128207802773,0.5
"hepatitis",0.3125,"diavolo",1,8,1024,0.205128207802773,0.25
"hepatitis",0.3125,"diavolo",1,8,1024,0.205128207802773,0.5
"hepatitis",0.3125,"rect",1,8,512,0.205128207802773,0.25
"hepatitis",0.3125,"rect",1,8,512,0.205128207802773,0.5
"hepatitis",0.3125,"diavolo",1,8,512,0.205128207802773,0.5
"hepatitis",0.3125,"rect",1,8,256,0.205128207802773,0.25
"hepatitis",0.3125,"rect",1,8,256,0.205128207802773,0.5
"hepatitis",0.3125,"diavolo",1,8,256,0.205128207802773,0.25
"hepatitis",0.3125,"diavolo",1,8,256,0.205128207802773,0.5
"hepatitis",0.3125,"diavolo",1,4,1024,0.205128207802773,0.25
"hepatitis",0.3125,"diavolo",1,4,1024,0.205128207802773,0.5
"hepatitis",0.3125,"rect",1,4,512,0.205128207802773,0.25
"hepatitis",0.3125,"rect",1,4,256,0.205128207802773,0.25
"hepatitis",0.3125,"rect",1,4,256,0.205128207802773,0.5
"hepatitis",0.3125,"diavolo",1,4,256,0.205128207802773,0.5
"hepatitis",0.3125,"rect",1,3,1024,0.205128207802773,0.5
"hepatitis",0.3125,"rect",1,3,512,0.205128207802773,0.25
"hepatitis",0.3125,"rect",1,3,256,0.205128207802773,0.5
"hepatitis",0.3125,"diavolo",1,3,256,0.205128207802773,0.5
"hepatitis",0.3125,"rect",1,2,1024,0.205128207802773,0.25
"hepatitis",0.3125,"diavolo",1,2,1024,0.205128207802773,0.25
"hepatitis",0.3125,"diavolo",1,2,256,0.205128207802773,0.5
