"dataset","valAccuracy","testAccuracy","learningrate","nhidden","nlayers","layerForm"
"magic",0.87262407541275,0.867087364196777,0.01,256,16,"cone"
"magic",0.872624069452286,0.86014723777771,0.01,256,4,"cone"
"magic",0.872624063491821,0.870031595230103,0.01,256,3,"rect"
"magic",0.872482216358185,0.862881243228912,0.1,1024,2,"rect"
"magic",0.872411334514618,0.861619412899017,1,1024,8,"cone"
"magic",0.872269457578659,0.863301873207092,1,512,4,"rect"
"magic",0.871843934059143,0.872134685516357,0.01,1024,3,"cone"
"magic",0.871773010492325,0.864353358745575,0.1,256,2,"rect"
"magic",0.871631157398224,0.871083080768585,1,512,8,"rect"
"magic",0.871631151437759,0.865825533866882,0.1,1024,4,"cone"
"magic",0.871134722232819,0.864984273910522,0.01,1024,2,"rect"
"magic",0.870921951532364,0.867297649383545,0.1,256,3,"rect"
"magic",0.870567333698273,0.860778212547302,0.1,512,2,"rect"
"magic",0.870070886611939,0.861198842525482,0.01,1024,4,"cone"
"magic",0.869716256856918,0.866666674613953,1,1024,16,"rect"
"magic",0.86936166882515,0.86729770898819,0.01,512,3,"rect"
"magic",0.868865221738815,0.86098849773407,1,256,16,"cone"
"magic",0.868723386526108,0.865404903888702,1,512,16,"rect"
"magic",0.868652451038361,0.867087364196777,0.1,512,3,"rect"
"magic",0.867943233251572,0.86182975769043,0.1,256,4,"rect"
"magic",0.86773048043251,0.852576315402985,0.01,512,16,"cone"
"magic",0.867163103818893,0.848580479621887,0.01,512,4,"rect"
"magic",0.866950303316116,0.858044266700745,0.1,256,32,"rect"
"magic",0.866595667600632,0.829232454299927,1,512,16,"cone"
"magic",0.866524797677994,0.863301813602448,0.01,256,32,"rect"
"magic",0.866099268198013,0.856361746788025,0.01,512,32,"rect"
"magic",0.86602835059166,0.854469060897827,0.01,256,4,"rect"
"magic",0.866028326749802,0.857833981513977,0.1,1024,32,"rect"
"magic",0.865744650363922,0.86225038766861,0.1,1024,3,"rect"
"magic",0.865390038490295,0.859095752239227,0.1,1024,16,"cone"
"magic",0.865177261829376,0.863722562789917,0.01,1024,4,"rect"
"magic",0.86453897356987,0.85594117641449,0.1,512,8,"cone"
"magic",0.864538961648941,0.858885526657104,0.01,1024,3,"rect"
"magic",0.863900673389435,0.858254551887512,0.01,256,8,"cone"
"magic",0.863404220342636,0.856151461601257,0.01,1024,8,"cone"
"magic",0.863404220342636,0.838275611400604,1,1024,3,"rect"
"magic",0.862978672981262,0.845215618610382,0.01,512,8,"rect"
"magic",0.862836843729019,0.854469060897827,0.01,1024,8,"rect"
"magic",0.86219853758812,0.855520606040955,0.1,512,32,"rect"
"magic",0.86212762594223,0.854469060897827,0.01,1024,32,"rect"
"magic",0.861843919754028,0.850473284721375,0.1,512,16,"rect"
"magic",0.861276543140411,0.860778272151947,1,256,16,"rect"
"magic",0.860780084133148,0.855099976062775,0.01,512,8,"cone"
"magic",0.859929049015045,0.85383814573288,0.1,512,8,"rect"
"magic",0.859574455022812,0.851524889469147,0.1,512,4,"rect"
"magic",0.858368760347366,0.849421679973602,0.1,256,16,"rect"
"magic",0.857375872135162,0.865194618701935,0.1,1024,4,"rect"
"magic",0.856879407167435,0.843743443489075,0.1,256,8,"rect"
"magic",0.854113429784775,0.844374418258667,0.01,256,8,"rect"
"magic",0.852907776832581,0.843112587928772,0.01,256,16,"rect"
"magic",0.849078005552292,0.838906526565552,0.1,512,16,"cone"
"magic",0.848439681529999,0.842692077159882,0.01,1024,16,"rect"
"magic",0.847092193365097,0.830283999443054,0.01,512,16,"rect"
"magic",0.843687921762466,0.808832883834839,1,256,8,"cone"
"magic",0.833900684118271,0.833017945289612,0.1,1024,8,"cone"
"magic",0.818368768692017,0.825867533683777,0.01,256,32,"cone"
"magic",0.814113426208496,0.810725629329681,1,1024,4,"rect"
"magic",0.80999995470047,0.801892817020416,0.1,512,32,"cone"
"magic",0.808085083961487,0.793901205062866,0.01,1024,16,"cone"
"magic",0.80425528883934,0.808622598648071,1,512,32,"cone"
"magic",0.790070909261704,0.767823398113251,0.1,512,3,"cone"
"magic",0.75943261384964,0.805678308010101,0.1,1024,16,"rect"
"magic",0.733971646428108,0.814090430736542,0.1,1024,8,"rect"
"magic",0.717092180252075,0.667297661304474,1,1024,2,"cone"
"magic",0.713758820295334,0.705362796783447,0.01,512,2,"cone"
"magic",0.702978676557541,0.757097780704498,0.1,1024,2,"cone"
"magic",0.656808537244797,0.648370206356049,0.1,256,32,"cone"
"magic",0.651063859462738,0.648370146751404,0.01,1024,32,"cone"
"magic",0.651063859462738,0.648370146751404,0.01,512,32,"cone"
"magic",0.651063859462738,0.648370146751404,0.1,1024,32,"cone"
"magic",0.651063859462738,0.648370146751404,1,1024,32,"cone"
"magic",0.651063859462738,0.648370146751404,1,1024,32,"rect"
"magic",0.651063859462738,0.648370146751404,1,512,32,"rect"
"magic",0.651063859462738,0.648370146751404,1,256,32,"cone"
"magic",0.651063859462738,0.648370146751404,1,256,32,"rect"
"magic",0.47312054336071,0.496950596570969,0.1,256,16,"cone"
