"dataset","nlayers","testAccuracy","learningrate","layerForm","nhidden","valAccuracy"
"optical",16,0.948247075080872,0.1,"cone",1024,0.965343904495239
"optical",8,0.94323867559433,0.01,"cone",512,0.964550274610519
"optical",8,0.94323867559433,0.01,"cone",1024,0.963756603002548
"optical",4,0.956037759780884,0.1,"rect",1024,0.960581982135773
"optical",16,0.942125678062439,0.01,"cone",512,0.960052889585495
"optical",32,0.944908142089844,0.01,"rect",1024,0.959788334369659
"optical",3,0.930439651012421,0.01,"cone",512,0.957407379150391
"optical",3,0.94323867559433,0.1,"cone",1024,0.953703653812409
"optical",32,0.938786804676056,0.1,"cone",1024,0.95317457318306
"optical",4,0.949916481971741,0.1,"rect",512,0.952380895614624
"optical",3,0.944351673126221,0.01,"rect",1024,0.949999916553497
"optical",2,0.934891402721405,0.01,"cone",512,0.949735403060913
"optical",16,0.937117397785187,0.01,"cone",256,0.944708967208862
"optical",16,0.951029479503632,1,"rect",1024,0.941005277633667
"optical",32,0.934891402721405,0.1,"rect",512,0.937830662727356
"optical",4,0.936004340648651,0.01,"rect",1024,0.934391486644745
"optical",4,0.929883122444153,0.01,"rect",256,0.932539641857147
"optical",3,0.902058959007263,0.01,"cone",1024,0.930687808990479
"optical",4,0.918753504753113,0.01,"cone",1024,0.92830685377121
"optical",8,0.912075638771057,0.1,"cone",1024,0.923544955253601
"optical",4,0.902058959007263,0.01,"rect",512,0.920370358228684
"optical",16,0.923205316066742,0.01,"rect",256,0.91798939704895
"optical",16,0.887033939361572,0.01,"rect",512,0.880952376127243
"optical",16,0.852532029151917,0.01,"cone",1024,0.86031745672226
"optical",32,0.808013319969177,0.1,"cone",256,0.850529080629349
"optical",8,0.824707865715027,0.1,"rect",512,0.836507922410965
"optical",8,0.776850342750549,0.1,"rect",1024,0.788624310493469
"optical",8,0.41457986831665,0.01,"rect",512,0.395238080620766
"optical",8,0.356705635786057,0.01,"rect",256,0.378835982084274
"optical",8,0.195325538516045,0.01,"rect",1024,0.237301587313414
"optical",32,0.0996104627847672,0.01,"cone",1024,0.119312166422606
"optical",32,0.1012799218297,0.01,"cone",256,0.116402112692595
"optical",16,0.0990539789199829,0.01,"rect",1024,0.114021167904139
"optical",32,0.137451320886612,0.01,"rect",256,0.109259255975485
"optical",32,0.100723430514336,1,"cone",256,0.104761904478073
"optical",32,0.0984975099563599,0.1,"cone",512,0.104232800751925
"optical",32,0.100723430514336,0.1,"rect",1024,0.103174602240324
"optical",32,0.0990539863705635,1,"rect",1024,0.10211640521884
"optical",32,0.106288254261017,0.01,"cone",512,0.10185185149312
"optical",32,0.0990539863705635,1,"rect",256,0.101587304472923
"optical",32,0.0990539863705635,0.1,"rect",256,0.100529104471207
"optical",32,0.101836405694485,1,"rect",512,0.100529097020626
"optical",32,0.1012799218297,1,"cone",1024,0.100529096275568
"optical",32,0.117974400520325,0.01,"rect",512,0.0978835932910442
"optical",32,0.100723423063755,1,"cone",512,0.0952380880713463
