"dataset","learningrate","nhidden","layerForm","nlayers","valAccuracy","testAccuracy"
"molec-biol-promoter",1,1024,"cone",16,0.511111128330231,0.5
"molec-biol-promoter",0.1,256,"cone",4,0.511111128330231,0.692307710647583
"molec-biol-promoter",1,1024,"rect",16,0.500000014901161,0.5
"molec-biol-promoter",1,256,"cone",32,0.500000014901161,0.5
"molec-biol-promoter",1,512,"rect",16,0.488888904452324,0.5
"molec-biol-promoter",1,256,"rect",32,0.488888901472092,0.5
"molec-biol-promoter",0.1,256,"cone",32,0.466666674613953,0.5
"molec-biol-promoter",0.01,256,"cone",8,0.455555561184883,0.5
"molec-biol-promoter",0.01,1024,"cone",16,0.455555561184883,0.5
"molec-biol-promoter",0.01,512,"cone",16,0.455555561184883,0.5
"molec-biol-promoter",0.01,1024,"cone",32,0.444444447755814,0.5
"molec-biol-promoter",0.01,512,"cone",32,0.444444447755814,0.5
"molec-biol-promoter",0.01,256,"cone",32,0.444444447755814,0.5
"molec-biol-promoter",0.1,512,"cone",32,0.444444447755814,0.5
"molec-biol-promoter",1,1024,"rect",32,0.444444447755814,0.5
"molec-biol-promoter",1,512,"rect",32,0.444444447755814,0.5
"molec-biol-promoter",0.01,256,"cone",16,0.444444447755814,0.5
"molec-biol-promoter",0.1,1024,"cone",16,0.444444447755814,0.5
"molec-biol-promoter",0.01,1024,"cone",8,0.444444447755814,0.5
"molec-biol-promoter",0.01,512,"cone",2,0.444444447755814,0.653846204280853
