"dataset","nhidden","testAccuracy","learningrate","layerForm","nlayers","valAccuracy"
"breast-cancer-wisc",512,0.948571443557739,0.01,"rect",3,0.932258009910584
"breast-cancer-wisc",1024,0.971428573131561,0.1,"rect",3,0.930645108222962
"breast-cancer-wisc",1024,0.977142870426178,1,"rect",3,0.930645108222962
"breast-cancer-wisc",1024,0.971428573131561,0.01,"rect",3,0.929032206535339
"breast-cancer-wisc",1024,0.982857167720795,0.1,"cone",3,0.929032206535339
"breast-cancer-wisc",256,0.965714275836945,0.01,"rect",3,0.927419304847717
"breast-cancer-wisc",512,0.965714335441589,0.01,"rect",4,0.922580599784851
"breast-cancer-wisc",256,0.971428632736206,0.01,"cone",2,0.922580599784851
"breast-cancer-wisc",256,0.965714275836945,0.01,"rect",4,0.919354796409607
"breast-cancer-wisc",512,0.982857167720795,0.01,"cone",2,0.919354796409607
"breast-cancer-wisc",256,0.965714275836945,0.1,"rect",2,0.919354796409607
"breast-cancer-wisc",512,0.959999978542328,0.1,"rect",16,0.917741894721985
"breast-cancer-wisc",512,0.977142870426178,0.01,"cone",3,0.917741894721985
"breast-cancer-wisc",256,0.959999978542328,0.01,"rect",2,0.917741894721985
"breast-cancer-wisc",1024,0.982857167720795,0.1,"rect",8,0.911290287971497
"breast-cancer-wisc",512,0.982857167720795,0.1,"rect",8,0.904838681221008
"breast-cancer-wisc",512,0.828571379184723,1,"cone",8,0.891935461759567
"breast-cancer-wisc",256,0.977142870426178,0.1,"cone",3,0.887096756696701
"breast-cancer-wisc",256,0.937142848968506,0.1,"rect",16,0.874193549156189
"breast-cancer-wisc",1024,0.891428589820862,0.1,"cone",4,0.841935455799103
"breast-cancer-wisc",512,0.948571443557739,0.01,"cone",4,0.840322560071945
"breast-cancer-wisc",256,0.8857142329216,0.01,"cone",4,0.827419304847717
"breast-cancer-wisc",512,0.674285650253296,1,"rect",2,0.806451559066773
"breast-cancer-wisc",256,0.845714211463928,0.1,"rect",8,0.801612889766693
"breast-cancer-wisc",256,0.868571400642395,1,"rect",16,0.762903189659119
"breast-cancer-wisc",512,0.73714280128479,0.1,"cone",4,0.73548384308815
"breast-cancer-wisc",256,0.714285671710968,0.01,"rect",8,0.730645149946213
"breast-cancer-wisc",1024,0.725714266300201,0.01,"rect",8,0.722580635547638
"breast-cancer-wisc",512,0.839999973773956,1,"rect",4,0.716129001975059
"breast-cancer-wisc",1024,0.697142839431763,0.1,"cone",8,0.693548381328583
"breast-cancer-wisc",512,0.714285612106323,0.01,"rect",8,0.683870953321457
"breast-cancer-wisc",256,0.839999973773956,0.01,"rect",32,0.680645143985748
"breast-cancer-wisc",512,0.662857115268707,0.1,"cone",8,0.627419346570969
"breast-cancer-wisc",512,0.697142899036407,0.1,"cone",3,0.606451588869095
"breast-cancer-wisc",1024,0.657142877578735,1,"cone",16,0.60322579741478
"breast-cancer-wisc",256,0.657142877578735,0.01,"cone",8,0.575806444883347
"breast-cancer-wisc",1024,0.657142817974091,0.01,"cone",32,0.564516127109528
"breast-cancer-wisc",256,0.657142817974091,0.01,"cone",32,0.564516127109528
"breast-cancer-wisc",512,0.657142817974091,0.1,"cone",32,0.564516127109528
"breast-cancer-wisc",256,0.657142877578735,0.1,"cone",32,0.564516127109528
"breast-cancer-wisc",512,0.657142877578735,1,"rect",32,0.564516127109528
"breast-cancer-wisc",256,0.657142877578735,1,"cone",32,0.564516127109528
"breast-cancer-wisc",1024,0.657142817974091,0.01,"cone",16,0.564516127109528
"breast-cancer-wisc",1024,0.657142877578735,0.01,"rect",16,0.564516127109528
"breast-cancer-wisc",512,0.657142817974091,0.01,"cone",16,0.564516127109528
"breast-cancer-wisc",512,0.657142817974091,0.01,"rect",16,0.564516127109528
"breast-cancer-wisc",256,0.657142817974091,0.01,"cone",16,0.564516127109528
"breast-cancer-wisc",256,0.657142877578735,0.01,"rect",16,0.564516127109528
"breast-cancer-wisc",1024,0.657142817974091,0.1,"cone",16,0.564516127109528
"breast-cancer-wisc",512,0.657142877578735,0.1,"cone",16,0.564516127109528
"breast-cancer-wisc",256,0.657142817974091,0.1,"cone",16,0.564516127109528
"breast-cancer-wisc",512,0.657142877578735,1,"cone",16,0.564516127109528
"breast-cancer-wisc",1024,0.657142877578735,0.01,"cone",8,0.564516127109528
"breast-cancer-wisc",512,0.657142877578735,0.01,"cone",8,0.564516127109528
"breast-cancer-wisc",256,0.657142817974091,0.1,"cone",8,0.564516127109528
"breast-cancer-wisc",256,0.657142877578735,0.1,"cone",4,0.564516127109528
"breast-cancer-wisc",512,0.348571389913559,0.01,"cone",32,0.554838693141937
"breast-cancer-wisc",1024,0.657142877578735,1,"cone",32,0.512903225421906
"breast-cancer-wisc",512,0.342857122421265,1,"cone",32,0.5
"breast-cancer-wisc",1024,0.342857092618942,1,"rect",16,0.467741936445236
"breast-cancer-wisc",256,0.342857122421265,1,"rect",32,0.461290323734284
"breast-cancer-wisc",1024,0.342857122421265,1,"rect",8,0.456451612710953
"breast-cancer-wisc",256,0.342857122421265,0.1,"rect",32,0.448387098312378
"breast-cancer-wisc",1024,0.342857122421265,1,"rect",32,0.448387098312378
"breast-cancer-wisc",256,0.342857152223587,1,"cone",16,0.448387098312378
"breast-cancer-wisc",1024,0.342857152223587,0.01,"rect",32,0.435483872890472
"breast-cancer-wisc",1024,0.342857152223587,0.1,"cone",32,0.435483872890472
"breast-cancer-wisc",1024,0.342857152223587,0.1,"rect",32,0.435483872890472
"breast-cancer-wisc",512,0.342857122421265,0.1,"rect",32,0.435483872890472
"breast-cancer-wisc",512,0.342857152223587,1,"rect",16,0.435483872890472
"breast-cancer-wisc",512,0.342857122421265,1,"rect",8,0.435483872890472
"breast-cancer-wisc",256,0.342857122421265,1,"rect",8,0.435483872890472
"breast-cancer-wisc",1024,0.342857152223587,0.1,"rect",16,0.433870968222618
"breast-cancer-wisc",512,0.348571419715881,0.01,"rect",32,0.403225779533386
