"dataset","nhidden","learningrate","testAccuracy","valAccuracy","layerForm","nlayers"
"breast-cancer-wisc-prog",256,1,0.775510191917419,0.753846216201782,"rect",2
"breast-cancer-wisc-prog",1024,1,0.673469424247742,0.753846204280853,"cone",8
"breast-cancer-wisc-prog",512,1,0.816326498985291,0.746153908967972,"cone",2
"breast-cancer-wisc-prog",1024,1,0.775510191917419,0.738461607694626,"cone",16
"breast-cancer-wisc-prog",512,1,0.775510191917419,0.738461607694626,"rect",16
"breast-cancer-wisc-prog",1024,1,0.795918345451355,0.738461595773697,"rect",2
"breast-cancer-wisc-prog",1024,1,0.775510191917419,0.715384683012962,"cone",32
"breast-cancer-wisc-prog",512,1,0.224489793181419,0.715384683012962,"rect",8
"breast-cancer-wisc-prog",1024,1,0.510204076766968,0.71538468003273,"cone",2
"breast-cancer-wisc-prog",1024,1,0.857142806053162,0.715384674072266,"cone",3
"breast-cancer-wisc-prog",512,0.01,0.775510191917419,0.684615448117256,"rect",32
"breast-cancer-wisc-prog",256,1,0.775510191917419,0.676923128962517,"rect",8
"breast-cancer-wisc-prog",1024,0.1,0.775510191917419,0.661538523435593,"rect",32
"breast-cancer-wisc-prog",256,1,0.755102038383484,0.646153894066811,"rect",3
"breast-cancer-wisc-prog",256,1,0.775510191917419,0.607692363858223,"rect",16
"breast-cancer-wisc-prog",1024,0.1,0.775510191917419,0.607692360877991,"rect",16
"breast-cancer-wisc-prog",256,1,0.510204076766968,0.607692354917526,"cone",8
"breast-cancer-wisc-prog",256,1,0.775510191917419,0.553846204280853,"cone",16
"breast-cancer-wisc-prog",512,1,0.224489793181419,0.500000044703484,"cone",16
"breast-cancer-wisc-prog",512,0.1,0.224489793181419,0.500000044703484,"rect",32
"breast-cancer-wisc-prog",1024,0.01,0.224489793181419,0.392307725548744,"rect",32
"breast-cancer-wisc-prog",256,0.01,0.224489793181419,0.230769246816635,"rect",32
