"dataset","valAccuracy","testAccuracy","nlayers","learningrate","layerForm","nhidden"
"teaching",0.3125,0.315789461135864,32,0.01,"cone",1024
"teaching",0.3125,0.368421077728271,32,0.01,"rect",1024
"teaching",0.3125,0.368421077728271,32,0.01,"rect",512
"teaching",0.3125,0.315789461135864,32,0.01,"cone",256
"teaching",0.3125,0.368421077728271,32,0.01,"rect",256
"teaching",0.3125,0.368421077728271,32,0.1,"cone",512
"teaching",0.3125,0.368421077728271,32,0.1,"cone",256
"teaching",0.3125,0.368421077728271,32,1,"rect",1024
"teaching",0.3125,0.368421077728271,32,1,"cone",256
"teaching",0.3125,0.368421077728271,16,0.01,"cone",1024
"teaching",0.3125,0.184210538864136,16,0.01,"cone",512
"teaching",0.3125,0.368421077728271,16,0.01,"cone",256
"teaching",0.3125,0.368421077728271,16,0.01,"rect",256
"teaching",0.3125,0.368421077728271,8,0.1,"cone",256
"teaching",0.3125,0.447368443012238,3,0.01,"cone",512
"teaching",0.30625,0.552631616592407,4,0.01,"rect",256
"teaching",0.30625,0.368421047925949,2,0.01,"rect",256
"teaching",0.275,0.342105269432068,4,0.01,"cone",256
"teaching",0.275,0.39473682641983,2,0.01,"cone",256
