"dataset","valAccuracy","layerForm","testAccuracy","nhidden","nlayers","learningrate"
"energy-y1",0.476190477609634,"cone",0.473958373069763,256,32,0.1
"energy-y1",0.476190477609634,"cone",0.473958402872086,1024,32,1
"energy-y1",0.476190477609634,"cone",0.473958373069763,256,32,1
"energy-y1",0.476190477609634,"rect",0.473958373069763,256,32,1
"energy-y1",0.476190477609634,"cone",0.473958373069763,1024,16,0.01
"energy-y1",0.476190477609634,"rect",0.473958373069763,1024,16,0.01
"energy-y1",0.476190477609634,"cone",0.473958373069763,512,16,0.01
"energy-y1",0.476190477609634,"rect",0.473958373069763,512,16,0.01
"energy-y1",0.476190477609634,"cone",0.473958373069763,256,16,0.01
"energy-y1",0.476190477609634,"rect",0.473958402872086,256,16,0.01
"energy-y1",0.476190477609634,"cone",0.473958343267441,1024,16,0.1
"energy-y1",0.476190477609634,"rect",0.473958402872086,1024,16,0.1
"energy-y1",0.476190477609634,"cone",0.473958373069763,256,16,0.1
"energy-y1",0.476190477609634,"rect",0.473958373069763,256,16,0.1
"energy-y1",0.476190477609634,"cone",0.473958402872086,512,16,1
"energy-y1",0.476190477609634,"rect",0.473958373069763,256,16,1
"energy-y1",0.476190477609634,"cone",0.473958373069763,1024,8,0.01
"energy-y1",0.476190477609634,"cone",0.473958373069763,256,8,0.01
"energy-y1",0.476190477609634,"cone",0.473958373069763,256,8,0.1
"energy-y1",0.419047620892525,"cone",0.473958343267441,1024,32,0.1
"energy-y1",0.404761907458305,"cone",0.473958402872086,512,32,1
"energy-y1",0.390476195514202,"rect",0.348958343267441,512,32,1
"energy-y1",0.383333343267441,"rect",0.395833313465118,512,32,0.01
"energy-y1",0.34761905670166,"rect",0.348958343267441,1024,32,0.01
"energy-y1",0.34761905670166,"rect",0.348958343267441,512,32,0.1
"energy-y1",0.333333343267441,"rect",0.348958343267441,1024,32,1
"energy-y1",0.333333343267441,"cone",0.348958373069763,1024,16,1
"energy-y1",0.333333343267441,"rect",0.348958343267441,256,8,1
"energy-y1",0.319047628343105,"rect",0.348958343267441,256,32,0.1
