"dataset","nlayers","learningrate","layerForm","nhidden","valAccuracy","testAccuracy"
"mammographic",4,0.01,"cone",256,0.7364706158638,0.737500071525574
"mammographic",4,1,"rect",512,0.735294163227081,0.825000107288361
"mammographic",4,0.01,"rect",256,0.732941216230392,0.679166674613953
"mammographic",4,0.01,"rect",512,0.729411786794662,0.73333340883255
"mammographic",2,1,"rect",1024,0.722352987527847,0.825000047683716
"mammographic",4,0.01,"cone",512,0.722352963685989,0.741666734218597
"mammographic",8,1,"rect",256,0.721176499128342,0.537500023841858
"mammographic",16,0.1,"rect",512,0.7200000166893,0.604166686534882
"mammographic",3,0.01,"rect",512,0.714117693901062,0.658333420753479
"mammographic",3,0.01,"cone",1024,0.711764734983444,0.750000059604645
"mammographic",4,0.01,"cone",1024,0.702352964878082,0.595833420753479
"mammographic",3,0.01,"rect",256,0.701176488399506,0.658333301544189
"mammographic",3,0.01,"rect",1024,0.69647062420845,0.558333337306976
"mammographic",3,0.01,"cone",512,0.695294159650803,0.745833456516266
"mammographic",2,0.01,"rect",256,0.680000042915344,0.608333349227905
"mammographic",4,0.1,"cone",512,0.677647078037262,0.662500023841858
"mammographic",4,0.1,"cone",1024,0.67176473736763,0.600000023841858
"mammographic",4,0.1,"cone",256,0.657647079229355,0.541666686534882
"mammographic",8,0.1,"rect",512,0.655294138193131,0.537500023841858
"mammographic",8,0.1,"cone",1024,0.651764732599258,0.620833456516266
"mammographic",32,0.01,"rect",512,0.651764726638794,0.645833373069763
"mammographic",16,0.1,"cone",256,0.644705921411514,0.650000095367432
"mammographic",8,0.01,"rect",1024,0.632941204309464,0.537500083446503
"mammographic",8,0.01,"cone",256,0.627058845758438,0.550000071525574
"mammographic",8,1,"rect",1024,0.625882393121719,0.537500023841858
"mammographic",8,0.01,"rect",512,0.625882375240326,0.537500023841858
"mammographic",8,0.01,"rect",256,0.618823552131653,0.537500023841858
"mammographic",32,0.01,"rect",256,0.617647081613541,0.537500083446503
"mammographic",16,0.1,"cone",512,0.61176472902298,0.537500083446503
"mammographic",8,0.01,"cone",1024,0.61176472902298,0.537500083446503
"mammographic",8,0.1,"rect",256,0.61176472902298,0.537500083446503
"mammographic",16,1,"cone",1024,0.608235317468643,0.537500023841858
"mammographic",16,0.1,"rect",256,0.604705905914307,0.537500083446503
"mammographic",32,0.01,"cone",1024,0.600000023841858,0.537500023841858
"mammographic",32,0.01,"cone",512,0.600000023841858,0.537500023841858
"mammographic",32,0.01,"cone",256,0.600000023841858,0.537500023841858
"mammographic",32,0.1,"cone",1024,0.600000023841858,0.537500083446503
"mammographic",32,0.1,"cone",512,0.600000023841858,0.537500083446503
"mammographic",32,0.1,"rect",512,0.600000023841858,0.537500083446503
"mammographic",32,0.1,"cone",256,0.600000023841858,0.537500083446503
"mammographic",32,1,"cone",1024,0.600000023841858,0.537500023841858
"mammographic",16,0.01,"rect",1024,0.600000023841858,0.537500023841858
"mammographic",16,0.01,"cone",512,0.600000023841858,0.537500083446503
"mammographic",16,0.01,"rect",512,0.600000023841858,0.537500023841858
"mammographic",16,0.01,"rect",256,0.600000023841858,0.537500083446503
"mammographic",16,0.1,"cone",1024,0.600000023841858,0.537500023841858
"mammographic",16,0.1,"rect",1024,0.600000023841858,0.537500023841858
"mammographic",16,1,"rect",256,0.600000023841858,0.537500023841858
"mammographic",8,0.01,"cone",512,0.600000023841858,0.537500083446503
"mammographic",32,1,"cone",512,0.580000025033951,0.537500023841858
"mammographic",32,1,"cone",256,0.580000025033951,0.537500023841858
"mammographic",3,1,"cone",512,0.562352973222733,0.733333468437195
"mammographic",32,1,"rect",512,0.540000027418137,0.462500035762787
"mammographic",32,1,"rect",256,0.540000027418137,0.537500023841858
"mammographic",32,1,"rect",1024,0.500000029802322,0.537500023841858
"mammographic",16,1,"rect",512,0.500000029802322,0.462500035762787
"mammographic",32,0.1,"rect",1024,0.480000030994415,0.537500083446503
"mammographic",16,1,"rect",1024,0.465882384777069,0.462500035762787
"mammographic",16,1,"cone",512,0.460000032186508,0.462500035762787
"mammographic",32,0.01,"rect",1024,0.440000033378601,0.462500035762787
"mammographic",16,1,"cone",256,0.410588270425797,0.470833361148834
"mammographic",32,0.1,"rect",256,0.400000035762787,0.462500035762787
"mammographic",16,0.01,"cone",1024,0.400000035762787,0.462500035762787
"mammographic",16,0.01,"cone",256,0.400000035762787,0.462500035762787
"mammographic",8,0.1,"cone",512,0.400000035762787,0.462500035762787
