"dataset","valAccuracy","testAccuracy","layerForm","nlayers","learningrate","nhidden"
"lung-cancer",0,0.125,"cone",4,0.1,256
"lung-cancer",0,0.25,"cone",3,0.01,1024
"lung-cancer",0,0.375,"rect",3,0.01,1024
"lung-cancer",0,0.5,"cone",3,0.01,512
"lung-cancer",0,0.25,"rect",3,0.1,512
"lung-cancer",0,0.375,"cone",2,0.01,1024
"lung-cancer",0,0.375,"rect",2,0.01,512
"lung-cancer",0,0.25,"cone",2,0.01,256
"lung-cancer",0,0.375,"rect",2,0.01,256
"lung-cancer",0,0.375,"cone",2,0.1,1024
"lung-cancer",0,0.375,"rect",2,0.1,512
"lung-cancer",0,0.125,"cone",2,0.1,256
"lung-cancer",0,0.375,"cone",2,1,256
