"dataset","nhidden","nlayers","learningrate","valAccuracy","layerForm","testAccuracy"
"oocytes_trisopterus_nucleus_2f",512,4,0.1,0.5421875,"cone",0.587719261646271
"oocytes_trisopterus_nucleus_2f",512,3,0.1,0.5421875,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,4,0.1,0.540625,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,3,0.1,0.5390625,"cone",0.600877165794373
"oocytes_trisopterus_nucleus_2f",512,3,1,0.5390625,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,4,0.01,0.5375,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,8,0.01,0.5359375,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,4,0.01,0.534375,"cone",0.504385948181152
"oocytes_trisopterus_nucleus_2f",512,3,0.01,0.5328125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,32,0.01,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,32,0.01,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,32,0.01,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,32,0.01,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,32,0.01,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,32,0.01,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,32,0.1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,32,0.1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,32,1,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,32,1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,32,1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,16,0.01,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,16,0.01,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,16,0.01,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,16,0.01,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,16,0.01,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,16,0.01,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,16,0.1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,16,0.1,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,16,0.1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,16,0.1,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,16,0.1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,16,0.1,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,16,1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,16,1,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,16,1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,16,1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,8,0.01,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,8,0.01,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,8,0.01,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,8,0.01,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,8,0.1,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,8,0.1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,8,0.1,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,8,0.1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,8,0.1,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,8,1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,8,1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,8,1,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,4,0.01,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,4,0.1,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,4,0.1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,4,0.1,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,4,1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,3,0.01,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,3,0.1,0.53125,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,3,0.1,0.53125,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,32,0.1,0.5296875,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,8,1,0.5296875,"rect",0.447368443012238
"oocytes_trisopterus_nucleus_2f",1024,32,0.1,0.525,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,32,0.1,0.525,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",256,32,1,0.525,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,16,1,0.525,"rect",0.578947365283966
"oocytes_trisopterus_nucleus_2f",1024,8,0.1,0.5234375,"cone",0.565789461135864
"oocytes_trisopterus_nucleus_2f",1024,32,1,0.51875,"cone",0.578947365283966
"oocytes_trisopterus_nucleus_2f",512,32,1,0.5125,"rect",0.421052604913712
"oocytes_trisopterus_nucleus_2f",1024,32,0.1,0.46875,"cone",0.421052634716034
