"dataset","nlayers","valAccuracy","layerForm","testAccuracy","nhidden","learningrate"
"dermatology",4,0.850000023841858,"rect",0.758241772651672,256,0.01
"dermatology",4,0.850000023841858,"cone",0.923076987266541,512,0.1
"dermatology",4,0.850000023841858,"cone",0.758241772651672,256,0.1
"dermatology",8,0.840000021457672,"rect",0.527472615242004,1024,0.01
"dermatology",8,0.839999997615814,"rect",0.582417607307434,512,0.01
"dermatology",8,0.6200000166893,"cone",0.373626410961151,256,0.1
"dermatology",8,0.530000007152557,"cone",0.406593441963196,512,0.01
"dermatology",16,0.530000001192093,"rect",0.307692348957062,1024,0.01
"dermatology",32,0.5,"cone",0.307692348957062,256,0.1
"dermatology",32,0.5,"rect",0.307692348957062,512,1
"dermatology",16,0.5,"cone",0.307692348957062,1024,0.01
"dermatology",16,0.5,"cone",0.307692348957062,512,0.01
"dermatology",16,0.5,"rect",0.307692348957062,512,0.01
"dermatology",16,0.5,"cone",0.307692348957062,256,0.01
"dermatology",16,0.5,"rect",0.307692348957062,256,0.01
"dermatology",16,0.5,"cone",0.307692348957062,1024,0.1
"dermatology",8,0.5,"cone",0.307692348957062,256,0.01
"dermatology",8,0.5,"rect",0.450549483299255,1024,1
"dermatology",16,0.465000000596046,"cone",0.593406677246094,256,1
"dermatology",32,0.454999998211861,"cone",0.307692348957062,256,1
"dermatology",16,0.430000004172325,"cone",0.406593441963196,512,0.1
"dermatology",16,0.400000008940697,"rect",0.351648390293121,256,1
"dermatology",32,0.379999995231628,"rect",0.19780221581459,1024,0.1
"dermatology",16,0.369999995827675,"cone",0.340659379959106,512,1
"dermatology",32,0.349999994039535,"rect",0.19780221581459,1024,0.01
"dermatology",32,0.349999994039535,"cone",0.19780221581459,1024,0.1
"dermatology",32,0.349999994039535,"cone",0.19780221581459,512,0.1
"dermatology",32,0.315000000596046,"cone",0.307692348957062,512,0.01
"dermatology",32,0.314999994635582,"rect",0.19780221581459,256,0.1
"dermatology",16,0.150000005960464,"cone",0.13186813890934,1024,1
"dermatology",16,0.13500000461936,"rect",0.252747267484665,1024,1
"dermatology",32,0.0800000011920929,"cone",0.164835169911385,1024,1
"dermatology",32,0.0550000000745058,"cone",0.0549450591206551,1024,0.01
"dermatology",32,0.05,"rect",0.0549450553953648,256,0.01
"dermatology",32,0.05,"rect",0.307692348957062,256,1
"dermatology",32,0.0450000017881393,"cone",0.13186813890934,512,1
"dermatology",16,0.0349999994039536,"rect",0.0549450553953648,1024,0.1
"dermatology",32,0,"rect",0.164835169911385,512,0.01
"dermatology",32,0,"cone",0.0549450553953648,256,0.01
"dermatology",32,0,"rect",0.142857149243355,512,0.1
"dermatology",32,0,"rect",0.142857149243355,1024,1
