"dataset","valAccuracy","nlayers","testAccuracy","layerForm","learningrate","nhidden"
"contrac",0.498230084776878,8,0.42934787273407,"rect",1,1024
"contrac",0.49734513759613,3,0.429347842931747,"rect",0.1,256
"contrac",0.497345131635666,2,0.429347842931747,"rect",0.01,512
"contrac",0.497345131635666,2,0.42934787273407,"rect",0.1,512
"contrac",0.497345125675201,3,0.429347842931747,"rect",0.01,1024
"contrac",0.496460181474686,8,0.42934787273407,"cone",0.01,512
"contrac",0.496460181474686,4,0.46195650100708,"rect",1,512
"contrac",0.496460178494453,4,0.42934787273407,"cone",0.01,512
"contrac",0.496460172533989,4,0.429347842931747,"rect",0.1,1024
"contrac",0.496460169553757,4,0.42934787273407,"rect",1,1024
"contrac",0.495575219392776,32,0.429347842931747,"cone",0.01,1024
"contrac",0.495575219392776,32,0.42934787273407,"rect",0.01,1024
"contrac",0.495575219392776,32,0.429347842931747,"cone",0.01,512
"contrac",0.495575219392776,32,0.429347842931747,"rect",0.01,512
"contrac",0.495575219392776,32,0.42934787273407,"cone",0.01,256
"contrac",0.495575219392776,32,0.429347842931747,"rect",0.01,256
"contrac",0.495575219392776,32,0.42934787273407,"rect",0.1,1024
"contrac",0.495575219392776,32,0.42934787273407,"rect",1,512
"contrac",0.495575219392776,16,0.429347842931747,"cone",0.01,1024
"contrac",0.495575219392776,16,0.42934787273407,"rect",0.01,1024
"contrac",0.495575219392776,16,0.42934787273407,"cone",0.01,512
"contrac",0.495575219392776,16,0.429347842931747,"rect",0.01,512
"contrac",0.495575219392776,16,0.42934787273407,"cone",0.01,256
"contrac",0.495575219392776,16,0.429347842931747,"rect",0.01,256
"contrac",0.495575219392776,16,0.429347842931747,"cone",0.1,1024
"contrac",0.495575219392776,16,0.429347842931747,"rect",0.1,1024
"contrac",0.495575219392776,16,0.429347842931747,"cone",0.1,512
"contrac",0.495575219392776,16,0.429347842931747,"rect",0.1,512
"contrac",0.495575219392776,16,0.42934787273407,"cone",0.1,256
"contrac",0.495575219392776,16,0.429347842931747,"rect",0.1,256
"contrac",0.495575219392776,16,0.42934787273407,"cone",1,1024
"contrac",0.495575219392776,16,0.429347842931747,"cone",1,512
"contrac",0.495575219392776,16,0.42934787273407,"cone",1,256
"contrac",0.495575219392776,8,0.42934787273407,"rect",0.01,1024
"contrac",0.495575219392776,8,0.42934787273407,"rect",0.01,512
"contrac",0.495575219392776,8,0.429347842931747,"cone",0.01,256
"contrac",0.495575219392776,8,0.429347842931747,"rect",0.01,256
"contrac",0.495575219392776,8,0.42934787273407,"rect",0.1,1024
"contrac",0.495575219392776,8,0.42934787273407,"rect",0.1,512
"contrac",0.495575219392776,8,0.42934787273407,"rect",0.1,256
"contrac",0.495575219392776,8,0.429347842931747,"cone",1,512
"contrac",0.495575219392776,4,0.429347842931747,"cone",0.1,1024
"contrac",0.495575219392776,4,0.43206524848938,"cone",0.1,512
"contrac",0.495575219392776,4,0.429347842931747,"rect",0.1,512
"contrac",0.495575219392776,4,0.42934787273407,"rect",0.1,256
"contrac",0.495575219392776,3,0.429347842931747,"cone",0.1,1024
"contrac",0.495575219392776,3,0.42934787273407,"rect",0.1,1024
"contrac",0.495575219392776,3,0.42934787273407,"rect",0.1,512
"contrac",0.495575219392776,2,0.429347842931747,"rect",0.1,1024
"contrac",0.495575219392776,2,0.429347842931747,"cone",0.1,512
"contrac",0.494690266251564,3,0.426630467176437,"cone",0.1,512
"contrac",0.493805307149887,4,0.429347842931747,"cone",0.1,256
"contrac",0.490265485644341,2,0.41032612323761,"rect",1,512
"contrac",0.490265482664108,2,0.43206524848938,"cone",0.01,1024
"contrac",0.490265473723412,2,0.4375,"cone",0.01,256
"contrac",0.487610614299774,8,0.426630437374115,"rect",1,512
"contrac",0.484955742955208,3,0.440217405557632,"cone",0.1,256
"contrac",0.481415927410126,32,0.429347842931747,"rect",0.1,512
"contrac",0.481415927410126,32,0.429347842931747,"cone",1,1024
"contrac",0.481415927410126,32,0.42934787273407,"cone",1,512
"contrac",0.481415927410126,16,0.429347842931747,"rect",1,1024
"contrac",0.476991149783134,3,0.426630437374115,"rect",1,1024
"contrac",0.47522124350071,16,0.429347842931747,"rect",1,256
"contrac",0.467256635427475,32,0.429347842931747,"rect",0.1,256
"contrac",0.467256635427475,32,0.429347842931747,"cone",1,256
"contrac",0.467256635427475,16,0.429347842931747,"rect",1,512
"contrac",0.464601773023605,4,0.453804343938828,"rect",1,256
"contrac",0.462831854820251,2,0.4375,"rect",1,1024
"contrac",0.438938051462173,32,0.42934787273407,"rect",1,256
"contrac",0.42654866874218,32,0.42934787273407,"cone",0.1,256
"contrac",0.36814159154892,32,0.345108687877655,"rect",1,1024
"contrac",0.353982299566269,32,0.345108687877655,"cone",0.1,1024
"contrac",0.353982299566269,32,0.345108687877655,"cone",0.1,512
