"dataset","nlayers","learningrate","nhidden","testAccuracy","valAccuracy","layerForm"
"letter",16,0.1,1024,0.970199704170227,0.971170008182526,"rect"
"letter",2,0.1,512,0.97659969329834,0.970846801996231,"cone"
"letter",3,1,256,0.979599714279175,0.970717519521713,"cone"
"letter",4,0.1,512,0.977199733257294,0.970588237047195,"cone"
"letter",16,0.01,512,0.96759968996048,0.970265030860901,"rect"
"letter",8,0.1,512,0.97439968585968,0.970200389623642,"cone"
"letter",4,0.01,512,0.973399639129639,0.970200389623642,"rect"
"letter",4,0.1,256,0.971999704837799,0.970135748386383,"cone"
"letter",4,1,512,0.97439968585968,0.970135748386383,"rect"
"letter",16,0.01,1024,0.973799705505371,0.969941824674606,"rect"
"letter",16,0.1,512,0.96999979019165,0.969941824674606,"rect"
"letter",16,0.1,1024,0.969599723815918,0.969230771064758,"cone"
"letter",8,0.01,1024,0.969399750232697,0.968131870031357,"rect"
"letter",8,0.01,512,0.969799757003784,0.968002587556839,"rect"
"letter",8,1,256,0.9713996052742,0.967420816421509,"rect"
"letter",3,0.01,256,0.969999730587006,0.967032968997955,"rect"
"letter",2,0.1,256,0.970399677753448,0.966709762811661,"cone"
"letter",2,1,256,0.973599791526794,0.96612799167633,"cone"
"letter",2,0.01,512,0.971599698066711,0.965998709201813,"rect"
"letter",8,0.01,1024,0.971199750900269,0.965610861778259,"cone"
"letter",16,1,512,0.972599685192108,0.965481579303741,"cone"
"letter",16,1,1024,0.9683997631073,0.965158373117447,"cone"
"letter",3,0.01,512,0.974999725818634,0.964835166931152,"rect"
"letter",16,0.01,512,0.966799736022949,0.964447319507599,"cone"
"letter",16,0.01,1024,0.971399784088135,0.964318037033081,"cone"
"letter",3,0.1,256,0.973599672317505,0.964318037033081,"cone"
"letter",8,0.01,512,0.966599702835083,0.963994830846786,"cone"
"letter",16,0.01,256,0.964599788188934,0.963930189609527,"rect"
"letter",4,0.01,512,0.972599744796753,0.963930189609527,"cone"
"letter",16,1,256,0.973799705505371,0.963219135999679,"cone"
"letter",4,0.01,256,0.972399771213531,0.963154494762421,"rect"
"letter",8,0.01,256,0.959799706935883,0.962831288576126,"rect"
"letter",3,0.01,256,0.969599723815918,0.962314158678055,"cone"
"letter",8,1,512,0.966799736022949,0.961926311254501,"rect"
"letter",16,0.01,256,0.966999709606171,0.9608274102211,"cone"
"letter",2,0.01,512,0.967799723148346,0.960762768983841,"cone"
"letter",4,0.01,256,0.963399767875671,0.959469944238663,"cone"
"letter",16,0.1,256,0.968799710273743,0.959405303001404,"cone"
"letter",8,0.01,256,0.961999654769897,0.959276020526886,"cone"
"letter",3,0.01,512,0.966999650001526,0.958500325679779,"cone"
"letter",2,0.01,256,0.967199683189392,0.956948935985565,"rect"
"letter",32,0.01,512,0.954799652099609,0.954363286495209,"rect"
"letter",2,0.01,256,0.958799719810486,0.952876538038254,"cone"
"letter",8,1,1024,0.961599707603455,0.951260507106781,"rect"
"letter",32,0.01,256,0.952199697494507,0.95009696483612,"rect"
"letter",16,1,256,0.952799677848816,0.948157727718353,"rect"
"letter",32,0.01,1024,0.956799685955048,0.945507436990738,"rect"
"letter",16,1,512,0.946199774742126,0.943115711212158,"rect"
"letter",32,0.1,1024,0.947999715805054,0.940917909145355,"rect"
"letter",32,0.1,256,0.944999814033508,0.940142214298248,"rect"
"letter",32,0.1,512,0.940599679946899,0.937233358621597,"rect"
"letter",32,0.1,1024,0.950999736785889,0.935100197792053,"cone"
"letter",16,1,1024,0.93779981136322,0.933419525623321,"rect"
"letter",32,0.1,512,0.933599829673767,0.924499034881592,"cone"
"letter",32,0.01,1024,0.932199716567993,0.92100840806961,"cone"
"letter",32,0.1,256,0.907399773597717,0.910407245159149,"cone"
"letter",32,0.01,512,0.897799789905548,0.884356826543808,"cone"
"letter",32,0.01,256,0.855999827384949,0.834001302719116,"cone"
"letter",32,1,256,0.709599912166595,0.724822252988815,"cone"
"letter",3,0.1,1024,0.617999911308289,0.617259231209755,"rect"
"letter",4,0.1,1024,0.375999987125397,0.478345197439194,"rect"
"letter",3,0.01,1024,0.458399951457977,0.454751145839691,"rect"
"letter",4,0.1,1024,0.364399999380112,0.435681979358196,"cone"
"letter",2,0.01,1024,0.372999995946884,0.373303180932999,"cone"
"letter",4,0.01,1024,0.303000003099442,0.312798975408077,"cone"
"letter",4,0.01,1024,0.289599984884262,0.289204920828342,"rect"
"letter",8,0.1,1024,0.243599981069565,0.273044613003731,"rect"
"letter",3,0.01,1024,0.171399995684624,0.266321921348572,"cone"
"letter",32,1,1024,0.0373999960720539,0.0453781522810459,"rect"
"letter",32,1,512,0.0371999964118004,0.0451842319220304,"cone"
"letter",32,1,256,0.0375999994575977,0.0399482883512974,"rect"
"letter",32,1,512,0.0385999940335751,0.0397543646395206,"rect"
"letter",32,1,1024,0.0375999994575977,0.0369747914373875,"cone"
