"dataset","layerForm","valAccuracy","learningrate","testAccuracy","nhidden","nlayers"
"planning","rect",0.800000011920929,0.1,0.688888907432556,512,4
"planning","cone",0.800000011920929,0.1,0.711111128330231,256,4
"planning","rect",0.800000011920929,0.1,0.711111128330231,256,4
"planning","cone",0.800000011920929,1,0.555555582046509,1024,4
"planning","cone",0.800000011920929,1,0.711111128330231,512,4
"planning","cone",0.800000011920929,0.01,0.711111128330231,1024,3
"planning","rect",0.800000011920929,0.01,0.711111128330231,1024,3
"planning","cone",0.800000011920929,0.01,0.711111128330231,512,3
"planning","rect",0.800000011920929,0.01,0.711111128330231,512,3
"planning","cone",0.800000011920929,0.01,0.711111128330231,256,3
"planning","rect",0.800000011920929,0.01,0.711111128330231,256,3
"planning","cone",0.800000011920929,0.1,0.711111128330231,1024,3
"planning","rect",0.800000011920929,0.1,0.711111128330231,1024,3
"planning","cone",0.800000011920929,0.1,0.711111128330231,512,3
"planning","rect",0.800000011920929,0.1,0.711111128330231,512,3
"planning","cone",0.800000011920929,0.1,0.711111128330231,256,3
"planning","rect",0.800000011920929,0.1,0.711111128330231,256,3
"planning","cone",0.800000011920929,1,0.711111128330231,256,3
"planning","cone",0.800000011920929,0.01,0.711111128330231,1024,2
"planning","rect",0.800000011920929,0.01,0.711111128330231,1024,2
"planning","cone",0.800000011920929,0.01,0.688888907432556,512,2
"planning","rect",0.800000011920929,0.01,0.711111128330231,512,2
"planning","cone",0.800000011920929,0.01,0.666666686534882,256,2
"planning","rect",0.800000011920929,0.01,0.711111128330231,256,2
"planning","cone",0.800000011920929,0.1,0.711111128330231,1024,2
"planning","rect",0.800000011920929,0.1,0.711111128330231,1024,2
"planning","cone",0.800000011920929,0.1,0.711111128330231,512,2
"planning","rect",0.800000011920929,0.1,0.711111128330231,512,2
"planning","cone",0.800000011920929,0.1,0.711111128330231,256,2
"planning","rect",0.800000011920929,0.1,0.711111128330231,256,2
"planning","cone",0.800000011920929,1,0.711111128330231,256,2
"planning","cone",0.790000015497208,1,0.666666686534882,512,3
"planning","rect",0.790000015497208,1,0.622222244739532,512,3
"planning","rect",0.780000019073486,0.1,0.711111128330231,256,16
"planning","cone",0.780000013113022,1,0.711111128330231,1024,2
"planning","rect",0.780000013113022,1,0.644444465637207,256,3
"planning","cone",0.770000022649765,1,0.466666698455811,512,2
"planning","cone",0.770000010728836,1,0.711111128330231,1024,3
"planning","rect",0.760000014305115,1,0.711111128330231,512,4
"planning","rect",0.750000017881394,1,0.555555582046509,1024,3
"planning","rect",0.740000015497208,1,0.711111128330231,1024,8
"planning","cone",0.740000011026859,1,0.711111128330231,256,16
"planning","rect",0.730000014603138,1,0.288888901472092,512,16
"planning","rect",0.710000017285347,1,0.288888901472092,1024,2
"planning","rect",0.700000023841858,1,0.666666686534882,1024,4
"planning","rect",0.700000011920929,1,0.711111128330231,512,8
"planning","rect",0.690000014007092,1,0.711111128330231,256,8
"planning","rect",0.68000001013279,0.1,0.711111128330231,512,32
"planning","cone",0.68000001013279,1,0.288888901472092,512,16
"planning","rect",0.68000001013279,1,0.288888901472092,256,16
"planning","rect",0.660000011324883,1,0.533333361148834,256,4
"planning","rect",0.65000001937151,1,0.288888901472092,1024,16
"planning","rect",0.62000000923872,0.1,0.711111128330231,1024,32
"planning","cone",0.62000000923872,1,0.288888901472092,1024,32
"planning","rect",0.62000000923872,0.1,0.288888901472092,512,16
"planning","rect",0.500000007450581,0.1,0.288888901472092,1024,16
"planning","rect",0.500000007450581,0.01,0.711111128330231,1024,32
"planning","rect",0.440000006556511,0.01,0.288888901472092,256,32
"planning","cone",0.380000013113022,1,0.355555593967438,1024,8
"planning","rect",0.200000002980232,1,0.288888901472092,1024,32
"planning","cone",0.200000002980232,1,0.288888901472092,512,32
