"dataset","learningrate","layerForm","testAccuracy","valAccuracy","nlayers","nhidden"
"hill-valley",0.1,"rect",0.493399322032928,0.474576276540756,16,256
"hill-valley",1,"rect",0.508250832557678,0.472881358861923,8,256
"hill-valley",0.1,"rect",0.485148549079895,0.462711867690086,3,1024
"hill-valley",0.1,"rect",0.51485151052475,0.462711864709854,4,512
"hill-valley",0.1,"rect",0.493399322032928,0.462711861729622,4,1024
"hill-valley",0.1,"rect",0.493399322032928,0.461016947031021,8,256
"hill-valley",1,"rect",0.506600677967072,0.459322041273117,4,512
"hill-valley",1,"rect",0.493399322032928,0.459322041273117,8,512
"hill-valley",1,"cone",0.506600677967072,0.459322038292885,8,1024
"hill-valley",0.1,"rect",0.493399322032928,0.459322038292885,2,1024
"hill-valley",1,"cone",0.503300309181213,0.459322038292885,2,256
"hill-valley",1,"rect",0.503300368785858,0.457627123594284,4,1024
"hill-valley",0.1,"rect",0.478547871112823,0.457627120614052,3,512
"hill-valley",1,"cone",0.493399322032928,0.457627114653587,8,256
"hill-valley",0.1,"rect",0.493399322032928,0.455932208895683,32,1024
"hill-valley",1,"cone",0.496699690818787,0.454237297177315,3,512
"hill-valley",0.1,"cone",0.471947193145752,0.454237288236618,4,512
"hill-valley",0.01,"rect",0.501650154590607,0.449152544140816,2,512
"hill-valley",0.01,"rect",0.511551141738892,0.449152532219887,4,1024
"hill-valley",1,"rect",0.493399322032928,0.447457620501518,3,1024
"hill-valley",0.01,"cone",0.516501665115356,0.447457617521286,16,512
"hill-valley",1,"cone",0.514851570129395,0.444067806005478,4,1024
"hill-valley",1,"rect",0.506600677967072,0.44237288236618,4,256
"hill-valley",1,"rect",0.493399322032928,0.435593223571777,3,256
"hill-valley",0.01,"cone",0.51980197429657,0.433898305892944,2,512
"hill-valley",0.1,"rect",0.493399322032928,0.433898305892944,16,1024
"hill-valley",1,"cone",0.493399322032928,0.433898305892944,32,512
"hill-valley",1,"cone",0.493399322032928,0.433898305892944,32,256
"hill-valley",0.01,"rect",0.491749227046967,0.433898305892944,2,256
"hill-valley",0.1,"cone",0.508250832557678,0.432203385233879,3,512
"hill-valley",0.01,"rect",0.5,0.430508470535278,32,256
"hill-valley",0.1,"rect",0.493399322032928,0.427118638157845,2,512
"hill-valley",0.1,"cone",0.51485151052475,0.425423735380173,4,256
"hill-valley",0.01,"rect",0.498349875211716,0.422033908963203,3,256
"hill-valley",0.1,"rect",0.50495046377182,0.416949146986008,2,256
"hill-valley",0.1,"cone",0.5,0.415254247188568,4,1024
"hill-valley",0.01,"rect",0.493399322032928,0.411864402890205,32,1024
"hill-valley",0.01,"rect",0.493399322032928,0.411864399909973,8,1024
"hill-valley",0.01,"cone",0.493399322032928,0.41016948223114,32,256
"hill-valley",1,"cone",0.493399322032928,0.406779655814171,4,512
"hill-valley",0.01,"cone",0.493399322032928,0.405084744095802,4,512
"hill-valley",0.01,"rect",0.5,0.405084738135338,16,1024
"hill-valley",0.01,"rect",0.493399322032928,0.393220335245132,16,512
"hill-valley",0.01,"cone",0.493399322032928,0.389830499887466,32,1024
"hill-valley",0.01,"cone",0.493399322032928,0.389830499887466,32,512
"hill-valley",0.01,"rect",0.493399322032928,0.389830499887466,32,512
"hill-valley",0.1,"cone",0.493399322032928,0.389830499887466,32,256
"hill-valley",1,"rect",0.493399322032928,0.389830499887466,32,512
"hill-valley",0.01,"cone",0.493399322032928,0.389830499887466,16,256
"hill-valley",0.01,"rect",0.493399322032928,0.389830499887466,16,256
"hill-valley",0.1,"cone",0.493399322032928,0.389830499887466,16,1024
"hill-valley",0.1,"cone",0.493399322032928,0.389830499887466,16,512
"hill-valley",0.01,"rect",0.493399322032928,0.389830499887466,8,512
"hill-valley",0.01,"cone",0.493399322032928,0.389830499887466,8,256
"hill-valley",0.1,"cone",0.493399322032928,0.389830499887466,8,512
"hill-valley",0.01,"cone",0.493399322032928,0.389830499887466,2,256
