"dataset","layerForm","valAccuracy","testAccuracy","nhidden","nlayers","learningrate"
"ecoli","rect",0.414634144306183,0.452380955219269,1024,32,1
"ecoli","rect",0.397560974210501,0.0119047621265054,512,32,0.1
"ecoli","cone",0.268292677402496,0.154761910438538,1024,32,0.1
"ecoli","rect",0.248780485987663,0.452380955219269,256,32,0.1
"ecoli","rect",0.219512194395065,0.154761910438538,256,32,0.01
"ecoli","rect",0.219512188434601,0.226190492510796,1024,32,0.01
"ecoli","rect",0.219512188434601,0.226190492510796,1024,16,1
"ecoli","cone",0.195121943950653,0.154761910438538,256,32,0.1
"ecoli","cone",0.195121943950653,0.226190492510796,512,16,1
"ecoli","rect",0.187804868072271,0.16666667163372,1024,16,0.1
"ecoli","cone",0.17560975253582,0.0119047621265054,512,32,0.1
"ecoli","rect",0.156097558140755,0.0595238134264946,256,16,1
"ecoli","cone",0.131707312911749,0.178571432828903,1024,8,1
"ecoli","cone",0.0804878018796444,0.0595238134264946,256,16,1
"ecoli","rect",0.0731707289814949,0.0595238134264946,512,32,0.01
"ecoli","rect",0.0658536560833454,0.0595238134264946,512,16,1
"ecoli","rect",0.0536585345864296,0.0595238134264946,1024,32,0.1
"ecoli","cone",0.00975609719753266,0,1024,32,0.01
