"dataset","learningrate","nlayers","nhidden","valAccuracy","layerForm","testAccuracy"
"conn-bench-vowel-deterding",0.1,2,256,0.61081086397171,"cone",0.72510826587677
"conn-bench-vowel-deterding",0.01,4,256,0.605405449867248,"rect",0.65584409236908
"conn-bench-vowel-deterding",0.01,2,512,0.594594597816467,"cone",0.61255407333374
"conn-bench-vowel-deterding",0.1,3,512,0.591891920566559,"cone",0.649350643157959
"conn-bench-vowel-deterding",0.01,2,256,0.572972989082337,"cone",0.538960993289948
"conn-bench-vowel-deterding",0.01,3,256,0.57027028799057,"cone",0.599567055702209
"conn-bench-vowel-deterding",0.01,4,256,0.554054093360901,"cone",0.452380895614624
"conn-bench-vowel-deterding",0.1,8,1024,0.543243259191513,"rect",0.647186160087585
"conn-bench-vowel-deterding",0.01,4,512,0.521621665358543,"rect",0.55627703666687
"conn-bench-vowel-deterding",0.1,4,256,0.505405408143997,"cone",0.571428596973419
"conn-bench-vowel-deterding",0.1,16,512,0.491891920566559,"rect",0.474025964736938
"conn-bench-vowel-deterding",0.01,4,512,0.448648673295975,"cone",0.402597397565842
"conn-bench-vowel-deterding",0.1,8,256,0.418918940424919,"rect",0.441558420658112
"conn-bench-vowel-deterding",0.1,8,1024,0.416216230392456,"cone",0.359307378530502
"conn-bench-vowel-deterding",0.1,8,512,0.413513535261154,"rect",0.456709951162338
"conn-bench-vowel-deterding",0.01,3,1024,0.386486512422562,"cone",0.525974035263062
"conn-bench-vowel-deterding",1,2,256,0.243243254721165,"cone",0.385281383991241
"conn-bench-vowel-deterding",0.1,8,256,0.213513523340225,"cone",0.322510808706284
"conn-bench-vowel-deterding",1,3,512,0.194594602286816,"cone",0.311688303947449
"conn-bench-vowel-deterding",0.01,8,1024,0.167567574977875,"rect",0.138528138399124
"conn-bench-vowel-deterding",1,4,256,0.164864871650934,"cone",0.248917728662491
"conn-bench-vowel-deterding",0.1,8,512,0.16216216981411,"cone",0.138528138399124
"conn-bench-vowel-deterding",1,4,1024,0.16216216981411,"rect",0.248917743563652
"conn-bench-vowel-deterding",1,2,256,0.16216216981411,"rect",0.255411267280579
"conn-bench-vowel-deterding",0.01,8,256,0.16216216981411,"rect",0.147186145186424
"conn-bench-vowel-deterding",1,3,256,0.159459467232227,"rect",0.261904746294022
"conn-bench-vowel-deterding",1,2,1024,0.159459466487169,"cone",0.261904746294022
"conn-bench-vowel-deterding",0.01,16,256,0.156756764650345,"cone",0.0930735841393471
"conn-bench-vowel-deterding",0.01,32,256,0.156756763905287,"rect",0.112554110586643
"conn-bench-vowel-deterding",0.01,8,512,0.154054059833288,"cone",0.147186130285263
"conn-bench-vowel-deterding",0.01,8,256,0.15135135948658,"cone",0.116883106529713
"conn-bench-vowel-deterding",1,8,256,0.148648656904697,"cone",0.255411267280579
"conn-bench-vowel-deterding",1,4,256,0.145945952832699,"rect",0.285714268684387
"conn-bench-vowel-deterding",0.01,32,512,0.14594595246017,"rect",0.0909090861678123
"conn-bench-vowel-deterding",1,16,1024,0.1432432487607,"rect",0.0909090936183929
"conn-bench-vowel-deterding",1,3,256,0.14054054915905,"cone",0.244588747620583
"conn-bench-vowel-deterding",0.01,8,512,0.140540548413992,"rect",0.16233766078949
"conn-bench-vowel-deterding",1,3,1024,0.140540548413992,"cone",0.203463211655617
"conn-bench-vowel-deterding",1,32,512,0.137837844341993,"cone",0.0909090861678123
"conn-bench-vowel-deterding",0.01,16,512,0.135135143995285,"rect",0.0909090936183929
"conn-bench-vowel-deterding",0.01,16,256,0.135135143995285,"rect",0.0909090936183929
"conn-bench-vowel-deterding",0.1,16,256,0.132432439923286,"cone",0.134199127554893
"conn-bench-vowel-deterding",0.1,32,512,0.129729738086462,"rect",0.0909090936183929
"conn-bench-vowel-deterding",0.1,32,256,0.129729738086462,"cone",0.0909090861678123
"conn-bench-vowel-deterding",1,3,1024,0.121621626242995,"rect",0.158008649945259
"conn-bench-vowel-deterding",0.01,32,1024,0.116216221265495,"cone",0.0995670929551125
"conn-bench-vowel-deterding",1,4,1024,0.116216219961643,"cone",0.183982685208321
"conn-bench-vowel-deterding",1,32,256,0.113513520359993,"rect",0.0909090861678123
"conn-bench-vowel-deterding",1,4,512,0.113513516634703,"cone",0.212121218442917
"conn-bench-vowel-deterding",0.01,32,256,0.10810811072588,"cone",0.0909090861678123
"conn-bench-vowel-deterding",0.01,8,1024,0.105405410379171,"cone",0.134199127554893
"conn-bench-vowel-deterding",1,16,256,0.105405410006642,"cone",0.0995670929551125
"conn-bench-vowel-deterding",1,16,512,0.105405409634113,"cone",0.257575750350952
"conn-bench-vowel-deterding",1,8,1024,0.102702705562115,"cone",0.173160165548325
"conn-bench-vowel-deterding",1,32,1024,0.0972973007708788,"cone",0.0909090861678123
"conn-bench-vowel-deterding",1,8,512,0.0945945985615254,"rect",0.173160165548325
"conn-bench-vowel-deterding",0.01,32,512,0.0918918959796429,"cone",0.0995671004056931
"conn-bench-vowel-deterding",1,32,256,0.0891891926527024,"cone",0.0909090936183929
"conn-bench-vowel-deterding",0.1,32,256,0.0864864904433489,"rect",0.0909090861678123
"conn-bench-vowel-deterding",0.1,32,1024,0.0810810849070549,"cone",0.0909090861678123
"conn-bench-vowel-deterding",0.01,16,1024,0.0810810849070549,"cone",0.0909090936183929
"conn-bench-vowel-deterding",0.01,16,1024,0.0810810849070549,"rect",0.0909090861678123
"conn-bench-vowel-deterding",0.01,16,512,0.0810810849070549,"cone",0.0909090861678123
"conn-bench-vowel-deterding",0.1,32,1024,0.0756756786257029,"rect",0.0909090861678123
"conn-bench-vowel-deterding",0.01,32,1024,0.0756756782531738,"rect",0.0909090936183929
"conn-bench-vowel-deterding",1,16,1024,0.0729729760438204,"cone",0.0909090861678123
"conn-bench-vowel-deterding",0.1,16,1024,0.0702702723443508,"rect",0.164502158761024
"conn-bench-vowel-deterding",1,16,256,0.0675675697624683,"rect",0.0909090861678123
"conn-bench-vowel-deterding",1,8,256,0.0675675697624683,"rect",0.136363625526428
"conn-bench-vowel-deterding",1,32,1024,0.0648648668080568,"rect",0.0909090936183929
"conn-bench-vowel-deterding",1,16,512,0.0648648668080568,"rect",0.0909090861678123
"conn-bench-vowel-deterding",1,8,1024,0.0648648668080568,"rect",0.0909090861678123
"conn-bench-vowel-deterding",1,8,512,0.0621621642261744,"cone",0.125541120767593
"conn-bench-vowel-deterding",0.1,16,512,0.0594594616442919,"cone",0.121212109923363
"conn-bench-vowel-deterding",0.1,32,512,0.0594594608992338,"cone",0.0909090861678123
"conn-bench-vowel-deterding",1,32,512,0.0567567583173513,"rect",0.0909090936183929
