"dataset","nlayers","learningrate","layerForm","valAccuracy","nhidden","testAccuracy"
"ringnorm",8,0.1,"cone",0.955451130867005,512,0.964864909648895
"ringnorm",16,1,"cone",0.951879715919495,512,0.958378434181213
"ringnorm",32,0.01,"cone",0.940225529670715,512,0.940540552139282
"ringnorm",4,0.01,"rect",0.93571429848671,512,0.936756730079651
"ringnorm",8,0.01,"cone",0.912218022346497,1024,0.907027006149292
"ringnorm",8,0.1,"cone",0.893984949588776,1024,0.87675678730011
"ringnorm",4,0.1,"rect",0.884022575616837,512,0.909189224243164
"ringnorm",3,0.1,"rect",0.863157886266708,1024,0.886486530303955
"ringnorm",32,0.01,"cone",0.859398490190506,1024,0.856756806373596
"ringnorm",3,0.01,"rect",0.845864659547806,1024,0.871891975402832
"ringnorm",8,0.1,"rect",0.807142865657806,256,0.736756682395935
"ringnorm",4,0.1,"rect",0.761466145515442,1024,0.758918881416321
"ringnorm",8,0.01,"cone",0.743609023094177,512,0.729189157485962
"ringnorm",4,0.01,"rect",0.736278164386749,1024,0.734054088592529
"ringnorm",8,0.1,"rect",0.693045103549957,512,0.6178377866745
"ringnorm",16,0.1,"rect",0.6907894551754,1024,0.638918936252594
"ringnorm",16,0.1,"rect",0.614285689592361,512,0.510270297527313
"ringnorm",8,0.01,"rect",0.610338348150253,256,0.526486456394196
"ringnorm",8,0.01,"rect",0.576879680156708,512,0.504864871501923
"ringnorm",8,0.1,"rect",0.573308265209198,1024,0.504864931106567
"ringnorm",32,0.01,"rect",0.569548863172531,256,0.4951351583004
"ringnorm",32,0.1,"cone",0.552819529175758,1024,0.548108100891113
"ringnorm",8,0.01,"rect",0.548684197664261,1024,0.504864871501923
"ringnorm",32,0.1,"cone",0.513721799850464,256,0.497297286987305
"ringnorm",16,0.01,"rect",0.505639106035233,256,0.504864931106567
"ringnorm",32,0.01,"cone",0.505639100074768,256,0.504864931106567
"ringnorm",16,0.01,"rect",0.505639094114304,512,0.504864931106567
"ringnorm",32,1,"rect",0.505639094114304,512,0.504864931106567
"ringnorm",16,0.01,"cone",0.505639094114304,1024,0.504864931106567
"ringnorm",16,0.01,"rect",0.505639094114304,1024,0.504864871501923
"ringnorm",32,1,"rect",0.50563907623291,1024,0.504864931106567
"ringnorm",32,1,"cone",0.504511260986328,512,0.504864931106567
"ringnorm",32,0.1,"cone",0.504511258006096,512,0.504864871501923
"ringnorm",16,0.01,"cone",0.503383445739746,512,0.504864871501923
"ringnorm",32,1,"cone",0.502255615592003,1024,0.504864931106567
"ringnorm",32,1,"cone",0.499999985098839,256,0.495135128498077
"ringnorm",32,1,"rect",0.494360893964768,256,0.495135128498077
