"dataset","learningrate","testAccuracy","nlayers","valAccuracy","layerForm","nhidden"
"monks-1",0.01,0.500000059604645,8,0.378571444749832,"cone",512
"monks-1",1,0.58564817905426,8,0.36428572833538,"rect",512
"monks-1",0.1,0.643518567085266,8,0.364285725355148,"rect",512
"monks-1",0.01,0.500000059604645,32,0.364285725355148,"cone",512
"monks-1",0.01,0.500000059604645,32,0.357142865657806,"cone",256
"monks-1",0.1,0.500000059604645,32,0.357142865657806,"cone",512
"monks-1",0.1,0.500000059604645,32,0.357142865657806,"cone",256
"monks-1",1,0.500000059604645,32,0.357142865657806,"rect",512
"monks-1",1,0.500000059604645,32,0.357142865657806,"rect",256
"monks-1",0.01,0.500000059604645,16,0.357142865657806,"cone",1024
"monks-1",0.01,0.500000059604645,16,0.357142865657806,"cone",512
"monks-1",0.01,0.500000059604645,16,0.357142865657806,"cone",256
"monks-1",0.01,0.500000059604645,16,0.357142865657806,"rect",256
"monks-1",0.1,0.500000059604645,16,0.357142865657806,"cone",512
"monks-1",1,0.500000059604645,16,0.357142865657806,"cone",1024
"monks-1",1,0.500000059604645,16,0.357142865657806,"cone",256
"monks-1",0.1,0.500000059604645,8,0.357142865657806,"cone",512
"monks-1",0.1,0.500000059604645,8,0.357142865657806,"cone",256
"monks-1",1,0.500000059604645,8,0.357142865657806,"cone",1024
"monks-1",1,0.518518507480621,8,0.357142865657806,"cone",512
"monks-1",0.01,0.513888895511627,4,0.357142865657806,"cone",256
"monks-1",0.01,0.581018567085266,3,0.357142865657806,"cone",256
