"dataset","nlayers","nhidden","testAccuracy","valAccuracy","learningrate","layerForm"
"statlog-vehicle",32,512,0.350710928440094,0.342424248158932,0.01,"cone"
"statlog-vehicle",3,256,0.364928930997849,0.330303034186363,0.01,"cone"
"statlog-vehicle",8,1024,0.374407589435577,0.319696971774101,0.01,"rect"
"statlog-vehicle",16,256,0.246445506811142,0.313636368513107,1,"cone"
"statlog-vehicle",16,1024,0.2654028236866,0.293939411640167,0.1,"rect"
"statlog-vehicle",8,256,0.260663509368896,0.290909111499786,1,"rect"
"statlog-vehicle",32,1024,0.260663509368896,0.287878811359406,0.01,"rect"
"statlog-vehicle",32,256,0.260663509368896,0.287878811359406,0.01,"cone"
"statlog-vehicle",32,1024,0.260663509368896,0.287878811359406,0.1,"rect"
"statlog-vehicle",32,256,0.260663509368896,0.287878811359406,0.1,"rect"
"statlog-vehicle",32,1024,0.260663509368896,0.287878811359406,1,"rect"
"statlog-vehicle",16,1024,0.260663509368896,0.287878811359406,1,"cone"
"statlog-vehicle",16,512,0.260663509368896,0.287878811359406,1,"rect"
"statlog-vehicle",32,512,0.265402853488922,0.287878805398941,0.01,"rect"
"statlog-vehicle",16,1024,0.260663509368896,0.286363655328751,1,"rect"
"statlog-vehicle",8,256,0.303317576646805,0.27878789305687,0.01,"cone"
"statlog-vehicle",32,512,0.251184821128845,0.275757563114166,1,"rect"
"statlog-vehicle",16,256,0.255924165248871,0.272727264463901,1,"rect"
"statlog-vehicle",16,1024,0.232227474451065,0.272727254033089,0.01,"cone"
"statlog-vehicle",32,1024,0.251184850931168,0.272727251052856,0.1,"cone"
"statlog-vehicle",32,512,0.251184850931168,0.272727251052856,0.1,"cone"
"statlog-vehicle",32,256,0.251184821128845,0.272727251052856,0.1,"cone"
"statlog-vehicle",16,512,0.251184821128845,0.272727251052856,0.01,"rect"
"statlog-vehicle",16,512,0.251184821128845,0.271212112903595,0.1,"rect"
"statlog-vehicle",8,1024,0.260663509368896,0.269696950912476,0.01,"cone"
"statlog-vehicle",32,256,0.232227474451065,0.266666661202907,1,"rect"
"statlog-vehicle",16,256,0.265402853488922,0.257575763761997,0.1,"rect"
"statlog-vehicle",16,512,0.260663509368896,0.248484864830971,1,"cone"
"statlog-vehicle",16,256,0.218009501695633,0.242424236238003,0.1,"cone"
"statlog-vehicle",32,512,0.251184821128845,0.242424233257771,0.1,"rect"
"statlog-vehicle",8,256,0.312796205282211,0.240909095108509,0.1,"rect"
"statlog-vehicle",16,1024,0.274881511926651,0.219696982204914,0.1,"cone"
"statlog-vehicle",16,256,0.255924195051193,0.212121219933033,0.01,"rect"
"statlog-vehicle",8,256,0.312796235084534,0.192424245178699,0.01,"rect"
"statlog-vehicle",32,1024,0.260663509368896,0.190909099578857,1,"cone"
"statlog-vehicle",16,1024,0.255924165248871,0.183333338797092,0.01,"rect"
"statlog-vehicle",32,256,0.255924165248871,0.178787885606289,1,"cone"
"statlog-vehicle",32,1024,0.227488160133362,0.178787884116173,0.01,"cone"
"statlog-vehicle",16,512,0.255924195051193,0.177272732555866,0.1,"cone"
"statlog-vehicle",8,1024,0.255924165248871,0.172727277874947,0.1,"cone"
"statlog-vehicle",16,256,0.255924195051193,0.168181823194027,0.01,"cone"
"statlog-vehicle",32,512,0.255924165248871,0.16666667163372,1,"cone"
"statlog-vehicle",16,512,0.255924195051193,0.16666667163372,0.01,"cone"
