"dataset","layerForm","learningrate","valAccuracy","testAccuracy","nhidden","nlayers"
"musk-2","cone",0.01,0.873434144258499,0.87386292219162,1024,2
"musk-2","cone",0.01,0.845788329839706,0.845967292785645,512,4
"musk-2","cone",0.1,0.844924420118332,0.845967292785645,512,3
"musk-2","cone",0.1,0.844708436727524,0.845967292785645,256,3
"musk-2","rect",0.1,0.844492453336716,0.845967292785645,512,16
"musk-2","cone",0.01,0.842332655191421,0.845967233181,256,8
"musk-2","rect",0.01,0.842332649230957,0.845967233181,1024,16
"musk-2","rect",0.01,0.842332649230957,0.845967233181,256,32
"musk-2","cone",0.1,0.842332649230957,0.845967233181,256,32
"musk-2","cone",0.01,0.842332649230957,0.845967233181,512,16
"musk-2","cone",0.1,0.842332649230957,0.845967233181,256,4
"musk-2","rect",1,0.842332649230957,0.845967292785645,256,32
"musk-2","rect",0.01,0.842332643270493,0.845967292785645,256,8
"musk-2","cone",0.01,0.842332643270493,0.845967292785645,512,8
"musk-2","cone",0.01,0.842332643270493,0.845967292785645,512,32
"musk-2","cone",1,0.842332643270493,0.845967233181,1024,32
"musk-2","rect",1,0.842332643270493,0.845967233181,512,32
"musk-2","cone",1,0.842332643270493,0.845967292785645,256,32
"musk-2","cone",0.01,0.842332637310028,0.845967233181,1024,32
"musk-2","cone",0.1,0.842332637310028,0.845967233181,1024,32
"musk-2","rect",0.01,0.842332637310028,0.845967233181,512,16
"musk-2","cone",1,0.842332637310028,0.845967233181,512,32
"musk-2","cone",0.1,0.842332637310028,0.845967292785645,256,16
"musk-2","cone",0.1,0.842332637310028,0.845967233181,1024,8
"musk-2","cone",0.01,0.842332637310028,0.845967233181,1024,16
"musk-2","cone",0.01,0.842332631349564,0.845967233181,256,16
"musk-2","rect",0.01,0.842332631349564,0.845967233181,256,16
"musk-2","cone",0.1,0.842332631349564,0.845967233181,1024,16
"musk-2","cone",0.1,0.842332631349564,0.845967233181,512,8
"musk-2","rect",1,0.842332631349564,0.845967233181,512,8
"musk-2","rect",0.01,0.842332625389099,0.845967233181,512,32
"musk-2","cone",0.01,0.842332625389099,0.845967233181,1024,8
"musk-2","cone",0.01,0.842332625389099,0.845967233181,256,32
"musk-2","cone",0.1,0.842332625389099,0.845967233181,512,16
"musk-2","rect",0.1,0.842332625389099,0.845967233181,256,16
"musk-2","rect",1,0.84233261346817,0.845967233181,256,16
"musk-2","cone",1,0.642548595368862,0.845967233181,256,16
"musk-2","rect",0.1,0.568466526269913,0.845967292785645,512,32
"musk-2","rect",0.1,0.363066954910755,0.154032737016678,256,32
"musk-2","rect",1,0.294600439071655,0.154032737016678,1024,32
"musk-2","cone",1,0.177537792921066,0.154032737016678,512,16
"musk-2","rect",0.1,0.157667383551598,0.154032737016678,1024,32
