"dataset","valAccuracy","nlayers","nhidden","learningrate","testAccuracy","layerForm"
"congressional-voting",0.684210479259491,8,1024,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,8,1024,0.01,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,8,512,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,8,512,0.01,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,8,256,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,8,256,0.01,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,8,1024,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,8,512,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,8,256,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,8,256,1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,4,1024,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,4,1024,0.01,0.623853206634521,"rect"
"congressional-voting",0.684210479259491,4,512,0.01,0.596330225467682,"cone"
"congressional-voting",0.684210479259491,4,512,0.01,0.623853206634521,"rect"
"congressional-voting",0.684210479259491,4,256,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,4,512,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,4,512,0.1,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,4,256,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,4,256,0.1,0.614678919315338,"rect"
"congressional-voting",0.684210479259491,4,512,1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,4,256,1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,3,1024,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,3,1024,0.01,0.633027493953705,"rect"
"congressional-voting",0.684210479259491,3,512,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,3,256,0.01,0.633027493953705,"cone"
"congressional-voting",0.684210479259491,3,256,0.01,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,3,1024,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,3,512,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,3,256,0.1,0.60550457239151,"cone"
"congressional-voting",0.684210479259491,3,256,0.1,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,3,512,1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,2,1024,0.01,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,2,512,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,2,512,0.01,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,2,1024,0.1,0.63302755355835,"rect"
"congressional-voting",0.684210479259491,2,512,0.1,0.623853206634521,"cone"
"congressional-voting",0.684210479259491,2,512,0.1,0.623853206634521,"rect"
"congressional-voting",0.6815789103508,2,1024,1,0.63302755355835,"rect"
"congressional-voting",0.681578904390335,8,256,0.1,0.614678859710693,"rect"
"congressional-voting",0.681578904390335,3,1024,1,0.596330225467682,"cone"
"congressional-voting",0.678947359323502,4,1024,0.1,0.605504512786865,"cone"
"congressional-voting",0.676315748691559,3,1024,0.1,0.614678859710693,"rect"
"congressional-voting",0.673684173822403,8,256,1,0.614678859710693,"rect"
"congressional-voting",0.671052598953247,8,1024,1,0.614678859710693,"cone"
"congressional-voting",0.671052598953247,4,1024,0.1,0.633027493953705,"rect"
"congressional-voting",0.665789431333542,8,512,1,0.614678859710693,"rect"
"congressional-voting",0.663157898187637,2,1024,0.01,0.57798159122467,"cone"
"congressional-voting",0.663157880306244,3,512,0.01,0.614678859710693,"rect"
"congressional-voting",0.657894784212112,2,256,0.01,0.587155938148499,"cone"
"congressional-voting",0.657894730567932,2,256,0.01,0.614678919315338,"rect"
"congressional-voting",0.647368395328522,8,512,0.1,0.614678859710693,"rect"
"congressional-voting",0.647368377447128,32,1024,0.01,0.614678859710693,"rect"
"congressional-voting",0.636842077970505,4,1024,1,0.522935748100281,"rect"
"congressional-voting",0.63684207201004,4,512,1,0.614678859710693,"rect"
"congressional-voting",0.631578916311264,3,1024,1,0.614678859710693,"rect"
"congressional-voting",0.615789446234703,2,256,1,0.614678859710693,"rect"
"congressional-voting",0.610526305437088,2,512,1,0.633027493953705,"rect"
"congressional-voting",0.610526275634766,32,1024,1,0.614678859710693,"cone"
"congressional-voting",0.610526275634766,16,256,1,0.614678859710693,"rect"
"congressional-voting",0.573684173822403,16,512,0.1,0.614678859710693,"rect"
"congressional-voting",0.539473676681519,8,1024,1,0.385321080684662,"rect"
"congressional-voting",0.500000005960465,3,512,1,0.477064192295074,"rect"
"congressional-voting",0.499999970197678,16,256,0.1,0.614678859710693,"rect"
"congressional-voting",0.486842089891434,3,256,1,0.403669714927673,"rect"
"congressional-voting",0.426315766572952,32,256,0.01,0.614678859710693,"rect"
"congressional-voting",0.38947366476059,8,512,1,0.385321080684662,"cone"
"congressional-voting",0.315789461135864,32,1024,1,0.385321080684662,"rect"
"congressional-voting",0.315789461135864,16,512,1,0.385321080684662,"cone"
