"dataset","nhidden","layerForm","testAccuracy","valAccuracy","learningrate","nlayers"
"wine-quality-white",1024,"rect",0.450163424015045,0.425581419467926,0.1,4
"wine-quality-white",1024,"rect",0.450163453817368,0.425290721654892,0.01,4
"wine-quality-white",1024,"cone",0.450163453817368,0.425290721654892,0.01,3
"wine-quality-white",512,"rect",0.451797395944595,0.425000023841858,0.1,16
"wine-quality-white",1024,"cone",0.450163453817368,0.424709326028824,0.1,2
"wine-quality-white",256,"cone",0.45016348361969,0.424709326028824,0.1,2
"wine-quality-white",1024,"cone",0.450163453817368,0.42441862821579,0.01,32
"wine-quality-white",256,"cone",0.45016348361969,0.42441862821579,0.01,32
"wine-quality-white",256,"rect",0.45016348361969,0.42441862821579,0.01,32
"wine-quality-white",256,"cone",0.450163453817368,0.42441862821579,0.1,32
"wine-quality-white",1024,"cone",0.450163424015045,0.42441862821579,1,32
"wine-quality-white",1024,"rect",0.450163453817368,0.42441862821579,1,32
"wine-quality-white",512,"cone",0.450163453817368,0.42441862821579,1,32
"wine-quality-white",256,"cone",0.450163453817368,0.42441862821579,1,32
"wine-quality-white",256,"rect",0.450163424015045,0.42441862821579,1,32
"wine-quality-white",1024,"cone",0.450163453817368,0.42441862821579,0.01,16
"wine-quality-white",1024,"rect",0.45016348361969,0.42441862821579,0.01,16
"wine-quality-white",512,"cone",0.450163453817368,0.42441862821579,0.01,16
"wine-quality-white",512,"rect",0.450163453817368,0.42441862821579,0.01,16
"wine-quality-white",256,"cone",0.45016348361969,0.42441862821579,0.01,16
"wine-quality-white",256,"rect",0.45016348361969,0.42441862821579,0.01,16
"wine-quality-white",1024,"cone",0.450163453817368,0.42441862821579,0.1,16
"wine-quality-white",1024,"rect",0.450163453817368,0.42441862821579,0.1,16
"wine-quality-white",512,"cone",0.450163424015045,0.42441862821579,0.1,16
"wine-quality-white",256,"cone",0.450163424015045,0.42441862821579,0.1,16
"wine-quality-white",256,"rect",0.450163453817368,0.42441862821579,0.1,16
"wine-quality-white",1024,"cone",0.45016348361969,0.42441862821579,0.01,8
"wine-quality-white",1024,"rect",0.450163424015045,0.42441862821579,0.01,8
"wine-quality-white",512,"cone",0.450163453817368,0.42441862821579,0.01,8
"wine-quality-white",512,"rect",0.45016348361969,0.42441862821579,0.01,8
"wine-quality-white",256,"cone",0.450163424015045,0.42441862821579,0.01,8
"wine-quality-white",256,"rect",0.450163453817368,0.42441862821579,0.01,8
"wine-quality-white",1024,"rect",0.450163453817368,0.42441862821579,0.1,8
"wine-quality-white",512,"rect",0.450163424015045,0.42441862821579,0.1,8
"wine-quality-white",256,"cone",0.45016348361969,0.42441862821579,0.1,8
"wine-quality-white",256,"rect",0.450163453817368,0.42441862821579,0.1,8
"wine-quality-white",1024,"cone",0.451797425746918,0.42441862821579,0.01,4
"wine-quality-white",512,"cone",0.450163453817368,0.42441862821579,0.01,4
"wine-quality-white",1024,"cone",0.450163424015045,0.42441862821579,0.1,4
