"dataset","nhidden","learningrate","layerForm","testAccuracy","valAccuracy","nlayers"
"chess-krvkp",1024,0.01,"cone",0.944931209087372,0.949806982278824,4
"chess-krvkp",1024,0.01,"rect",0.951189041137695,0.947876465320587,4
"chess-krvkp",1024,0.01,"cone",0.927409291267395,0.946332061290741,3
"chess-krvkp",256,0.01,"rect",0.931164026260376,0.942084956169128,8
"chess-krvkp",1024,1,"rect",0.933667182922363,0.932818537950516,8
"chess-krvkp",512,0.01,"cone",0.909887433052063,0.932046341896057,8
"chess-krvkp",512,0.1,"rect",0.92240309715271,0.925482618808746,16
"chess-krvkp",512,0.01,"rect",0.921151518821716,0.923938250541687,4
"chess-krvkp",256,0.01,"cone",0.921151459217072,0.918918913602829,4
"chess-krvkp",512,1,"rect",0.907384276390076,0.912355244159698,16
"chess-krvkp",256,0.1,"rect",0.882353007793427,0.91119693517685,8
"chess-krvkp",1024,0.01,"rect",0.894868612289429,0.883783775568008,3
"chess-krvkp",1024,0.1,"rect",0.773466825485229,0.762162137031555,8
"chess-krvkp",256,1,"cone",0.660826086997986,0.712741285562515,16
"chess-krvkp",512,0.1,"rect",0.678347945213318,0.696911191940308,8
"chess-krvkp",1024,0.01,"rect",0.615769743919373,0.635135126113892,8
"chess-krvkp",256,0.01,"cone",0.640801072120667,0.628185319900513,8
"chess-krvkp",512,0.01,"rect",0.523153960704803,0.588803106546402,16
"chess-krvkp",512,0.01,"rect",0.526908695697784,0.566409277915955,8
"chess-krvkp",256,0.01,"cone",0.531914949417114,0.557142877578735,16
"chess-krvkp",1024,0.01,"cone",0.543178975582123,0.556370657682419,8
"chess-krvkp",1024,0.01,"rect",0.523153960704803,0.538223952054978,16
"chess-krvkp",1024,1,"rect",0.524405479431152,0.53667955994606,16
"chess-krvkp",512,1,"cone",0.528160214424133,0.536679536104202,16
"chess-krvkp",512,0.01,"rect",0.523153960704803,0.534362959861755,32
"chess-krvkp",1024,0.01,"cone",0.523153960704803,0.532818555831909,32
"chess-krvkp",512,0.01,"cone",0.523153960704803,0.532818555831909,32
"chess-krvkp",256,0.01,"cone",0.523153960704803,0.532818555831909,32
"chess-krvkp",1024,0.1,"cone",0.523153960704803,0.532818555831909,32
"chess-krvkp",512,0.1,"cone",0.523153960704803,0.532818555831909,32
"chess-krvkp",256,0.1,"cone",0.523153960704803,0.532818555831909,32
"chess-krvkp",256,1,"cone",0.523153960704803,0.532818555831909,32
"chess-krvkp",512,0.01,"cone",0.523153960704803,0.532818555831909,16
"chess-krvkp",256,0.1,"cone",0.523153960704803,0.532818555831909,16
"chess-krvkp",256,0.01,"rect",0.523153960704803,0.532818549871445,32
"chess-krvkp",512,1,"cone",0.523153960704803,0.532818549871445,32
"chess-krvkp",256,1,"rect",0.523153960704803,0.532818549871445,32
"chess-krvkp",256,0.01,"rect",0.523153960704803,0.53281854391098,16
"chess-krvkp",1024,1,"rect",0.523153960704803,0.52625484764576,32
"chess-krvkp",512,0.1,"rect",0.523153960704803,0.526254835724831,32
"chess-krvkp",1024,0.01,"rect",0.523153960704803,0.518918925523758,32
"chess-krvkp",256,0.1,"rect",0.476846039295197,0.513127422332764,32
"chess-krvkp",1024,1,"cone",0.476846039295197,0.500000005960465,32
"chess-krvkp",512,1,"rect",0.523153960704803,0.493436285853386,32
"chess-krvkp",1024,0.01,"cone",0.476846039295197,0.486486467719078,16
"chess-krvkp",1024,1,"cone",0.47809761762619,0.483783781528473,16
"chess-krvkp",1024,0.1,"rect",0.476846039295197,0.473745164275169,32
"chess-krvkp",256,1,"rect",0.476846039295197,0.467181453108788,16
