"dataset","nlayers","learningrate","layerForm","valAccuracy","testAccuracy","nhidden"
"plant-shape",3,1,"rect",0.0262135926634073,0.0350000001490116,256
"plant-shape",3,1,"cone",0.0262135924771428,0.0199999995529652,1024
"plant-shape",8,0.01,"rect",0.0262135924771428,0.0399999991059303,1024
"plant-shape",3,1,"rect",0.0252427192404866,0.0224999990314245,1024
"plant-shape",3,1,"cone",0.0252427188679576,0.0249999985098839,256
"plant-shape",4,0.1,"rect",0.0242718448862433,0.057499997317791,256
"plant-shape",2,1,"cone",0.0233009712770581,0.0175000000745058,1024
"plant-shape",3,1,"rect",0.0233009712770581,0.00999999977648258,512
"plant-shape",16,0.01,"rect",0.0223300972953439,0.0274999998509884,512
"plant-shape",4,1,"cone",0.0223300972953439,0.0274999979883432,256
"plant-shape",4,1,"rect",0.0223300972953439,0.0374999977648258,1024
"plant-shape",32,0.01,"cone",0.0223300972953439,0.00999999977648258,1024
"plant-shape",4,1,"cone",0.0213592234998941,0.0349999964237213,1024
"plant-shape",4,1,"rect",0.0203883497044444,0.0224999990314245,256
"plant-shape",32,0.01,"cone",0.0194174759089947,0.00999999977648258,512
"plant-shape",32,1,"rect",0.0194174759089947,0.00999999977648258,1024
"plant-shape",8,0.01,"cone",0.0194174759089947,0.0224999990314245,256
"plant-shape",16,0.1,"cone",0.0174757283180952,0.0224999990314245,1024
"plant-shape",16,1,"cone",0.0174757283180952,0.0199999995529652,512
"plant-shape",2,1,"cone",0.0174757283180952,0.00749999983236194,512
"plant-shape",2,1,"rect",0.0174757283180952,0.00999999977648258,512
"plant-shape",32,0.1,"cone",0.0174757283180952,0.00999999977648258,256
"plant-shape",16,0.1,"cone",0.0165048545226455,0.0149999987334013,512
"plant-shape",32,0.01,"rect",0.0155339807271957,0.00999999977648258,1024
"plant-shape",32,0.1,"cone",0.0155339807271957,0.00999999977648258,1024
"plant-shape",8,1,"rect",0.0155339807271957,0.00999999977648258,512
"plant-shape",16,0.1,"rect",0.0155339807271957,0.00999999977648258,512
"plant-shape",32,0.1,"rect",0.014563106931746,0.00999999977648258,256
"plant-shape",16,1,"rect",0.014563106931746,0.00999999977648258,1024
"plant-shape",8,1,"rect",0.014563106931746,0.00999999977648258,1024
"plant-shape",32,1,"cone",0.0135922331362963,0.00999999977648258,256
"plant-shape",16,1,"rect",0.0135922331362963,0.00999999977648258,256
"plant-shape",32,0.1,"rect",0.0135922331362963,0.00999999977648258,512
"plant-shape",32,1,"rect",0.0135922331362963,0.00999999977648258,256
"plant-shape",16,0.1,"cone",0.0135922331362963,0.0149999996647239,256
"plant-shape",8,1,"cone",0.0126213593408465,0.00999999977648258,512
"plant-shape",32,0.1,"rect",0.0126213593408465,0.00999999977648258,1024
"plant-shape",16,0.1,"rect",0.0126213593408465,0.00999999977648258,1024
"plant-shape",16,1,"cone",0.0126213593408465,0.0274999979883432,256
"plant-shape",8,1,"rect",0.0126213593408465,0.00999999977648258,256
"plant-shape",32,0.01,"rect",0.0106796117499471,0.0124999992549419,512
"plant-shape",16,0.01,"cone",0.0106796117499471,0.0149999996647239,1024
"plant-shape",16,0.1,"rect",0.0106796117499471,0.0124999992549419,256
"plant-shape",16,1,"cone",0.0106796117499471,0.00999999977648258,1024
"plant-shape",32,1,"cone",0.0106796117499471,0.00999999977648258,1024
"plant-shape",32,1,"cone",0.0106796117499471,0.00999999977648258,512
"plant-shape",16,0.01,"cone",0.0106796117499471,0.00999999977648258,512
"plant-shape",16,1,"rect",0.0106796117499471,0.00999999977648258,512
"plant-shape",32,0.01,"cone",0.00970873795449734,0.0175000000745058,256
"plant-shape",8,1,"cone",0.0087378641590476,0.00999999977648258,256
"plant-shape",8,1,"cone",0.00679611656814814,0.00999999977648258,1024
"plant-shape",32,0.01,"rect",0.00388349518179894,0.00249999994412065,256
"plant-shape",32,0.1,"cone",0.00388349518179894,0.00999999977648258,512
"plant-shape",16,0.01,"cone",0.000970873795449734,0.0124999992549419,256
"plant-shape",32,1,"rect",0,0.00999999977648258,512
