"dataset","nhidden","valAccuracy","testAccuracy","layerForm","learningrate","nlayers"
"breast-cancer",1024,0.842105269432068,0.704225301742554,"rect",0.01,16
"breast-cancer",512,0.842105269432068,0.704225301742554,"cone",0.01,16
"breast-cancer",512,0.842105269432068,0.704225301742554,"rect",0.01,16
"breast-cancer",256,0.842105269432068,0.704225301742554,"cone",0.01,16
"breast-cancer",256,0.842105269432068,0.704225301742554,"rect",0.01,16
"breast-cancer",512,0.842105269432068,0.704225301742554,"cone",0.1,16
"breast-cancer",256,0.842105269432068,0.704225301742554,"cone",0.1,16
"breast-cancer",1024,0.842105269432068,0.704225301742554,"cone",1,16
"breast-cancer",1024,0.842105269432068,0.704225301742554,"cone",0.01,8
"breast-cancer",1024,0.842105269432068,0.704225301742554,"rect",0.01,8
"breast-cancer",512,0.842105269432068,0.704225301742554,"cone",0.01,8
"breast-cancer",512,0.842105269432068,0.704225301742554,"rect",0.01,8
"breast-cancer",256,0.842105269432068,0.704225301742554,"rect",0.01,8
"breast-cancer",1024,0.842105269432068,0.704225301742554,"cone",0.1,8
"breast-cancer",512,0.842105269432068,0.704225301742554,"cone",0.1,8
"breast-cancer",256,0.842105269432068,0.704225301742554,"cone",0.1,8
"breast-cancer",256,0.842105269432068,0.704225301742554,"rect",0.1,8
"breast-cancer",256,0.842105269432068,0.704225301742554,"rect",1,8
"breast-cancer",1024,0.842105269432068,0.704225301742554,"rect",0.01,4
"breast-cancer",512,0.842105269432068,0.704225301742554,"cone",0.1,4
"breast-cancer",256,0.842105269432068,0.704225301742554,"cone",0.1,4
"breast-cancer",256,0.842105269432068,0.704225301742554,"rect",0.1,4
"breast-cancer",256,0.842105269432068,0.704225301742554,"cone",0.01,3
"breast-cancer",512,0.842105269432068,0.704225301742554,"cone",0.1,3
"breast-cancer",512,0.842105269432068,0.704225301742554,"rect",0.1,3
"breast-cancer",256,0.842105269432068,0.704225301742554,"cone",0.1,3
"breast-cancer",256,0.842105269432068,0.704225301742554,"rect",0.1,3
"breast-cancer",512,0.842105269432068,0.704225301742554,"cone",0.01,2
"breast-cancer",512,0.842105269432068,0.704225301742554,"rect",0.01,2
"breast-cancer",256,0.842105269432068,0.704225301742554,"cone",0.01,2
"breast-cancer",512,0.842105269432068,0.704225301742554,"cone",0.1,2
"breast-cancer",512,0.842105269432068,0.704225301742554,"rect",0.1,2
"breast-cancer",512,0.836842107772827,0.690140843391418,"rect",1,2
"breast-cancer",1024,0.831578958034516,0.704225301742554,"rect",0.1,16
"breast-cancer",256,0.831578958034515,0.690140843391418,"rect",1,2
"breast-cancer",512,0.826315808296204,0.746478796005249,"cone",1,2
"breast-cancer",512,0.826315796375275,0.732394337654114,"cone",1,4
"breast-cancer",256,0.82631579041481,0.605633735656738,"rect",1,4
"breast-cancer",256,0.821052634716034,0.704225301742554,"rect",1,16
"breast-cancer",1024,0.82105262875557,0.704225301742554,"cone",1,8
"breast-cancer",1024,0.800000005960465,0.718309819698334,"rect",1,16
"breast-cancer",512,0.800000005960464,0.704225301742554,"rect",1,8
"breast-cancer",512,0.773684215545654,0.704225301742554,"rect",1,16
"breast-cancer",512,0.768421059846878,0.577464818954468,"rect",1,4
"breast-cancer",1024,0.742105263471603,0.704225301742554,"rect",1,4
"breast-cancer",256,0.736842107772827,0.633802771568298,"cone",1,8
"breast-cancer",1024,0.72631579041481,0.647887289524078,"rect",1,3
"breast-cancer",256,0.705263161659241,0.704225301742554,"rect",1,32
"breast-cancer",512,0.694736838340759,0.732394337654114,"cone",1,16
"breast-cancer",512,0.673684206604958,0.633802831172943,"rect",0.1,16
"breast-cancer",256,0.668421038985252,0.690140843391418,"rect",1,3
"breast-cancer",1024,0.652631574869156,0.704225301742554,"rect",1,8
"breast-cancer",512,0.636842107772827,0.295774638652802,"rect",0.1,32
"breast-cancer",1024,0.615789487957955,0.718309879302979,"rect",1,2
"breast-cancer",512,0.600000011920929,0.464788734912872,"rect",1,3
"breast-cancer",512,0.563157886266708,0.49295774102211,"cone",1,3
"breast-cancer",512,0.5,0.295774638652802,"rect",0.01,32
"breast-cancer",256,0.294736838340759,0.295774638652802,"cone",1,16
"breast-cancer",1024,0.157894730567932,0.295774638652802,"rect",1,32
"breast-cancer",512,0.157894730567932,0.295774638652802,"cone",1,32
