"dataset","testAccuracy","layerForm","learningrate","nlayers","valAccuracy","nhidden"
"nursery",0.99351841211319,"rect",0.01,16,0.994444411993027,256
"nursery",0.993827044963837,"cone",0.01,2,0.994135737419128,256
"nursery",0.991975247859955,"rect",0.01,8,0.994032901525498,1024
"nursery",0.992283880710602,"cone",0.01,16,0.992283880710602,256
"nursery",0.992283880710602,"rect",0.01,16,0.991872400045395,512
"nursery",0.992592453956604,"rect",0.01,8,0.991049349308014,256
"nursery",0.985802352428436,"rect",0.01,32,0.990740716457367,512
"nursery",0.985185146331787,"rect",0.01,32,0.990020543336868,256
"nursery",0.98395049571991,"rect",0.1,32,0.989197510480881,256
"nursery",0.988580107688904,"rect",0.01,32,0.988683116436005,1024
"nursery",0.987036943435669,"rect",0.1,32,0.987139910459518,512
"nursery",1,"cone",1,16,0.981584322452545,1024
"nursery",0.980555474758148,"cone",0.1,32,0.970164597034454,1024
"nursery",0.964814722537994,"cone",0.01,32,0.962448543310165,512
"nursery",0.957098662853241,"cone",1,3,0.958024668693543,512
"nursery",0.943518459796906,"cone",0.1,32,0.948971194028854,512
"nursery",0.929320931434631,"cone",1,3,0.944547313451767,1024
"nursery",0.915740609169006,"rect",0.1,16,0.922325110435486,256
"nursery",0.901851773262024,"cone",0.01,32,0.91141973733902,256
"nursery",0.92037034034729,"cone",0.1,2,0.900617277622223,256
"nursery",0.934259176254272,"rect",0.1,2,0.896810680627823,512
"nursery",0.909567832946777,"cone",0.1,3,0.885493820905686,512
"nursery",0.904320955276489,"cone",0.1,2,0.877777767181397,512
"nursery",0.885185122489929,"cone",0.01,3,0.87530866265297,1024
"nursery",0.882716000080109,"cone",0.1,4,0.871090543270111,256
"nursery",0.905555486679077,"cone",0.01,3,0.868621385097504,256
"nursery",0.879938185214996,"rect",0.1,3,0.862860071659088,256
"nursery",0.859567880630493,"cone",0.01,2,0.86069957613945,512
"nursery",0.870678961277008,"rect",0.01,3,0.856069952249527,1024
"nursery",0.878703653812408,"rect",0.1,2,0.841049367189407,1024
"nursery",0.847530722618103,"rect",0.01,2,0.838580226898193,1024
"nursery",0.786728382110596,"cone",0.01,2,0.813065826892853,1024
"nursery",0.84629625082016,"cone",0.01,4,0.797427976131439,256
"nursery",0.794135749340057,"rect",0.01,2,0.791460913419724,256
"nursery",0.753086388111115,"rect",0.1,3,0.786728394031525,512
"nursery",0.794444382190704,"cone",0.1,3,0.774691355228424,256
"nursery",0.69660484790802,"cone",0.1,3,0.765020573139191,1024
"nursery",0.768518447875977,"cone",0.1,4,0.763888901472092,512
"nursery",0.857407331466675,"cone",0.1,8,0.75648148059845,1024
"nursery",0.791049301624298,"rect",0.01,3,0.752263355255127,256
"nursery",0.729629576206207,"rect",0.1,16,0.73919752240181,512
"nursery",0.614506125450134,"cone",0.1,16,0.725411486625672,512
"nursery",0.704938232898712,"cone",0.1,32,0.718312752246857,256
"nursery",0.685802459716797,"cone",0.01,4,0.71378601193428,512
"nursery",0.609567880630493,"rect",0.1,4,0.706069964170456,256
"nursery",0.678703665733337,"rect",0.01,3,0.693518513441086,512
"nursery",0.611728370189667,"cone",0.1,4,0.685082310438156,1024
"nursery",0.619444370269775,"rect",0.01,4,0.676337444782257,256
"nursery",0.733333349227905,"rect",0.1,16,0.665843600034714,1024
"nursery",0.591358006000519,"cone",0.1,8,0.654526752233505,512
"nursery",0.570678949356079,"rect",0.1,4,0.648765432834625,512
"nursery",0.539197504520416,"cone",0.1,2,0.639094641804695,1024
"nursery",0.596913576126099,"cone",0.01,16,0.636625504493713,512
"nursery",0.564814805984497,"rect",0.1,3,0.631584367156029,1024
"nursery",0.550308585166931,"rect",0.01,4,0.625308632850647,512
"nursery",0.551543176174164,"rect",0.01,4,0.622839510440827,1024
"nursery",0.642901182174683,"cone",0.1,16,0.620781886577606,1024
"nursery",0.599691331386566,"rect",0.1,8,0.609876561164856,256
"nursery",0.544135808944702,"cone",0.01,4,0.608127573132515,1024
"nursery",0.52777773141861,"rect",0.1,4,0.573148143291473,1024
"nursery",0.561111152172089,"rect",0.1,8,0.569238692522049,512
"nursery",0.566975295543671,"cone",0.01,3,0.566152265667915,512
"nursery",0.491049349308014,"rect",0.01,8,0.506790107488632,512
"nursery",0.530864179134369,"rect",0.01,16,0.494444447755814,1024
"nursery",0.558333277702332,"rect",0.1,8,0.453189304471016,1024
"nursery",0.329012364149094,"cone",1,32,0.339300400018692,256
"nursery",0.329012334346771,"cone",1,32,0.336419746279717,1024
"nursery",0.333641976118088,"cone",1,32,0.336214002966881,512
"nursery",0.312037020921707,"rect",1,32,0.308436226844788,512
"nursery",0.31327161192894,"cone",0.01,32,0.306481474637985,1024
"nursery",0.0253086443990469,"rect",1,32,0.019547325745225,256
"nursery",0.0253086425364017,"rect",1,32,0.0195473246276379,1024
