"dataset","nhidden","valAccuracy","layerForm","testAccuracy","nlayers","learningrate"
"breast-cancer-wisc-diag",256,0.942857193946838,"rect",0.964788675308228,2,0.1
"breast-cancer-wisc-diag",512,0.94047623872757,"rect",0.964788734912872,4,0.1
"breast-cancer-wisc-diag",512,0.94047623872757,"cone",0.97183096408844,8,1
"breast-cancer-wisc-diag",1024,0.938095283508301,"rect",0.964788734912872,4,0.01
"breast-cancer-wisc-diag",1024,0.938095283508301,"cone",0.94366192817688,4,0.1
"breast-cancer-wisc-diag",1024,0.935714328289032,"rect",0.978873252868652,3,0.01
"breast-cancer-wisc-diag",256,0.935714322328568,"rect",0.971831023693085,8,1
"breast-cancer-wisc-diag",512,0.933333373069763,"cone",0.964788675308228,2,0.1
"breast-cancer-wisc-diag",512,0.930952417850495,"cone",0.964788794517517,2,1
"breast-cancer-wisc-diag",512,0.930952417850494,"cone",0.936619699001312,4,0.1
"breast-cancer-wisc-diag",256,0.928571474552154,"cone",0.788732349872589,3,0.1
"breast-cancer-wisc-diag",256,0.928571462631226,"rect",0.985915422439575,4,1
"breast-cancer-wisc-diag",512,0.928571462631226,"rect",0.97183096408844,8,1
"breast-cancer-wisc-diag",512,0.928571462631226,"rect",0.95774644613266,4,0.01
"breast-cancer-wisc-diag",256,0.928571462631226,"rect",0.950704216957092,4,0.01
"breast-cancer-wisc-diag",1024,0.928571462631226,"cone",0.971830904483795,3,0.01
"breast-cancer-wisc-diag",1024,0.928571462631226,"cone",0.950704216957092,3,0.1
"breast-cancer-wisc-diag",512,0.928571462631226,"rect",0.978873252868652,3,1
"breast-cancer-wisc-diag",256,0.928571462631226,"rect",0.95774644613266,2,1
"breast-cancer-wisc-diag",1024,0.921428608894348,"cone",0.901408433914185,16,1
"breast-cancer-wisc-diag",256,0.91904764175415,"rect",0.978873252868652,3,1
"breast-cancer-wisc-diag",1024,0.916666686534881,"rect",0.915492951869965,8,1
"breast-cancer-wisc-diag",512,0.907142913341522,"rect",0.901408433914185,8,0.1
"breast-cancer-wisc-diag",256,0.904761946201325,"rect",0.901408433914185,16,1
"breast-cancer-wisc-diag",256,0.876190519332886,"rect",0.880281686782837,16,0.1
"breast-cancer-wisc-diag",1024,0.830952417850495,"cone",0.795774579048157,16,0.1
"breast-cancer-wisc-diag",256,0.823809570074082,"rect",0.823943614959717,8,0.1
"breast-cancer-wisc-diag",1024,0.81904764175415,"cone",0.774647831916809,4,0.01
"breast-cancer-wisc-diag",512,0.785714328289032,"cone",0.690140843391418,4,0.01
"breast-cancer-wisc-diag",256,0.778571480512619,"cone",0.697183072566986,4,0.1
"breast-cancer-wisc-diag",1024,0.776190531253815,"rect",0.739436626434326,8,0.01
"breast-cancer-wisc-diag",1024,0.757142895460129,"cone",0.626760482788086,8,0.01
"breast-cancer-wisc-diag",256,0.738095283508301,"rect",0.669014096260071,8,0.01
"breast-cancer-wisc-diag",256,0.738095283508301,"cone",0.640845060348511,4,0.01
"breast-cancer-wisc-diag",512,0.723809552192688,"rect",0.626760601997375,16,0.1
"breast-cancer-wisc-diag",256,0.71904764175415,"rect",0.633802831172943,32,0.01
"breast-cancer-wisc-diag",512,0.714285731315613,"rect",0.626760601997375,8,0.01
"breast-cancer-wisc-diag",512,0.714285731315613,"cone",0.640845060348511,8,0.1
"breast-cancer-wisc-diag",256,0.7,"cone",0.626760601997375,16,0.01
"breast-cancer-wisc-diag",512,0.695238089561462,"cone",0.626760601997375,16,0.1
"breast-cancer-wisc-diag",512,0.695238089561462,"rect",0.626760601997375,16,1
"breast-cancer-wisc-diag",1024,0.690476179122925,"cone",0.626760542392731,32,0.01
"breast-cancer-wisc-diag",256,0.690476179122925,"cone",0.626760601997375,32,0.01
"breast-cancer-wisc-diag",1024,0.690476179122925,"cone",0.626760601997375,32,0.1
"breast-cancer-wisc-diag",512,0.690476179122925,"cone",0.626760601997375,32,0.1
"breast-cancer-wisc-diag",256,0.690476179122925,"cone",0.626760601997375,32,0.1
"breast-cancer-wisc-diag",1024,0.690476179122925,"rect",0.626760601997375,32,1
"breast-cancer-wisc-diag",512,0.690476179122925,"cone",0.626760542392731,32,1
"breast-cancer-wisc-diag",256,0.690476179122925,"cone",0.626760601997375,32,1
"breast-cancer-wisc-diag",256,0.690476179122925,"rect",0.626760601997375,32,1
"breast-cancer-wisc-diag",1024,0.690476179122925,"cone",0.626760601997375,16,0.01
"breast-cancer-wisc-diag",1024,0.690476179122925,"rect",0.626760601997375,16,0.01
"breast-cancer-wisc-diag",512,0.690476179122925,"cone",0.626760601997375,16,0.01
"breast-cancer-wisc-diag",512,0.690476179122925,"rect",0.626760601997375,16,0.01
"breast-cancer-wisc-diag",256,0.690476179122925,"rect",0.626760601997375,16,0.01
"breast-cancer-wisc-diag",256,0.690476179122925,"cone",0.626760601997375,16,0.1
"breast-cancer-wisc-diag",1024,0.690476179122925,"rect",0.626760601997375,16,1
"breast-cancer-wisc-diag",256,0.690476179122925,"cone",0.626760601997375,16,1
"breast-cancer-wisc-diag",512,0.690476179122925,"cone",0.626760601997375,8,0.01
"breast-cancer-wisc-diag",256,0.690476179122925,"cone",0.626760601997375,8,0.01
"breast-cancer-wisc-diag",1024,0.690476179122925,"cone",0.626760601997375,8,0.1
"breast-cancer-wisc-diag",512,0.626190501451492,"cone",0.697183132171631,16,1
"breast-cancer-wisc-diag",512,0.614285707473755,"rect",0.626760601997375,32,1
"breast-cancer-wisc-diag",1024,0.614285707473755,"cone",0.626760601997375,32,1
"breast-cancer-wisc-diag",256,0.500000014901161,"cone",0.415492951869965,8,0.1
"breast-cancer-wisc-diag",512,0.478571432828903,"rect",0.373239427804947,32,0.01
"breast-cancer-wisc-diag",1024,0.42380952835083,"rect",0.373239427804947,32,0.01
"breast-cancer-wisc-diag",512,0.385714292526245,"rect",0.373239427804947,32,0.1
"breast-cancer-wisc-diag",512,0.34761905670166,"cone",0.373239398002625,32,0.01
"breast-cancer-wisc-diag",1024,0.34761905670166,"rect",0.373239427804947,32,0.1
"breast-cancer-wisc-diag",256,0.309523820877075,"rect",0.373239427804947,32,0.1
"breast-cancer-wisc-diag",1024,0.309523820877075,"rect",0.373239427804947,16,0.1
