"dataset","valAccuracy","nlayers","nhidden","learningrate","layerForm","testAccuracy"
"pittsburg-bridges-MATERIAL",0.625,16,256,0.1,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,16,1024,1,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,16,256,1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,8,1024,0.01,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,8,512,0.01,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,8,512,0.01,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,8,256,0.01,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,8,512,0.1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,8,256,0.1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,8,256,1,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,4,256,0.01,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,3,256,0.01,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,3,512,0.1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,3,256,0.1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.6125,8,1024,0.1,"rect",0.807692348957062
"pittsburg-bridges-MATERIAL",0.6125,8,512,1,"cone",0.653846204280853
"pittsburg-bridges-MATERIAL",0.5875,16,512,1,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.5875,16,256,1,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.5625,3,1024,1,"rect",0.807692348957062
"pittsburg-bridges-MATERIAL",0.5375,16,1024,0.1,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.525,32,256,0.1,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.475,16,1024,0.1,"cone",0.653846144676208
"pittsburg-bridges-MATERIAL",0.4,32,512,0.1,"rect",0.0769230797886848
"pittsburg-bridges-MATERIAL",0.325,32,1024,1,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.3,32,512,0.01,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,32,1024,0.01,"rect",0.807692408561707
"pittsburg-bridges-MATERIAL",0.25,32,512,0.01,"cone",0.15384615957737
"pittsburg-bridges-MATERIAL",0.1375,32,512,1,"rect",0.0769230797886848
"pittsburg-bridges-MATERIAL",0.125,32,256,0.01,"rect",0.0769230797886848
