"dataset","valAccuracy","nhidden","nlayers","testAccuracy","layerForm","learningrate"
"flags",0.357894730567932,1024,3,0.479166686534882,"cone",1
"flags",0.357894730567932,256,2,0.395833373069763,"cone",1
"flags",0.352631580084562,1024,8,0.0416666679084301,"rect",1
"flags",0.347368422150612,512,4,0.395833343267441,"rect",1
"flags",0.342105260491371,256,3,0.479166686534882,"rect",1
"flags",0.336842101812363,512,8,0.375000029802322,"cone",0.1
"flags",0.336842101812363,512,3,0.458333343267441,"rect",1
"flags",0.32631579041481,512,4,0.354166686534882,"cone",0.01
"flags",0.326315787434578,1024,4,0.395833343267441,"rect",1
"flags",0.326315784454346,256,3,0.333333343267441,"cone",0.01
"flags",0.321052619814873,512,2,0.416666686534882,"rect",0.1
"flags",0.315789461135864,256,4,0.395833343267441,"cone",0.01
"flags",0.315789461135864,1024,2,0.4375,"cone",0.01
"flags",0.310526320338249,512,16,0.187500014901161,"cone",0.1
"flags",0.310526320338249,256,8,0.333333343267441,"rect",1
"flags",0.305263163149357,256,4,0.3125,"rect",1
"flags",0.289473682641983,1024,8,0.333333343267441,"cone",0.01
"flags",0.284210529923439,1024,16,0.1875,"cone",0.1
"flags",0.278947371244431,256,4,0.291666686534882,"cone",0.1
"flags",0.273684215545654,256,8,0.333333343267441,"cone",0.01
"flags",0.273684215545654,1024,4,0.354166686534882,"cone",0.01
"flags",0.268421053886414,256,16,0.333333343267441,"rect",0.1
"flags",0.263157904148102,256,32,0.125,"cone",0.01
"flags",0.263157904148102,512,32,0.333333343267441,"rect",0.1
"flags",0.263157904148102,256,32,0.333333343267441,"cone",1
"flags",0.263157904148102,1024,16,0.333333343267441,"cone",0.01
"flags",0.263157904148102,1024,16,0.333333343267441,"rect",0.01
"flags",0.263157904148102,512,16,0.333333343267441,"cone",0.01
"flags",0.263157904148102,512,16,0.333333343267441,"rect",0.01
"flags",0.263157904148102,256,16,0.333333343267441,"cone",0.01
"flags",0.263157904148102,256,16,0.333333343267441,"rect",0.01
"flags",0.263157904148102,1024,8,0.354166686534882,"rect",0.01
"flags",0.263157904148102,512,8,0.3125,"cone",0.01
"flags",0.263157904148102,512,8,0.333333343267441,"rect",0.01
"flags",0.263157904148102,256,8,0.333333343267441,"rect",0.01
"flags",0.263157904148102,1024,8,0.333333343267441,"cone",0.1
"flags",0.263157904148102,256,8,0.333333343267441,"cone",0.1
"flags",0.263157904148102,512,8,0.333333343267441,"rect",1
"flags",0.263157904148102,256,4,0.354166686534882,"rect",0.01
"flags",0.257894745469093,1024,32,0.333333343267441,"cone",1
"flags",0.252631586790085,512,32,0.333333343267441,"cone",1
"flags",0.242105271667242,1024,16,0.333333343267441,"rect",1
"flags",0.242105269432068,1024,16,0.333333343267441,"cone",1
"flags",0.236842107772827,256,8,0.270833343267441,"cone",1
"flags",0.231578952074051,256,32,0.333333343267441,"rect",1
"flags",0.231578952074051,256,16,0.16666667163372,"cone",0.1
"flags",0.221052634716034,512,32,0.125,"rect",1
"flags",0.221052634716034,256,16,0.333333343267441,"rect",1
"flags",0.221052634716034,512,32,0.125,"cone",0.1
"flags",0.210526321828365,1024,32,0.333333343267441,"rect",0.1
"flags",0.210526318848133,1024,16,0.1875,"rect",0.1
"flags",0.210526317358017,1024,32,0.1875,"rect",1
"flags",0.205263158679009,512,16,0.208333343267441,"rect",1
"flags",0.194736843556166,256,16,0.1875,"cone",1
"flags",0.189473684877157,512,16,0.1875,"cone",1
"flags",0.17368420958519,1024,8,0.208333343267441,"cone",1
"flags",0.173684206604958,512,32,0.208333343267441,"rect",0.01
"flags",0.163157889246941,256,32,0.208333343267441,"rect",0.01
"flags",0.157894730567932,1024,32,0.208333343267441,"cone",0.01
"flags",0.142105264216661,256,32,0.0625,"rect",0.1
"flags",0.131578948348761,256,32,0.0625,"cone",0.1
"flags",0.105263158679008,512,32,0.0625,"cone",0.01
"flags",0.0947368428111076,1024,32,0.0625,"cone",0.1
"flags",0.0842105254530907,512,16,0.10416667163372,"rect",0.1
"flags",0.0210526317358017,1024,32,0.020833333954215,"rect",0.01
