"dataset","testAccuracy","nlayers","nhidden","layerForm","valAccuracy","learningrate"
"tic-tac-toe",0.652719616889954,16,512,"cone",0.680000007152557,0.1
"tic-tac-toe",0.652719616889954,16,512,"rect",0.680000007152557,0.1
"tic-tac-toe",0.652719676494598,16,256,"cone",0.680000007152557,0.1
"tic-tac-toe",0.652719616889954,16,256,"rect",0.680000007152557,0.1
"tic-tac-toe",0.652719676494598,16,512,"cone",0.680000007152557,1
"tic-tac-toe",0.652719616889954,16,256,"cone",0.680000007152557,1
"tic-tac-toe",0.652719676494598,16,256,"rect",0.680000007152557,1
"tic-tac-toe",0.652719616889954,8,1024,"cone",0.680000007152557,0.01
"tic-tac-toe",0.652719616889954,8,1024,"rect",0.680000007152557,0.01
"tic-tac-toe",0.652719676494598,8,512,"cone",0.680000007152557,0.01
"tic-tac-toe",0.652719676494598,8,256,"cone",0.680000007152557,0.01
"tic-tac-toe",0.652719616889954,8,256,"rect",0.680000007152557,0.01
"tic-tac-toe",0.652719616889954,8,512,"rect",0.680000007152557,0.1
"tic-tac-toe",0.652719616889954,8,256,"cone",0.680000007152557,0.1
"tic-tac-toe",0.652719676494598,8,256,"rect",0.680000007152557,0.1
"tic-tac-toe",0.652719616889954,4,1024,"cone",0.680000007152557,0.01
"tic-tac-toe",0.652719616889954,4,512,"cone",0.680000007152557,0.01
"tic-tac-toe",0.652719676494598,4,512,"cone",0.680000007152557,0.1
"tic-tac-toe",0.652719616889954,4,256,"rect",0.680000007152557,0.1
"tic-tac-toe",0.652719676494598,4,256,"cone",0.680000007152557,1
"tic-tac-toe",0.652719676494598,3,256,"rect",0.680000007152557,0.01
"tic-tac-toe",0.652719616889954,2,512,"cone",0.680000007152557,0.01
"tic-tac-toe",0.673640131950378,3,1024,"rect",0.657333302497864,1
"tic-tac-toe",0.347280323505402,16,512,"rect",0.644000005722046,1
"tic-tac-toe",0.347280323505402,32,512,"rect",0.608000004291534,1
"tic-tac-toe",0.652719616889954,32,256,"rect",0.536000001430512,1
"tic-tac-toe",0.652719676494598,32,256,"rect",0.463999998569489,0.1
"tic-tac-toe",0.347280323505402,8,512,"rect",0.450666666030884,1
"tic-tac-toe",0.460251003503799,16,1024,"rect",0.375999990105629,1
"tic-tac-toe",0.359832584857941,8,256,"rect",0.36399998664856,1
"tic-tac-toe",0.347280323505402,32,1024,"rect",0.319999992847443,0.1
"tic-tac-toe",0.347280323505402,32,512,"rect",0.319999992847443,0.1
