"dataset","learningrate","nlayers","testAccuracy","layerForm","nhidden","valAccuracy"
"pendigits",0.01,3,0.693539142608643,"cone",1024,0.797300946712494
"pendigits",0.01,4,0.712406992912292,"rect",512,0.776383262872696
"pendigits",0.1,32,0.659805655479431,"cone",512,0.695006734132767
"pendigits",0.1,4,0.595197260379791,"cone",1024,0.694331991672516
"pendigits",0.1,8,0.520869076251984,"rect",512,0.652496600151062
"pendigits",0.1,32,0.547741532325745,"cone",256,0.649527654051781
"pendigits",0.01,4,0.573184669017792,"cone",512,0.646018868684769
"pendigits",0.01,4,0.43853634595871,"rect",1024,0.558704447746277
"pendigits",0.01,4,0.398513436317444,"cone",1024,0.541565448045731
"pendigits",0.1,8,0.21898227930069,"rect",1024,0.388394063711166
"pendigits",0.01,8,0.12607204914093,"rect",1024,0.16140351369977
"pendigits",0.01,8,0.146083474159241,"cone",512,0.148717945814133
"pendigits",0.01,16,0.119210980832577,"cone",1024,0.146693652868271
"pendigits",0.01,32,0.0997713059186935,"rect",256,0.12213224992156
"pendigits",1,32,0.103773586452007,"cone",512,0.0998650468885899
"pendigits",1,32,0.104059457778931,"rect",256,0.0966261841356754
"pendigits",1,32,0.104059457778931,"rect",1024,0.0948717966675758
"pendigits",1,32,0.0960548967123032,"cone",1024,0.0941970311105251
"pendigits",1,32,0.0960548892617226,"cone",256,0.0940620750188827
"pendigits",0.01,16,0.0960548892617226,"rect",1024,0.093117406219244
"pendigits",1,32,0.096054881811142,"rect",512,0.0896086409687996
"pendigits",0.1,32,0.096054881811142,"rect",512,0.0894736878573894
