"dataset","layerForm","testAccuracy","learningrate","valAccuracy","nlayers","nhidden"
"mushroom","rect",0.482028543949127,0.01,0.542560005187988,8,1024
"mushroom","rect",0.48202857375145,0.01,0.523519992828369,16,512
"mushroom","cone",0.482028543949127,0.1,0.518400013446808,32,512
"mushroom","cone",0.48202857375145,0.1,0.518400013446808,32,256
"mushroom","rect",0.482028543949127,1,0.518400013446808,32,512
"mushroom","rect",0.482028543949127,1,0.514720004796982,32,256
"mushroom","rect",0.48202857375145,1,0.514719992876053,32,1024
"mushroom","cone",0.518956184387207,0.01,0.504959964752197,8,1024
"mushroom","cone",0.517971515655518,1,0.496319997310639,32,512
"mushroom","cone",0.48202857375145,1,0.492639988660812,32,1024
"mushroom","cone",0.517971515655518,1,0.485279989242554,32,256
"mushroom","cone",0.517971456050873,0.01,0.481599986553192,32,1024
"mushroom","rect",0.517971456050873,0.01,0.481599986553192,32,1024
"mushroom","rect",0.517971396446228,0.01,0.481599986553192,32,512
"mushroom","cone",0.517971456050873,0.1,0.481599986553192,32,1024
"mushroom","rect",0.517971456050873,0.1,0.481599986553192,32,1024
"mushroom","rect",0.517971456050873,0.1,0.481599986553192,32,256
"mushroom","cone",0.517971456050873,0.1,0.481599986553192,16,512
