"dataset","testAccuracy","nlayers","learningrate","valAccuracy","layerForm","nhidden"
"plant-texture",0.0374999977648258,8,0.01,0.0242718450725079,"rect",1024
"plant-texture",0.00999999977648258,32,1,0.0203883497044444,"rect",256
"plant-texture",0.00999999977648258,16,1,0.0203883497044444,"rect",1024
"plant-texture",0.00999999977648258,32,0.1,0.0194174759089947,"rect",1024
"plant-texture",0.00999999977648258,32,0.01,0.0194174759089947,"cone",512
"plant-texture",0.00999999977648258,16,0.01,0.0194174759089947,"rect",256
"plant-texture",0.00999999977648258,8,1,0.0184466021135449,"rect",1024
"plant-texture",0.0175000000745058,32,0.01,0.0165048545226455,"rect",256
"plant-texture",0.00999999977648258,32,0.1,0.0165048545226455,"cone",512
"plant-texture",0.00999999977648258,32,1,0.0155339807271957,"cone",512
"plant-texture",0.025000000372529,8,0.01,0.014563106931746,"cone",256
"plant-texture",0.00999999977648258,16,0.01,0.0135922331362963,"cone",512
"plant-texture",0.0124999992549419,16,0.01,0.0126213593408465,"cone",256
"plant-texture",0.00999999977648258,16,1,0.0126213593408465,"rect",512
"plant-texture",0.00999999977648258,16,0.01,0.0116504855453968,"rect",512
"plant-texture",0.0274999998509884,16,0.01,0.0106796117499471,"rect",1024
"plant-texture",0.00999999977648258,32,1,0.00970873795449734,"cone",1024
"plant-texture",0.00999999977648258,32,0.01,0.00970873795449734,"rect",1024
"plant-texture",0.00999999977648258,32,0.1,0.00970873795449734,"cone",256
"plant-texture",0.00999999977648258,16,1,0.00970873795449734,"rect",256
"plant-texture",0.0199999995529652,16,1,0.0087378641590476,"cone",1024
"plant-texture",0.00999999977648258,32,0.1,0.00776699036359787,"rect",512
"plant-texture",0.00999999977648258,32,0.1,0.00776699036359787,"rect",256
"plant-texture",0.00999999977648258,32,1,0.00776699036359787,"rect",1024
"plant-texture",0.00999999977648258,32,0.1,0.00679611656814814,"cone",1024
"plant-texture",0.00999999977648258,32,1,0.00679611656814814,"cone",256
"plant-texture",0.00499999988824129,32,0.01,0.00485436897724867,"cone",1024
"plant-texture",0.00999999977648258,32,1,0.00388349518179894,"rect",512
"plant-texture",0.00999999977648258,16,1,0.00388349518179894,"cone",512
"plant-texture",0.00999999977648258,32,0.01,0.0029126213863492,"cone",256
"plant-texture",0.00999999977648258,16,0.01,0,"cone",1024
