"dataset","learningrate","layerForm","valAccuracy","nhidden","nlayers","testAccuracy"
"yeast",0.1,"rect",0.433962267637253,256,8,0.309973061084747
"yeast",1,"rect",0.427358502149582,256,2,0.396226435899734
"yeast",0.1,"cone",0.419811329245567,512,3,0.315363854169846
"yeast",1,"rect",0.416037750244141,512,2,0.318059295415878
"yeast",1,"rect",0.415094346553087,1024,2,0.520215630531311
"yeast",0.01,"cone",0.410377368330956,256,4,0.350404322147369
"yeast",1,"rect",0.407547178864479,256,4,0.407008051872253
"yeast",0.1,"rect",0.400943404436111,1024,8,0.35309973359108
"yeast",0.1,"rect",0.398113217949867,512,8,0.374663054943085
"yeast",0.1,"cone",0.398113214969635,1024,4,0.353099763393402
"yeast",1,"rect",0.393396237492561,512,3,0.415094345808029
"yeast",0.1,"rect",0.386792457103729,512,16,0.380053907632828
"yeast",1,"rect",0.383018866181374,1024,3,0.318059295415878
"yeast",0.1,"rect",0.375471699237824,1024,16,0.291105091571808
"yeast",0.01,"cone",0.370754715800285,1024,32,0.374663084745407
"yeast",0.1,"cone",0.366037744283676,256,4,0.307277590036392
"yeast",0.01,"rect",0.365094348788261,256,8,0.323450148105621
"yeast",0.01,"cone",0.359433966875076,256,8,0.285714268684387
"yeast",0.1,"cone",0.357547169923782,256,8,0.288409680128098
"yeast",0.01,"cone",0.349056601524353,512,32,0.288409680128098
"yeast",0.01,"rect",0.346226423978806,1024,8,0.320754706859589
"yeast",1,"rect",0.346226423978806,1024,8,0.331536412239075
"yeast",0.01,"rect",0.345283034443855,512,8,0.320754736661911
"yeast",1,"rect",0.345283025503159,256,32,0.288409680128098
"yeast",0.01,"cone",0.344339638948441,1024,16,0.320754706859589
"yeast",0.01,"cone",0.344339632987976,256,32,0.320754706859589
"yeast",0.01,"cone",0.344339630007744,512,8,0.320754706859589
"yeast",1,"cone",0.344339627027512,512,32,0.288409680128098
"yeast",0.1,"cone",0.343396243453026,512,16,0.320754736661911
"yeast",0.01,"cone",0.342452836036682,1024,8,0.318059295415878
"yeast",1,"cone",0.339622664451599,1024,32,0.320754736661911
"yeast",0.01,"rect",0.339622661471367,256,16,0.320754736661911
"yeast",0.01,"cone",0.339622658491135,512,16,0.320754706859589
"yeast",0.1,"cone",0.339622658491135,1024,16,0.320754706859589
"yeast",0.01,"rect",0.339622658491135,256,32,0.320754706859589
"yeast",0.01,"rect",0.339622658491135,512,16,0.320754706859589
"yeast",0.01,"cone",0.339622655510902,256,16,0.320754706859589
"yeast",0.1,"cone",0.339622655510902,256,16,0.320754706859589
"yeast",0.01,"rect",0.339622646570206,1024,16,0.320754736661911
"yeast",0.01,"rect",0.320754718780518,512,32,0.315363883972168
"yeast",1,"rect",0.308490573614836,1024,4,0.42048516869545
"yeast",1,"rect",0.291509436815977,512,16,0.288409680128098
"yeast",1,"cone",0.272641509771347,512,8,0.312668472528458
"yeast",1,"rect",0.254716984182596,1024,16,0.288409680128098
"yeast",0.01,"rect",0.254716980457306,1024,32,0.288409680128098
"yeast",1,"rect",0.218867927789688,256,8,0.307277619838715
"yeast",1,"rect",0.210377360135317,512,32,0.0323450118303299
"yeast",1,"rect",0.198113207519054,512,8,0.0943396240472794
"yeast",0.1,"rect",0.183962267637253,1024,32,0.0296495966613293
"yeast",1,"rect",0.166037736088038,256,16,0.288409680128098
"yeast",1,"rect",0.156603778153658,1024,32,0.107816711068153
"yeast",1,"cone",0.132075475901365,256,16,0.140161722898483
"yeast",0.1,"rect",0.132075473666191,256,32,0.16442047059536
"yeast",1,"cone",0.113207548856735,256,32,0.16442047059536
"yeast",0.1,"rect",0.0660377360880375,512,32,0.0296495966613293
"yeast",0.1,"cone",0.054716981947422,256,32,0.107816711068153
"yeast",0.1,"cone",0.0537735857069492,512,32,0.0323450118303299
"yeast",1,"cone",0.0377358496189117,512,16,0.0296495966613293
"yeast",0.1,"cone",0.00943396240472794,1024,32,0.0134770888835192
"yeast",1,"cone",0.00943396240472794,1024,16,0.0134770888835192
