"dataset","learningrate","nlayers","layerForm","valAccuracy","nhidden","testAccuracy"
"plant-margin",0.01,2,"cone",0.667213034629822,256,0.697499990463257
"plant-margin",0.1,4,"rect",0.6663933634758,512,0.622500002384186
"plant-margin",0.01,3,"rect",0.664754033088684,256,0.674999952316284
"plant-margin",1,4,"rect",0.652458953857422,512,0.627499938011169
"plant-margin",0.1,4,"cone",0.6516392827034,1024,0.54749995470047
"plant-margin",1,2,"rect",0.645081913471222,512,0.589999973773956
"plant-margin",0.01,3,"cone",0.641803228855133,512,0.554999947547913
"plant-margin",0.01,3,"cone",0.641803228855133,256,0.652499914169312
"plant-margin",1,3,"rect",0.640983557701111,512,0.637500047683716
"plant-margin",0.1,3,"cone",0.640163886547089,1024,0.662500023841858
"plant-margin",0.01,3,"rect",0.636065530776977,1024,0.582499921321869
"plant-margin",0.1,4,"rect",0.631967175006866,1024,0.602499961853027
"plant-margin",0.1,4,"rect",0.619672107696533,256,0.569999992847443
"plant-margin",0.01,4,"rect",0.615573751926422,256,0.550000011920929
"plant-margin",0.01,4,"rect",0.615573751926422,512,0.522499978542328
"plant-margin",0.01,4,"cone",0.614754074811936,256,0.560000002384186
"plant-margin",0.1,3,"cone",0.606557363271713,512,0.594999969005585
"plant-margin",1,4,"rect",0.598360621929169,1024,0.524999976158142
"plant-margin",1,2,"rect",0.594262254238129,1024,0.584999978542328
"plant-margin",0.01,4,"cone",0.574590134620667,512,0.469999969005585
"plant-margin",0.01,4,"rect",0.538524544239044,1024,0.4375
"plant-margin",0.01,3,"cone",0.5295081615448,1024,0.482499957084656
"plant-margin",0.1,8,"cone",0.504918003082275,256,0.44499996304512
"plant-margin",0.1,16,"cone",0.489344227313995,1024,0.442499935626984
"plant-margin",0.1,16,"cone",0.459016373753548,512,0.372500002384186
"plant-margin",1,8,"cone",0.435245874524117,512,0.434999972581863
"plant-margin",0.01,4,"cone",0.433606535196304,1024,0.397499978542328
"plant-margin",0.1,8,"cone",0.41065571308136,512,0.375
"plant-margin",0.1,16,"rect",0.401639315485954,256,0.340000003576279
"plant-margin",0.1,8,"cone",0.399180307984352,1024,0.382499992847443
"plant-margin",0.1,8,"rect",0.388524568080902,1024,0.302499979734421
"plant-margin",0.1,8,"rect",0.362295046448708,256,0.342500001192093
"plant-margin",0.1,16,"cone",0.346721285581589,256,0.364999979734421
"plant-margin",0.1,16,"rect",0.200819660723209,1024,0.139999985694885
"plant-margin",0.1,8,"rect",0.181147530674934,512,0.179999992251396
"plant-margin",1,8,"cone",0.118852451443672,256,0.0599999949336052
"plant-margin",1,8,"rect",0.0704917971044779,512,0.0700000002980232
"plant-margin",0.01,8,"rect",0.0688524536788464,256,0.0625
"plant-margin",0.01,8,"rect",0.0663934402167797,512,0.044999998062849
"plant-margin",0.01,8,"cone",0.0631147475913167,1024,0.0425000004470348
"plant-margin",1,8,"cone",0.0622950781136751,1024,0.0324999988079071
"plant-margin",1,8,"rect",0.0581967182457447,256,0.0424999967217445
"plant-margin",0.01,8,"cone",0.0565573744475842,256,0.0474999994039536
"plant-margin",0.01,8,"rect",0.0557376995682716,1024,0.057499997317791
"plant-margin",0.01,8,"cone",0.0418032750487328,512,0.0324999988079071
"plant-margin",0.01,32,"rect",0.0401639312505722,512,0.0274999998509884
"plant-margin",1,16,"cone",0.0360655715689063,256,0.0324999988079071
"plant-margin",1,16,"cone",0.0344262264668942,512,0.00999999977648258
"plant-margin",0.1,16,"rect",0.0286885226145387,512,0.00999999977648258
"plant-margin",1,16,"cone",0.0278688507154584,1024,0.00999999977648258
"plant-margin",0.01,32,"rect",0.0245901625603437,1024,0.00999999977648258
"plant-margin",0.1,32,"cone",0.0245901625603437,256,0.00999999977648258
"plant-margin",1,32,"rect",0.0245901625603437,1024,0.00999999977648258
"plant-margin",0.01,16,"rect",0.0245901625603437,512,0.0199999995529652
"plant-margin",0.1,32,"cone",0.0229508183896542,512,0.00999999977648258
"plant-margin",0.01,32,"rect",0.0204918021336198,256,0.0224999990314245
"plant-margin",0.01,32,"cone",0.0204918021336198,512,0.0249999985098839
"plant-margin",1,32,"rect",0.019672130048275,256,0.00999999977648258
"plant-margin",1,16,"rect",0.019672130048275,256,0.00999999977648258
"plant-margin",1,8,"rect",0.0196721298620105,1024,0.00999999977648258
"plant-margin",0.1,32,"cone",0.0172131137922406,1024,0.00999999977648258
"plant-margin",0.1,32,"rect",0.0163934417068958,256,0.00999999977648258
"plant-margin",1,32,"cone",0.015573769621551,1024,0.00999999977648258
"plant-margin",0.1,32,"rect",0.0139344254508615,512,0.00999999977648258
"plant-margin",1,16,"rect",0.0139344254508615,512,0.00999999977648258
"plant-margin",0.1,32,"rect",0.0131147533655167,1024,0.00999999977648258
"plant-margin",1,32,"cone",0.0131147533655167,256,0.00999999977648258
"plant-margin",1,32,"cone",0.0114754091948271,512,0.00999999977648258
"plant-margin",1,32,"rect",0.0114754091948271,512,0.00999999977648258
"plant-margin",1,16,"rect",0.0114754091948271,1024,0.00999999977648258
"plant-margin",0.01,32,"cone",0.0106557371094823,1024,0.00999999977648258
"plant-margin",0.01,16,"cone",0.0090163929387927,1024,0.00999999977648258
"plant-margin",0.01,16,"cone",0.00245901625603437,256,0.00749999983236194
"plant-margin",0.01,16,"rect",0.000819672085344791,1024,0.0124999992549419
"plant-margin",0.01,16,"cone",0.000819672085344791,512,0.0124999992549419
"plant-margin",0.01,16,"rect",0.000819672085344791,256,0.0199999995529652
"plant-margin",0.01,32,"cone",0,256,0.00999999977648258
