"dataset","layerForm","learningrate","testAccuracy","valAccuracy","nhidden","nlayers"
"heart-va","cone",0.01,0.280000001192093,0.200000002980232,1024,16
"heart-va","cone",1,0.239999979734421,0.200000002980232,512,16
"heart-va","cone",0.01,0.319999992847443,0.200000002980232,512,4
"heart-va","rect",0.01,0.439999997615814,0.200000002980232,512,3
"heart-va","cone",0.1,0.360000014305115,0.195000003278256,1024,8
"heart-va","rect",0.1,0.400000005960464,0.185000003129244,256,4
"heart-va","cone",1,0.239999994635582,0.185000003129244,256,4
"heart-va","rect",0.01,0.360000014305115,0.180000004172325,512,16
"heart-va","cone",1,0.319999992847443,0.180000003427267,512,4
"heart-va","cone",0.01,0.379999995231628,0.170000004768372,512,3
"heart-va","rect",0.1,0.379999995231628,0.170000003278255,512,8
"heart-va","cone",1,0.239999979734421,0.170000002533197,1024,32
"heart-va","cone",0.1,0.339999973773956,0.165000004321337,256,4
"heart-va","cone",0.1,0.319999992847443,0.165000003576279,512,3
"heart-va","cone",0.1,0.0399999991059303,0.160000005364418,1024,16
"heart-va","rect",0.01,0.359999984502792,0.155000004172325,1024,8
"heart-va","rect",0.1,0.0399999991059303,0.155000002682209,512,16
"heart-va","cone",0.01,0.319999992847443,0.150000005960464,1024,4
"heart-va","rect",0.01,0.340000003576279,0.150000005960464,256,4
"heart-va","cone",0.01,0.279999971389771,0.150000004470348,512,8
"heart-va","cone",0.01,0.219999998807907,0.140000005066395,256,4
"heart-va","cone",1,0.239999979734421,0.140000002086163,512,32
"heart-va","rect",0.01,0.319999992847443,0.130000001937151,1024,16
"heart-va","cone",0.1,0.339999973773956,0.125000002235174,512,32
"heart-va","cone",0.01,0.0399999991059303,0.120000001788139,1024,32
"heart-va","cone",0.1,0.259999990463257,0.115000002458692,1024,4
"heart-va","cone",0.01,0.319999992847443,0.115000002086163,256,8
"heart-va","cone",0.01,0.0399999991059303,0.100000001490116,512,32
"heart-va","rect",0.01,0.0399999991059303,0.100000001490116,256,32
"heart-va","cone",0.1,0.319999992847443,0.100000001490116,256,32
"heart-va","rect",1,0.0399999991059303,0.100000001490116,1024,32
"heart-va","rect",1,0.319999992847443,0.100000001490116,512,32
"heart-va","cone",0.01,0.319999992847443,0.100000001490116,512,16
"heart-va","cone",0.01,0.319999992847443,0.100000001490116,256,16
"heart-va","rect",0.01,0.319999992847443,0.100000001490116,256,16
"heart-va","rect",0.01,0.319999992847443,0.100000001490116,512,8
"heart-va","rect",0.01,0.319999992847443,0.100000001490116,256,8
"heart-va","cone",0.1,0.319999992847443,0.100000001490116,512,8
