"dataset","valAccuracy","nlayers","learningrate","testAccuracy","nhidden","layerForm"
"libras",0.061904763057828,32,0.1,0.0666666701436043,1024,"rect"
"libras",0.0619047630578279,16,0.01,0.0666666701436043,256,"cone"
"libras",0.0571428585797548,8,1,0.122222229838371,256,"rect"
"libras",0.0523809533566236,16,0.1,0.122222229838371,256,"rect"
"libras",0.0476190485060215,16,0.1,0.133333340287209,512,"cone"
"libras",0.0380952388048172,32,0.01,0.0666666701436043,1024,"cone"
"libras",0.0333333339542151,16,0.01,0.0777777805924416,512,"rect"
"libras",0.0285714291036129,16,0.01,0.055555559694767,512,"cone"
"libras",0.0190476194024086,32,0.1,0.0666666701436043,1024,"cone"
"libras",0.0142857145518065,32,0.01,0.0666666701436043,256,"rect"
