"dataset","testAccuracy","nhidden","nlayers","valAccuracy","learningrate","layerForm"
"statlog-landsat",0.884000062942505,1024,3,0.910937494039536,1,"rect"
"statlog-landsat",0.90200001001358,512,8,0.90915179848671,1,"rect"
"statlog-landsat",0.885500073432922,512,3,0.9078125,1,"cone"
"statlog-landsat",0.883500039577484,256,4,0.906919634342194,0.01,"rect"
"statlog-landsat",0.868000030517578,256,2,0.906696385145187,0.01,"rect"
"statlog-landsat",0.880000114440918,512,16,0.902678608894348,1,"rect"
"statlog-landsat",0.882500052452087,512,32,0.900892871618271,0.1,"rect"
"statlog-landsat",0.888500034809113,256,16,0.897991079092026,1,"rect"
"statlog-landsat",0.871500074863434,256,16,0.897991067171097,0.01,"rect"
"statlog-landsat",0.870999991893768,256,16,0.895758950710297,0.01,"cone"
"statlog-landsat",0.857500016689301,512,32,0.895312505960465,0.01,"rect"
"statlog-landsat",0.871500074863434,256,32,0.8946428835392,0.1,"rect"
"statlog-landsat",0.84250009059906,1024,16,0.893973237276077,0.1,"rect"
"statlog-landsat",0.848000049591064,256,16,0.8921875,0.1,"cone"
"statlog-landsat",0.842000007629395,1024,4,0.887946462631226,1,"rect"
"statlog-landsat",0.861500024795532,256,8,0.887723219394684,0.01,"cone"
"statlog-landsat",0.876000106334686,1024,32,0.882589310407639,0.01,"rect"
"statlog-landsat",0.880500018596649,1024,8,0.881696420907974,1,"rect"
"statlog-landsat",0.832000136375427,1024,16,0.875669676065445,1,"rect"
"statlog-landsat",0.834500133991241,256,32,0.87142858505249,0.01,"rect"
"statlog-landsat",0.83050012588501,256,2,0.870312517881393,0.1,"cone"
"statlog-landsat",0.810500085353851,512,4,0.861830377578735,0.1,"cone"
"statlog-landsat",0.822000086307526,512,2,0.857812517881393,0.1,"cone"
"statlog-landsat",0.815000116825104,512,8,0.856473255157471,0.1,"cone"
"statlog-landsat",0.825500071048737,1024,2,0.856250041723251,0.1,"cone"
"statlog-landsat",0.828500151634216,512,3,0.854687523841858,0.1,"cone"
"statlog-landsat",0.827000081539154,512,2,0.854241102933884,0.01,"cone"
"statlog-landsat",0.818000078201294,1024,3,0.852678608894348,0.01,"cone"
"statlog-landsat",0.810500025749207,512,16,0.852678596973419,0.01,"cone"
"statlog-landsat",0.816500067710876,512,2,0.848214328289032,0.1,"rect"
"statlog-landsat",0.805500030517578,1024,2,0.845982176065445,0.01,"rect"
"statlog-landsat",0.806000113487244,512,3,0.842187541723251,0.01,"rect"
"statlog-landsat",0.812500059604645,256,3,0.840848225355149,0.1,"cone"
"statlog-landsat",0.803000092506409,256,4,0.839062547683716,0.1,"cone"
"statlog-landsat",0.808500051498413,1024,2,0.834151792526245,0.01,"cone"
"statlog-landsat",0.799500107765198,1024,2,0.825892889499664,0.1,"rect"
"statlog-landsat",0.804500102996826,256,4,0.821875029802323,0.1,"rect"
"statlog-landsat",0.805000007152557,1024,32,0.813616079092026,0.1,"cone"
"statlog-landsat",0.787000060081482,512,2,0.810267901420593,0.01,"rect"
"statlog-landsat",0.772500038146973,256,3,0.806696462631226,0.01,"cone"
"statlog-landsat",0.785000026226044,1024,4,0.804464328289032,0.1,"cone"
"statlog-landsat",0.799000084400177,1024,3,0.797098255157471,0.1,"rect"
"statlog-landsat",0.717000067234039,512,3,0.782366079092026,0.1,"rect"
"statlog-landsat",0.753500044345856,256,32,0.781473225355148,0.01,"cone"
"statlog-landsat",0.794500052928925,512,4,0.777678591012955,0.01,"cone"
"statlog-landsat",0.750500023365021,1024,4,0.774553608894348,0.1,"rect"
"statlog-landsat",0.762000024318695,1024,3,0.764955377578735,0.1,"cone"
"statlog-landsat",0.772500097751617,256,32,0.764732182025909,0.1,"cone"
"statlog-landsat",0.755000114440918,256,8,0.763169658184052,0.1,"rect"
"statlog-landsat",0.727500081062317,1024,3,0.761383926868439,0.01,"rect"
"statlog-landsat",0.75600004196167,1024,8,0.756696444749832,0.1,"cone"
"statlog-landsat",0.744000017642975,512,3,0.752232152223587,0.01,"cone"
"statlog-landsat",0.737000048160553,512,4,0.747767865657806,0.1,"rect"
"statlog-landsat",0.688000023365021,256,4,0.738169664144516,0.01,"cone"
"statlog-landsat",0.706000089645386,1024,4,0.712053608894348,0.01,"rect"
"statlog-landsat",0.668000042438507,1024,8,0.675000011920929,0.1,"rect"
"statlog-landsat",0.567500054836273,1024,4,0.623437529802322,0.01,"cone"
"statlog-landsat",0.605000019073486,512,8,0.61830358505249,0.1,"rect"
"statlog-landsat",0.545000076293945,1024,8,0.580580374598503,0.01,"rect"
"statlog-landsat",0.455000042915344,256,8,0.449330377578735,0.01,"rect"
"statlog-landsat",0.453500032424927,512,16,0.442633935809136,0.01,"rect"
"statlog-landsat",0.43450003862381,1024,8,0.421651810407639,0.01,"cone"
"statlog-landsat",0.394500017166138,1024,16,0.376785734295845,0.01,"cone"
"statlog-landsat",0.335500001907349,1024,16,0.33549107760191,0.01,"rect"
"statlog-landsat",0.351500004529953,512,8,0.284598225355148,0.01,"cone"
"statlog-landsat",0.230499997735023,1024,32,0.267857146263123,0.01,"cone"
"statlog-landsat",0.230499997735023,1024,32,0.26785714328289,1,"rect"
"statlog-landsat",0.230499997735023,512,32,0.267857140302658,1,"rect"
"statlog-landsat",0.234999984502792,512,8,0.2598214417696,0.01,"rect"
"statlog-landsat",0.230499997735023,256,32,0.254687505960465,1,"cone"
"statlog-landsat",0.198500007390976,1024,32,0.205357146263123,1,"cone"
"statlog-landsat",0.198500007390976,512,32,0.20535714328289,1,"cone"
"statlog-landsat",0.234999984502792,512,32,0.204687516391277,0.01,"cone"
"statlog-landsat",0.234999984502792,256,32,0.1986607208848,1,"rect"
"statlog-landsat",0.111999996006489,1024,32,0.1361607208848,0.1,"rect"
"statlog-landsat",0.118500001728535,512,32,0.109375007450581,0.1,"cone"
