"dataset","learningrate","layerForm","nlayers","testAccuracy","nhidden","valAccuracy"
"statlog-shuttle",0.1,"rect",2,0.99800056219101,256,0.998326182365418
"statlog-shuttle",0.1,"rect",4,0.997724711894989,512,0.998233234882355
"statlog-shuttle",1,"rect",4,0.998621225357056,256,0.998209971189499
"statlog-shuttle",0.01,"cone",8,0.996828079223633,256,0.998186719417572
"statlog-shuttle",0.1,"cone",8,0.997793674468994,256,0.998186713457108
"statlog-shuttle",0.01,"cone",2,0.997517824172974,512,0.998163461685181
"statlog-shuttle",0.1,"cone",16,0.998690187931061,1024,0.998140221834183
"statlog-shuttle",0.01,"rect",2,0.997931599617004,256,0.998140215873718
"statlog-shuttle",1,"cone",16,0.997517824172974,256,0.998116970062256
"statlog-shuttle",1,"rect",8,0.997035026550293,512,0.998093736171722
"statlog-shuttle",0.1,"rect",32,0.997862637042999,512,0.99807049036026
"statlog-shuttle",1,"cone",8,0.998621225357056,256,0.998047244548798
"statlog-shuttle",0.01,"rect",32,0.998069524765015,1024,0.998023992776871
"statlog-shuttle",0.01,"cone",16,0.997173011302948,1024,0.998000746965409
"statlog-shuttle",1,"cone",2,0.997862637042999,1024,0.998000746965409
"statlog-shuttle",1,"rect",2,0.997931599617004,512,0.997931009531021
"statlog-shuttle",1,"rect",2,0.998069524765015,256,0.997838020324707
"statlog-shuttle",1,"cone",16,0.997241973876953,1024,0.997745048999787
"statlog-shuttle",0.1,"cone",2,0.997931599617004,512,0.99772179722786
"statlog-shuttle",1,"rect",16,0.997517824172974,1024,0.99767529964447
"statlog-shuttle",0.1,"cone",2,0.997517824172974,256,0.997582316398621
"statlog-shuttle",0.01,"cone",4,0.997241973876953,256,0.997559070587158
"statlog-shuttle",0.1,"rect",32,0.997173011302948,256,0.997535836696625
"statlog-shuttle",1,"cone",2,0.997793674468994,512,0.997489333152771
"statlog-shuttle",0.01,"rect",32,0.997379899024963,256,0.997373121976852
"statlog-shuttle",0.1,"rect",8,0.993517875671387,512,0.997326642274857
"statlog-shuttle",1,"cone",2,0.997379899024963,256,0.997210383415222
"statlog-shuttle",0.01,"cone",2,0.997173011302948,256,0.99709415435791
"statlog-shuttle",0.01,"rect",16,0.997310936450958,512,0.996977978944778
"statlog-shuttle",1,"cone",16,0.992966115474701,512,0.996954709291458
"statlog-shuttle",0.1,"cone",8,0.998759150505066,512,0.99693146944046
"statlog-shuttle",1,"rect",4,0.998069524765015,1024,0.996768760681152
"statlog-shuttle",0.01,"cone",16,0.992483377456665,512,0.99674551486969
"statlog-shuttle",0.1,"cone",16,0.998483300209045,512,0.996699035167694
"statlog-shuttle",0.01,"rect",32,0.996690273284912,512,0.996420055627823
"statlog-shuttle",0.1,"rect",16,0.99827641248703,512,0.996373623609543
"statlog-shuttle",0.01,"rect",8,0.997931599617004,1024,0.996350377798081
"statlog-shuttle",0.1,"cone",32,0.996414363384247,256,0.996303826570511
"statlog-shuttle",0.01,"rect",16,0.998207449913025,1024,0.996210861206055
"statlog-shuttle",0.01,"cone",16,0.993104100227356,256,0.996187627315521
"statlog-shuttle",0.1,"cone",16,0.997724711894989,256,0.996071410179138
"statlog-shuttle",1,"rect",3,0.988483309745789,1024,0.995931935310364
"statlog-shuttle",0.1,"rect",8,0.989793658256531,256,0.995536774396896
"statlog-shuttle",1,"cone",8,0.998345375061035,512,0.995327585935593
"statlog-shuttle",0.1,"cone",32,0.990621209144592,512,0.995048600435257
"statlog-shuttle",0.01,"rect",8,0.990069508552551,512,0.994862675666809
"statlog-shuttle",0.01,"cone",32,0.99531090259552,256,0.993932861089706
"statlog-shuttle",0.1,"rect",16,0.99800056219101,256,0.993723684549332
"statlog-shuttle",0.01,"cone",32,0.99537992477417,512,0.993677133321762
"statlog-shuttle",0.1,"rect",16,0.99827641248703,1024,0.993119317293167
"statlog-shuttle",1,"rect",16,0.994897127151489,256,0.992886793613434
"statlog-shuttle",0.1,"cone",32,0.995173037052155,1024,0.990608811378479
"statlog-shuttle",0.01,"rect",16,0.997586786746979,256,0.989911490678787
"statlog-shuttle",0.01,"cone",32,0.984759211540222,1024,0.983333146572113
"statlog-shuttle",1,"cone",32,0.791586458683014,1024,0.770339214801788
"statlog-shuttle",1,"rect",32,0.791586458683014,256,0.758577245473862
"statlog-shuttle",1,"cone",32,0.791586399078369,256,0.649465262889862
"statlog-shuttle",1,"cone",32,0.0557931065559387,512,0.39707104191184
"statlog-shuttle",1,"rect",32,0.791586458683014,512,0.374709367239848
"statlog-shuttle",1,"rect",32,0.148620694875717,1024,0.226406309008598
