"dataset","valAccuracy","nhidden","learningrate","nlayers","testAccuracy","layerForm"
"miniboone",0.925074988603592,512,0.01,8,0.925083875656128,"cone"
"miniboone",0.924580705165863,1024,0.1,16,0.924407303333282,"cone"
"miniboone",0.924498319625855,1024,0.01,2,0.925514400005341,"rect"
"miniboone",0.924436569213867,256,0.01,16,0.921916246414185,"cone"
"miniboone",0.924405652284622,512,0.1,16,0.913058996200562,"cone"
"miniboone",0.924374759197235,1024,0.1,3,0.923115611076355,"rect"
"miniboone",0.924158507585525,1024,0.1,8,0.923822999000549,"cone"
"miniboone",0.924065840244293,256,1,16,0.9158576130867,"rect"
"miniboone",0.924065834283829,1024,0.01,4,0.927328944206238,"cone"
"miniboone",0.923798072338104,256,0.1,4,0.925914287567139,"rect"
"miniboone",0.923592132329941,1024,0.01,8,0.920378506183624,"cone"
"miniboone",0.923458278179169,512,0.01,4,0.922685027122498,"rect"
"miniboone",0.923169940710068,256,0.01,4,0.924899339675903,"rect"
"miniboone",0.922994881868363,512,0.1,4,0.909553050994873,"rect"
"miniboone",0.922758030891419,1024,1,2,0.919732630252838,"rect"
"miniboone",0.922747737169266,1024,1,16,0.913243532180786,"cone"
"miniboone",0.922613877058029,256,0.01,16,0.923146307468414,"rect"
"miniboone",0.922541815042496,1024,0.1,4,0.924284219741821,"rect"
"miniboone",0.922541797161102,1024,1,8,0.922192990779877,"rect"
"miniboone",0.922304940223694,1024,1,4,0.909983575344086,"rect"
"miniboone",0.921625292301178,512,0.1,8,0.923669159412384,"rect"
"miniboone",0.921522295475006,256,0.1,16,0.91776430606842,"rect"
"miniboone",0.921450227499008,1024,0.1,16,0.919609665870667,"rect"
"miniboone",0.921378147602081,1024,0.01,4,0.922346711158752,"rect"
"miniboone",0.920986819267273,512,0.01,16,0.922439098358154,"cone"
"miniboone",0.920801496505737,256,0.1,8,0.925914227962494,"rect"
"miniboone",0.920801490545273,512,0.1,32,0.916626453399658,"rect"
"miniboone",0.92046167254448,512,0.1,16,0.923361599445343,"rect"
"miniboone",0.920441085100174,1024,1,16,0.915427088737488,"rect"
"miniboone",0.919473087787628,1024,0.01,16,0.920286238193512,"cone"
"miniboone",0.918752259016037,1024,0.1,8,0.920901238918304,"rect"
"miniboone",0.918597811460495,256,0.01,8,0.919056057929993,"rect"
"miniboone",0.918227070569992,1024,0.01,32,0.910629451274872,"rect"
"miniboone",0.917887270450592,512,0.01,8,0.916288197040558,"rect"
"miniboone",0.91761953830719,1024,0.1,32,0.915427088737488,"rect"
"miniboone",0.916558867692947,512,0.01,32,0.921024322509766,"rect"
"miniboone",0.916013091802597,1024,0.01,8,0.91499650478363,"rect"
"miniboone",0.915662986040115,256,0.1,32,0.909676074981689,"rect"
"miniboone",0.91466411948204,256,0.01,32,0.910260379314423,"rect"
"miniboone",0.914375776052475,1024,0.01,16,0.916688084602356,"rect"
"miniboone",0.913654947280884,512,0.01,16,0.914842665195465,"rect"
"miniboone",0.911265909671784,1024,0.1,32,0.912351608276367,"cone"
"miniboone",0.899042642116547,1024,0.01,32,0.901587724685669,"cone"
"miniboone",0.876490867137909,256,0.1,32,0.88258171081543,"cone"
"miniboone",0.861394584178925,512,0.1,32,0.857701599597931,"cone"
"miniboone",0.774101734161377,512,0.01,32,0.798315346240997,"cone"
"miniboone",0.773792779445648,256,0.01,32,0.845738172531128,"cone"
"miniboone",0.718875604867935,1024,1,32,0.719400227069855,"rect"
"miniboone",0.718875604867935,512,1,32,0.719400227069855,"cone"
"miniboone",0.718875598907471,256,1,32,0.719400227069855,"rect"
"miniboone",0.718875586986542,1024,1,32,0.719400227069855,"cone"
"miniboone",0.718875586986542,512,1,32,0.719400227069855,"rect"
"miniboone",0.718875586986542,256,1,32,0.719400227069855,"cone"
"miniboone",0.718875586986542,512,1,16,0.719400227069855,"rect"
