"dataset","nhidden","valAccuracy","learningrate","nlayers","layerForm","testAccuracy"
"vertebral-column-2clases",512,0.734615433216095,0.01,8,"cone",0.675324678421021
"vertebral-column-2clases",1024,0.734615433216095,0.1,8,"rect",0.714285731315613
"vertebral-column-2clases",1024,0.734615433216095,1,8,"cone",0.675324678421021
"vertebral-column-2clases",1024,0.734615433216095,1,8,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.734615433216095,0.01,4,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.734615433216095,0.01,3,"rect",0.675324678421021
"vertebral-column-2clases",512,0.734615427255631,0.01,4,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,0.01,32,"cone",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,0.01,32,"rect",0.675324678421021
"vertebral-column-2clases",512,0.730769276618958,0.01,32,"cone",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.01,32,"cone",0.675324678421021
"vertebral-column-2clases",512,0.730769276618958,0.1,32,"cone",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.1,32,"cone",0.675324678421021
"vertebral-column-2clases",512,0.730769276618958,1,32,"rect",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,1,32,"cone",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,1,32,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,0.01,16,"cone",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,0.01,16,"rect",0.675324678421021
"vertebral-column-2clases",512,0.730769276618958,0.01,16,"cone",0.675324678421021
"vertebral-column-2clases",512,0.730769276618958,0.01,16,"rect",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.01,16,"cone",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.01,16,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,0.1,16,"cone",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,0.1,16,"rect",0.675324678421021
"vertebral-column-2clases",512,0.730769276618958,0.1,16,"cone",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.1,16,"cone",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.1,16,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,1,16,"cone",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,1,16,"rect",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,1,16,"cone",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,0.01,8,"cone",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,0.01,8,"rect",0.675324678421021
"vertebral-column-2clases",512,0.730769276618958,0.01,8,"rect",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.01,8,"cone",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.01,8,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,0.1,8,"cone",0.675324678421021
"vertebral-column-2clases",512,0.730769276618958,0.1,8,"cone",0.675324678421021
"vertebral-column-2clases",512,0.730769276618958,0.1,8,"rect",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.1,8,"cone",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.1,8,"rect",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.01,4,"cone",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,0.1,4,"cone",0.675324678421021
"vertebral-column-2clases",512,0.730769276618958,0.1,4,"rect",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.1,4,"cone",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.1,4,"rect",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.01,3,"cone",0.66233766078949
"vertebral-column-2clases",256,0.730769276618958,0.1,3,"cone",0.675324678421021
"vertebral-column-2clases",1024,0.730769276618958,0.01,2,"cone",0.675324678421021
"vertebral-column-2clases",256,0.730769276618958,0.1,2,"rect",0.675324678421021
"vertebral-column-2clases",512,0.684615427255631,1,32,"cone",0.675324678421021
"vertebral-column-2clases",256,0.684615427255631,1,16,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.665384668111801,1,3,"rect",0.597402572631836
"vertebral-column-2clases",512,0.611538499593735,0.01,32,"rect",0.675324678421021
"vertebral-column-2clases",1024,0.54615387916565,0.1,32,"rect",0.675324678421021
"vertebral-column-2clases",512,0.54615387916565,0.1,32,"rect",0.324675321578979
"vertebral-column-2clases",256,0.54615387916565,0.1,32,"rect",0.324675321578979
"vertebral-column-2clases",1024,0.407692331075668,0.1,32,"cone",0.324675321578979
"vertebral-column-2clases",1024,0.407692331075668,1,32,"cone",0.324675321578979
"vertebral-column-2clases",512,0.40000003054738,0.1,16,"rect",0.311688303947449
"vertebral-column-2clases",256,0.269230782985687,0.01,32,"rect",0.324675321578979
"vertebral-column-2clases",1024,0.269230782985687,1,32,"rect",0.324675321578979
