"dataset","learningrate","nhidden","testAccuracy","valAccuracy","layerForm","nlayers"
"cardiotocography-10clases",0.1,512,0.694915175437927,0.75123456120491,"rect",3
"cardiotocography-10clases",0.1,256,0.755178868770599,0.750617295503616,"cone",4
"cardiotocography-10clases",0.1,256,0.747645914554596,0.749382722377777,"cone",16
"cardiotocography-10clases",0.1,512,0.7080979347229,0.742592597007751,"cone",3
"cardiotocography-10clases",0.01,1024,0.706214666366577,0.73456791639328,"cone",2
"cardiotocography-10clases",0.1,1024,0.732580065727234,0.733950614929199,"cone",2
"cardiotocography-10clases",0.1,512,0.681732594966888,0.730864208936691,"cone",8
"cardiotocography-10clases",0.1,256,0.717514097690582,0.729012358188629,"cone",3
"cardiotocography-10clases",0.1,256,0.689265489578247,0.721604961156845,"rect",4
"cardiotocography-10clases",0.01,256,0.713747620582581,0.711111128330231,"cone",2
"cardiotocography-10clases",0.01,512,0.738229751586914,0.703086411952973,"cone",2
"cardiotocography-10clases",0.1,512,0.666666626930237,0.699382722377777,"rect",4
"cardiotocography-10clases",1,256,0.670433163642883,0.696913576126099,"cone",8
"cardiotocography-10clases",0.01,256,0.664783477783203,0.687654328346253,"rect",4
"cardiotocography-10clases",0.1,1024,0.7080979347229,0.687037044763565,"cone",3
"cardiotocography-10clases",0.01,512,0.632768332958221,0.675308632850647,"cone",3
"cardiotocography-10clases",0.01,512,0.674199640750885,0.667901229858399,"rect",3
"cardiotocography-10clases",0.1,512,0.604519844055176,0.657407402992249,"cone",16
"cardiotocography-10clases",0.01,1024,0.674199640750885,0.637654340267181,"rect",4
"cardiotocography-10clases",0.01,512,0.653483986854553,0.632716053724289,"cone",4
"cardiotocography-10clases",0.1,1024,0.64595103263855,0.628395080566406,"rect",16
"cardiotocography-10clases",1,256,0.529190182685852,0.616049402952194,"rect",8
"cardiotocography-10clases",0.01,1024,0.64030134677887,0.616049385070801,"cone",3
"cardiotocography-10clases",0.01,256,0.585687398910522,0.613580250740051,"cone",3
"cardiotocography-10clases",0.01,512,0.615819215774536,0.605555576086044,"rect",4
"cardiotocography-10clases",0.1,1024,0.572504699230194,0.601851850748062,"cone",4
"cardiotocography-10clases",0.01,1024,0.608286261558533,0.598148161172867,"rect",3
"cardiotocography-10clases",0.01,1024,0.612052738666534,0.575925946235657,"cone",4
"cardiotocography-10clases",0.01,256,0.521657228469849,0.528395044803619,"cone",4
"cardiotocography-10clases",0.1,512,0.50282484292984,0.506172835826874,"rect",16
"cardiotocography-10clases",0.1,1024,0.461393594741821,0.500617295503616,"cone",8
"cardiotocography-10clases",0.1,512,0.474576324224472,0.493209883570671,"cone",4
"cardiotocography-10clases",1,1024,0.62335216999054,0.488888913393021,"rect",4
"cardiotocography-10clases",1,512,0.487758964300156,0.482098776102066,"rect",4
"cardiotocography-10clases",0.1,512,0.517890810966492,0.475308644771576,"rect",8
"cardiotocography-10clases",1,1024,0.436911463737488,0.457407423853874,"rect",8
"cardiotocography-10clases",0.1,256,0.406779676675797,0.450000011920929,"rect",8
"cardiotocography-10clases",0.1,256,0.370998114347458,0.43580247759819,"rect",16
"cardiotocography-10clases",0.1,1024,0.386063992977142,0.419753095507622,"rect",8
"cardiotocography-10clases",0.01,512,0.423728823661804,0.41358026266098,"rect",8
"cardiotocography-10clases",1,1024,0.429378509521484,0.408024701476097,"cone",16
"cardiotocography-10clases",0.01,1024,0.355932205915451,0.39444445669651,"rect",8
"cardiotocography-10clases",0.01,1024,0.374764621257782,0.357407405972481,"rect",32
"cardiotocography-10clases",0.01,512,0.325800359249115,0.344444453716278,"rect",32
"cardiotocography-10clases",0.1,256,0.295668542385101,0.335802468657494,"cone",8
"cardiotocography-10clases",1,256,0.348399221897125,0.328395062685013,"cone",16
"cardiotocography-10clases",0.01,256,0.301318228244781,0.303703707456589,"rect",8
"cardiotocography-10clases",0.01,256,0.274952918291092,0.295679014921188,"rect",16
"cardiotocography-10clases",1,1024,0.271186470985413,0.293209873139858,"rect",2
"cardiotocography-10clases",0.01,256,0.276836156845093,0.291975313425064,"cone",32
"cardiotocography-10clases",0.01,1024,0.274952918291092,0.291358026862145,"cone",32
"cardiotocography-10clases",0.01,512,0.274952918291092,0.290123462677002,"cone",32
"cardiotocography-10clases",0.01,256,0.274952918291092,0.290123462677002,"rect",32
"cardiotocography-10clases",1,1024,0.274952918291092,0.290123462677002,"cone",32
"cardiotocography-10clases",0.01,512,0.274952918291092,0.290123462677002,"cone",16
"cardiotocography-10clases",0.01,512,0.274952918291092,0.290123462677002,"rect",16
"cardiotocography-10clases",0.01,256,0.274952918291092,0.290123462677002,"cone",16
"cardiotocography-10clases",0.1,1024,0.274952918291092,0.290123462677002,"cone",16
"cardiotocography-10clases",0.01,1024,0.274952918291092,0.290123462677002,"cone",8
"cardiotocography-10clases",0.01,256,0.274952918291092,0.290123462677002,"cone",8
"cardiotocography-10clases",0.01,512,0.278719395399094,0.29012345969677,"cone",8
"cardiotocography-10clases",0.01,1024,0.274952918291092,0.290123456716537,"cone",16
"cardiotocography-10clases",1,512,0.27683612704277,0.280864208936691,"rect",8
"cardiotocography-10clases",1,1024,0.216572493314743,0.258024697005749,"rect",3
"cardiotocography-10clases",0.01,1024,0.284369111061096,0.245679017901421,"rect",16
"cardiotocography-10clases",1,512,0.118644066154957,0.13888888657093,"rect",16
"cardiotocography-10clases",1,512,0.114877589046955,0.127777780592442,"cone",16
"cardiotocography-10clases",1,256,0.274952918291092,0.124691360071301,"rect",16
"cardiotocography-10clases",1,1024,0.274952918291092,0.124691357463598,"rect",16
"cardiotocography-10clases",1,256,0.0922787189483643,0.122222220897675,"rect",32
"cardiotocography-10clases",0.1,256,0.0320150665938854,0.108641977235675,"rect",32
"cardiotocography-10clases",0.1,512,0.118644066154957,0.104938272386789,"rect",32
"cardiotocography-10clases",1,256,0.0489642173051834,0.0962962970137596,"cone",32
"cardiotocography-10clases",1,512,0.0489642173051834,0.08148148432374,"cone",32
"cardiotocography-10clases",0.1,512,0.0320150665938854,0.0814814817160368,"cone",32
"cardiotocography-10clases",1,1024,0.0489642173051834,0.0790123473852873,"rect",32
"cardiotocography-10clases",1,512,0.0489642173051834,0.0759259268641472,"rect",32
"cardiotocography-10clases",0.1,1024,0.0489642173051834,0.0685185190290213,"rect",32
"cardiotocography-10clases",0.1,1024,0.0489642173051834,0.0617283955216408,"cone",32
"cardiotocography-10clases",0.1,256,0.037664782255888,0.0419753089547157,"cone",32
