dataset,rows,features,task,model_name,test_score,test_accuracy,hyperparameters
blood,748,4,CLASSIFICATION,snn_blood,0.6385728094430096,0.7610619500675032,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
breast-cancer-wisc-diag,569,30,CLASSIFICATION,snn_breast-cancer-wisc-diag,0.13426781099203022,0.9767441818880479,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
breast-cancer-wisc-prog,198,33,CLASSIFICATION,snn_breast-cancer-wisc-prog,1.426250696182251,0.7666666507720947,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
breast-cancer-wisc,699,9,CLASSIFICATION,snn_breast-cancer-wisc,0.1835139560557547,0.9523809529486156,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
breast-cancer,286,9,CLASSIFICATION,snn_breast-cancer,2.4385392000508856,0.604651166256084,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
breast-tissue,106,9,CLASSIFICATION,snn_breast-tissue,0.7078946828842163,0.625,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
cardiotocography-10clases,2126,21,CLASSIFICATION,snn_cardiotocography-10clases,0.59606978661588,0.7962382454483486,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
cardiotocography-3clases,2126,21,CLASSIFICATION,snn_cardiotocography-3clases,0.4362216592652484,0.9153604991383688,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
car,1728,6,CLASSIFICATION,snn_car,0.9597705345887404,0.5961538461538461,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
chess-krvkp,3196,36,CLASSIFICATION,snn_chess-krvkp,0.007571210161161921,0.9958333333333332,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
chess-krvk,28056,6,CLASSIFICATION,snn_chess-krvk,3.0290706689580373,0.09218341648936217,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
congressional-voting,435,16,CLASSIFICATION,snn_congressional-voting,0.6931471824645996,0.6515151515151515,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
conn-bench-sonar-mines-rocks,208,60,CLASSIFICATION,snn_conn-bench-sonar-mines-rocks,0.5065414905548096,0.875,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
conn-bench-vowel-deterding,990,11,CLASSIFICATION,snn_conn-bench-vowel-deterding,2.497211848329377,0.1140939599815631,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
connect-4,67557,42,CLASSIFICATION,snn_connect-4,0.41702583404553817,0.7955397671088209,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
contrac,1473,9,CLASSIFICATION,snn_contrac,1.2615776698513808,0.5746606356417971,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
credit-approval,690,15,CLASSIFICATION,snn_credit-approval,0.5887810266934909,0.8557692307692307,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
cylinder-bands,512,35,CLASSIFICATION,snn_cylinder-bands,0.4855448493322769,0.8441558449299305,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
dermatology,366,34,CLASSIFICATION,snn_dermatology,1.7591820586811413,0.3636363663456657,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
echocardiogram,131,10,CLASSIFICATION,snn_echocardiogram,0.8908302187919617,0.8000000119209291,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
ecoli,336,7,CLASSIFICATION,snn_ecoli,0.6472226352083916,0.8235294059211132,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
energy-y1,768,8,CLASSIFICATION,snn_energy-y1,0.1795936831401597,0.9741379310344828,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
energy-y2,768,8,CLASSIFICATION,snn_energy-y2,0.3029333758970787,0.8189655213520445,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
fertility,100,9,CLASSIFICATION,snn_fertility,1.2920976877212524,0.7333333492279053,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
flags,194,28,CLASSIFICATION,snn_flags,2.4597833156585693,0.5666666626930237,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
glass,214,9,CLASSIFICATION,snn_glass,1.7374637524286909,0.2727272727272727,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
haberman-survival,306,3,CLASSIFICATION,snn_haberman-survival,0.8139939645062322,0.7173912991648135,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
hayes-roth,160,3,CLASSIFICATION,snn_hayes-roth,0.7581188082695007,0.75,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
heart-cleveland,303,13,CLASSIFICATION,snn_heart-cleveland,1.690329370291337,0.6304347903832145,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
heart-hungarian,294,12,CLASSIFICATION,snn_heart-hungarian,1.1753988636864556,0.8444444484180874,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
heart-switzerland,123,12,CLASSIFICATION,snn_heart-switzerland,1.9199550151824951,0.3684210479259491,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
heart-va,200,12,CLASSIFICATION,snn_heart-va,4.5957674980163565,0.36666667461395264,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
hepatitis,155,19,CLASSIFICATION,snn_hepatitis,1.3082520961761477,0.7916666865348816,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
hill-valley,1212,100,CLASSIFICATION,snn_hill-valley,0.6931471824645996,0.467032967032967,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
horse-colic,368,25,CLASSIFICATION,snn_horse-colic,0.6439482143947056,0.8214285714285714,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
ilpd-indian-liver,583,9,CLASSIFICATION,snn_ilpd-indian-liver,0.5449217530814084,0.7272727272727273,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
image-segmentation,2310,18,CLASSIFICATION,snn_image-segmentation,1.94030228815436,0.15273775224726893,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
ionosphere,351,33,CLASSIFICATION,snn_ionosphere,0.2152154451271273,0.9433962286643264,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
iris,150,4,CLASSIFICATION,snn_iris,0.4155880510807037,0.8695651888847351,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
led-display,1000,7,CLASSIFICATION,snn_led-display,2.1772797695795694,0.32666666587193804,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
lenses,24,4,CLASSIFICATION,snn_lenses,0.8343119621276855,0.75,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
letter,20000,16,CLASSIFICATION,snn_letter,0.11652973971907825,0.9759999998410542,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
libras,360,90,CLASSIFICATION,snn_libras,2.65790119877568,0.0370370375889319,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
low-res-spect,531,100,CLASSIFICATION,snn_low-res-spect,0.9467045068740844,0.8375,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
lung-cancer,32,56,CLASSIFICATION,snn_lung-cancer,2.98415470123291,0.4000000059604645,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
lymphography,148,18,CLASSIFICATION,snn_lymphography,0.7263554334640503,0.8260869383811951,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
magic,19020,10,CLASSIFICATION,snn_magic,0.3836208855921955,0.8720644935364895,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
mammographic,961,5,CLASSIFICATION,snn_mammographic,0.4616160625013812,0.806896553368404,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
miniboone,130064,50,CLASSIFICATION,snn_miniboone,0.6931471824645996,0.27883136854117985,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
molec-biol-promoter,106,57,CLASSIFICATION,snn_molec-biol-promoter,0.462145984172821,0.75,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
molec-biol-splice,3190,60,CLASSIFICATION,snn_molec-biol-splice,0.9891564154176969,0.8705636745703743,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
monks-1,556,6,CLASSIFICATION,snn_monks-1,0.6931471824645996,0.4523809509617942,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
monks-2,601,6,CLASSIFICATION,snn_monks-2,0.6855301922494239,0.7252747226547409,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
monks-3,554,6,CLASSIFICATION,snn_monks-3,0.10555424221924373,0.9642857114473978,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
mushroom,8124,21,CLASSIFICATION,snn_mushroom,0.6931471824645996,0.5225594750283877,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
musk-1,476,166,CLASSIFICATION,snn_musk-1,0.4569354116295775,0.9027777777777778,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
musk-2,6598,166,CLASSIFICATION,snn_musk-2,0.044858020432575633,0.992929292086399,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
nursery,12960,8,CLASSIFICATION,snn_nursery,0.23779025640139365,0.998971193415638,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
oocytes_merluccius_nucleus_4d,1022,41,CLASSIFICATION,snn_oocytes_merluccius_nucleus_4d,0.4288584729293724,0.7857142849401995,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
oocytes_merluccius_states_2f,1022,25,CLASSIFICATION,snn_oocytes_merluccius_states_2f,0.1363485259088603,0.9610389563944431,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
oocytes_trisopterus_nucleus_2f,912,25,CLASSIFICATION,snn_oocytes_trisopterus_nucleus_2f,0.6269562605523715,0.8102189785372602,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
oocytes_trisopterus_states_5b,912,32,CLASSIFICATION,snn_oocytes_trisopterus_states_5b,0.2617040277615081,0.9197080296321508,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
optical,5620,62,CLASSIFICATION,snn_optical,2.299853708961822,0.11032028476821427,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
ozone,2536,72,CLASSIFICATION,snn_ozone,0.3787976245015773,0.9448818897637796,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
page-blocks,5473,10,CLASSIFICATION,snn_page-blocks,0.1554564252931366,0.958587088915956,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
parkinsons,195,22,CLASSIFICATION,snn_parkinsons,0.7235373258590698,0.8333333134651184,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
pendigits,10992,16,CLASSIFICATION,snn_pendigits,2.3025851249694824,0.10309278350515463,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
pima,768,8,CLASSIFICATION,snn_pima,0.5088149360541641,0.8017241338203693,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
pittsburg-bridges-MATERIAL,106,7,CLASSIFICATION,snn_pittsburg-bridges-MATERIAL,0.07370654493570328,0.9375,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
pittsburg-bridges-REL-L,103,7,CLASSIFICATION,snn_pittsburg-bridges-REL-L,1.7679812908172607,0.5,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
pittsburg-bridges-SPAN,92,7,CLASSIFICATION,snn_pittsburg-bridges-SPAN,2.589194774627685,0.4285714328289032,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
pittsburg-bridges-T-OR-D,102,7,CLASSIFICATION,snn_pittsburg-bridges-T-OR-D,0.7387409210205078,0.75,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
pittsburg-bridges-TYPE,105,7,CLASSIFICATION,snn_pittsburg-bridges-TYPE,1.6185399293899536,0.4375,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
planning,182,12,CLASSIFICATION,snn_planning,1.945001006126404,0.5714285969734192,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
plant-margin,1600,64,CLASSIFICATION,snn_plant-margin,4.605170249938965,0.02083333333333333,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
plant-shape,1600,64,CLASSIFICATION,snn_plant-shape,1.5403762181599936,0.7125,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
plant-texture,1599,64,CLASSIFICATION,snn_plant-texture,1.2018001357714334,0.8416666666666667,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
post-operative,90,8,CLASSIFICATION,snn_post-operative,1.0201399326324463,0.7142857313156128,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
primary-tumor,330,17,CLASSIFICATION,snn_primary-tumor,2.198418674468994,0.4200000023841858,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
ringnorm,7400,20,CLASSIFICATION,snn_ringnorm,0.14452792192733754,0.9828828828828828,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
seeds,210,7,CLASSIFICATION,snn_seeds,0.517047107219696,0.875,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
semeion,1593,256,CLASSIFICATION,snn_semeion,2.2929508696041347,0.0920502096414566,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
soybean,683,35,CLASSIFICATION,snn_soybean,0.3220841615524107,0.8932038840738316,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
spambase,4601,57,CLASSIFICATION,snn_spambase,0.692144074850593,0.6208393635867129,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
spectf,267,44,CLASSIFICATION,snn_spectf,0.3205612628925137,0.8536585380391377,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
spect,265,22,CLASSIFICATION,snn_spect,1.247810888290405,0.65,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
statlog-australian-credit,690,14,CLASSIFICATION,snn_statlog-australian-credit,0.6829437109140251,0.7115384615384616,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
statlog-german-credit,1000,24,CLASSIFICATION,snn_statlog-german-credit,1.0002543799082435,0.7000000023841858,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
statlog-heart,270,13,CLASSIFICATION,snn_statlog-heart,0.5830750010180764,0.8048780487804879,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
statlog-image,2310,18,CLASSIFICATION,snn_statlog-image,5.874230652789905,0.14697406346499062,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
statlog-landsat,6435,36,CLASSIFICATION,snn_statlog-landsat,0.3849655518879031,0.9275362317606528,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
statlog-shuttle,58000,9,CLASSIFICATION,snn_statlog-shuttle,1.945910096168518,0.7865517240831221,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
statlog-vehicle,846,18,CLASSIFICATION,snn_statlog-vehicle,0.498219556695833,0.7559055141576632,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
steel-plates,1941,27,CLASSIFICATION,snn_steel-plates,1.5355137178342635,0.7226027397260274,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
synthetic-control,600,60,CLASSIFICATION,snn_synthetic-control,0.7422669304741754,0.5444444417953491,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
