dataset,rows,features,task,model_name,test_score,test_accuracy,hyperparameters
breast-cancer,286,9,CLASSIFICATION,snn_breast-cancer,1.3446816205978394,0.8372092843055725,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
breast-tissue,106,9,CLASSIFICATION,snn_breast-tissue,0.7996748685836792,0.5,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
cardiotocography-10clases,2126,21,CLASSIFICATION,snn_cardiotocography-10clases,0.8959783779042642,0.8025078396064734,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
cardiotocography-3clases,2126,21,CLASSIFICATION,snn_cardiotocography-3clases,0.2810168337765906,0.9184952987398848,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
car,1728,6,CLASSIFICATION,snn_car,0.0799063748142758,0.9807692307692308,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
chess-krvkp,3196,36,CLASSIFICATION,snn_chess-krvkp,0.07007069502336284,0.9916666666666668,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
chess-krvk,28056,6,CLASSIFICATION,snn_chess-krvk,2.331819942428596,0.1416013306309928,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
congressional-voting,435,16,CLASSIFICATION,snn_congressional-voting,0.6931471824645996,0.6363636363636364,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
conn-bench-sonar-mines-rocks,208,60,CLASSIFICATION,snn_conn-bench-sonar-mines-rocks,0.4788926243782044,0.875,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
conn-bench-vowel-deterding,990,11,CLASSIFICATION,snn_conn-bench-vowel-deterding,0.14585728238117193,0.9865771812080536,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
connect-4,67557,42,CLASSIFICATION,snn_connect-4,0.35130793536723376,0.8827708703962943,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
contrac,1473,9,CLASSIFICATION,snn_contrac,1.0535874507006475,0.5565610832758079,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
credit-approval,690,15,CLASSIFICATION,snn_credit-approval,0.5539965354479276,0.8942307784007146,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
cylinder-bands,512,35,CLASSIFICATION,snn_cylinder-bands,0.5291866304038407,0.8181818212781634,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
dermatology,366,34,CLASSIFICATION,snn_dermatology,0.13168169558048248,0.9818181991577148,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
echocardiogram,131,10,CLASSIFICATION,snn_echocardiogram,1.5563547611236572,0.75,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
ecoli,336,7,CLASSIFICATION,snn_ecoli,0.3880567252635956,0.8431372642517091,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
energy-y1,768,8,CLASSIFICATION,snn_energy-y1,0.11627714952518199,0.9568965393921424,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
energy-y2,768,8,CLASSIFICATION,snn_energy-y2,0.5719235950502856,0.724137939255813,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
fertility,100,9,CLASSIFICATION,snn_fertility,0.18395434319972992,0.9333333373069764,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
flags,194,28,CLASSIFICATION,snn_flags,2.57576060295105,0.6000000238418579,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
glass,214,9,CLASSIFICATION,snn_glass,1.1169623136520386,0.5757575631141663,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
haberman-survival,306,3,CLASSIFICATION,snn_haberman-survival,0.513135552406311,0.739130437374115,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
hayes-roth,160,3,CLASSIFICATION,snn_hayes-roth,0.7839420437812805,0.5,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
heart-cleveland,303,13,CLASSIFICATION,snn_heart-cleveland,1.1639117002487185,0.6304348111152649,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
heart-hungarian,294,12,CLASSIFICATION,snn_heart-hungarian,0.6777439117431641,0.644444465637207,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
heart-switzerland,123,12,CLASSIFICATION,snn_heart-switzerland,1.987446427345276,0.21052631735801694,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
heart-va,200,12,CLASSIFICATION,snn_heart-va,3.943115949630737,0.36666667461395264,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
hepatitis,155,19,CLASSIFICATION,snn_hepatitis,0.7236399650573729,0.7916666865348816,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
hill-valley,1212,100,CLASSIFICATION,snn_hill-valley,0.6931471824645996,0.5604395650245331,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
horse-colic,368,25,CLASSIFICATION,snn_horse-colic,0.6107007265090942,0.8035714030265808,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
ilpd-indian-liver,583,9,CLASSIFICATION,snn_ilpd-indian-liver,0.4957687069069256,0.7159090854904868,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
image-segmentation,2310,18,CLASSIFICATION,snn_image-segmentation,0.13158653815000476,0.9654178691528716,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
ionosphere,351,33,CLASSIFICATION,snn_ionosphere,0.03401806578040123,0.9811320900917052,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
iris,150,4,CLASSIFICATION,snn_iris,0.16265526413917542,0.8260869383811951,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
led-display,1000,7,CLASSIFICATION,snn_led-display,1.6019597911834718,0.5400000019868215,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
lenses,24,4,CLASSIFICATION,snn_lenses,0.9339247941970824,0.5,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
letter,20000,16,CLASSIFICATION,snn_letter,0.08438684829945366,0.9790000004768372,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
libras,360,90,CLASSIFICATION,snn_libras,1.5716451406478882,0.7222222089767456,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
low-res-spect,531,100,CLASSIFICATION,snn_low-res-spect,0.7378931656479836,0.875,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
lung-cancer,32,56,CLASSIFICATION,snn_lung-cancer,2.215078830718994,0.4000000059604645,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
lymphography,148,18,CLASSIFICATION,snn_lymphography,0.6073209047317505,0.782608687877655,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
magic,19020,10,CLASSIFICATION,snn_magic,0.6929042290228942,0.6610585348546777,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
mammographic,961,5,CLASSIFICATION,snn_mammographic,0.6883668537797599,0.613793106736808,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
miniboone,130064,50,CLASSIFICATION,snn_miniboone,0.6931471824645996,0.2785238339282622,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
molec-biol-promoter,106,57,CLASSIFICATION,snn_molec-biol-promoter,0.4533593356609345,0.875,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
molec-biol-splice,3190,60,CLASSIFICATION,snn_molec-biol-splice,0.7133830737882529,0.8977035490605428,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
monks-1,556,6,CLASSIFICATION,snn_monks-1,0.6931471824645996,0.4880952352569217,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
monks-2,601,6,CLASSIFICATION,snn_monks-2,0.6855301922494239,0.6263736230986459,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
monks-3,554,6,CLASSIFICATION,snn_monks-3,0.19466263836338407,0.9404761847995576,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
mushroom,8124,21,CLASSIFICATION,snn_mushroom,0.6931471824645996,0.5209187859389702,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
musk-1,476,166,CLASSIFICATION,snn_musk-1,0.2545515497525533,0.9166666666666666,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
musk-2,6598,166,CLASSIFICATION,snn_musk-2,0.04599651569186597,0.9929292929292928,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
nursery,12960,8,CLASSIFICATION,snn_nursery,0.017723097893417337,0.9778806584362142,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
oocytes_merluccius_nucleus_4d,1022,41,CLASSIFICATION,snn_oocytes_merluccius_nucleus_4d,0.4884916543960571,0.7922077883373607,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
oocytes_merluccius_states_2f,1022,25,CLASSIFICATION,snn_oocytes_merluccius_states_2f,0.30746433042086563,0.9025973987269712,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
oocytes_trisopterus_nucleus_2f,912,25,CLASSIFICATION,snn_oocytes_trisopterus_nucleus_2f,0.4744639485856912,0.8686131391212017,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
oocytes_trisopterus_states_5b,912,32,CLASSIFICATION,snn_oocytes_trisopterus_states_5b,0.03390084968431153,0.9927007299270072,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
optical,5620,62,CLASSIFICATION,snn_optical,2.299853708961822,0.07829181501732461,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
ozone,2536,72,CLASSIFICATION,snn_ozone,0.6913278952358276,0.9763779527559056,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
page-blocks,5473,10,CLASSIFICATION,snn_page-blocks,0.12364683433659328,0.9744214362552192,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
parkinsons,195,22,CLASSIFICATION,snn_parkinsons,0.28427812457084656,0.9333333373069764,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
pendigits,10992,16,CLASSIFICATION,snn_pendigits,0.0231679277858127,0.9933292904790784,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
pima,768,8,CLASSIFICATION,snn_pima,0.5469775590403326,0.7413793041788298,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
pittsburg-bridges-MATERIAL,106,7,CLASSIFICATION,snn_pittsburg-bridges-MATERIAL,2.52523136138916,0.6875,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
pittsburg-bridges-REL-L,103,7,CLASSIFICATION,snn_pittsburg-bridges-REL-L,1.0235958099365234,0.75,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
pittsburg-bridges-SPAN,92,7,CLASSIFICATION,snn_pittsburg-bridges-SPAN,2.455878496170044,0.5714285969734192,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
pittsburg-bridges-T-OR-D,102,7,CLASSIFICATION,snn_pittsburg-bridges-T-OR-D,0.230270117521286,0.875,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
pittsburg-bridges-TYPE,105,7,CLASSIFICATION,snn_pittsburg-bridges-TYPE,1.6783709526062012,0.5,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
planning,182,12,CLASSIFICATION,snn_planning,2.0071938037872314,0.6071428656578064,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
plant-margin,1600,64,CLASSIFICATION,snn_plant-margin,1.1087471723556521,0.8083333373069763,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
plant-shape,1600,64,CLASSIFICATION,snn_plant-shape,1.2766353766123453,0.7125000039736429,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
plant-texture,1599,64,CLASSIFICATION,snn_plant-texture,0.8549643540134032,0.8625,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
post-operative,90,8,CLASSIFICATION,snn_post-operative,1.0201399326324463,0.5714285969734192,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
primary-tumor,330,17,CLASSIFICATION,snn_primary-tumor,2.230116844177246,0.4399999976158142,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
ringnorm,7400,20,CLASSIFICATION,snn_ringnorm,0.15230247636350827,0.9783783780561912,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
seeds,210,7,CLASSIFICATION,snn_seeds,0.24812430143356326,0.9375,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
semeion,1593,256,CLASSIFICATION,snn_semeion,2.292950871599269,0.0878661087554369,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
soybean,683,35,CLASSIFICATION,snn_soybean,0.46603847880965293,0.8058252467692477,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
spambase,4601,57,CLASSIFICATION,snn_spambase,0.6921440758856954,0.590448627251102,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
spectf,267,44,CLASSIFICATION,snn_spectf,0.4929441213607788,0.5365853905677795,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
spect,265,22,CLASSIFICATION,snn_spect,0.7623384594917297,0.7250000238418579,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
statlog-australian-credit,690,14,CLASSIFICATION,snn_statlog-australian-credit,0.6824084566189692,0.6538461584311265,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
statlog-german-credit,1000,24,CLASSIFICATION,snn_statlog-german-credit,0.8449921631813049,0.7333333325386048,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
statlog-heart,270,13,CLASSIFICATION,snn_statlog-heart,1.1878745555877686,0.6829268336296082,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
statlog-image,2310,18,CLASSIFICATION,snn_statlog-image,0.4390448147178727,0.7896253612611754,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
statlog-landsat,6435,36,CLASSIFICATION,snn_statlog-landsat,0.3749013764602489,0.927536231884058,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
statlog-shuttle,58000,9,CLASSIFICATION,snn_statlog-shuttle,0.03861522294419193,0.9577011494526918,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
statlog-vehicle,846,18,CLASSIFICATION,snn_statlog-vehicle,0.33427420516652384,0.7559055174429585,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
steel-plates,1941,27,CLASSIFICATION,snn_steel-plates,1.239714655157638,0.7671232860382289,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
synthetic-control,600,60,CLASSIFICATION,snn_synthetic-control,0.4795836203628116,0.7666666600439284,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
