"dataset","nlayers","nhidden","valAccuracy","layerForm","learningrate","testAccuracy"
"cardiotocography-10clases",8,512,0.189189195632935,"cone",1,0.180790960788727
"cardiotocography-10clases",8,512,0.189189195632935,"rect",1,0.180790960788727
"cardiotocography-10clases",8,256,0.189189195632935,"rect",1,0.180790960788727
"cardiotocography-10clases",4,1024,0.189189195632935,"cone",1,0.180790960788727
"cardiotocography-10clases",4,512,0.189189195632935,"cone",1,0.180790960788727
"cardiotocography-10clases",3,256,0.189189195632935,"cone",1,0.180790960788727
"cardiotocography-10clases",3,256,0.189189195632935,"rect",1,0.180790960788727
"cardiotocography-10clases",2,1024,0.189189195632935,"rect",1,0.180790960788727
"cardiotocography-10clases",2,512,0.189189195632935,"cone",1,0.180790945887566
"cardiotocography-10clases",2,256,0.189189195632935,"cone",1,0.180790960788727
"cardiotocography-10clases",2,256,0.189189195632935,"rect",1,0.180790960788727
