"dataset","layerForm","nlayers","testAccuracy","nhidden","learningrate","valAccuracy"
"semeion","cone",32,0.100502505898476,256,0.1,0.078125
"semeion","rect",32,0.100502505898476,256,0.1,0.078125
"semeion","rect",32,0.100502505898476,1024,1,0.078125
"semeion","rect",32,0.100502505898476,512,1,0.078125
"semeion","cone",32,0.100502505898476,256,1,0.078125
"semeion","rect",32,0.100502505898476,256,1,0.078125
"semeion","cone",16,0.097989946603775,1024,0.01,0.078125
"semeion","rect",16,0.100502505898476,1024,0.01,0.078125
"semeion","cone",16,0.097989946603775,512,0.01,0.078125
"semeion","rect",16,0.100502505898476,512,0.01,0.078125
"semeion","cone",16,0.100502505898476,256,0.01,0.078125
"semeion","rect",16,0.100502505898476,256,0.01,0.078125
"semeion","cone",16,0.100502505898476,1024,0.1,0.078125
"semeion","rect",16,0.100502505898476,1024,0.1,0.078125
"semeion","cone",16,0.100502505898476,512,0.1,0.078125
"semeion","cone",16,0.100502505898476,256,0.1,0.078125
"semeion","rect",16,0.100502505898476,256,0.1,0.078125
"semeion","cone",16,0.100502505898476,1024,1,0.078125
"semeion","rect",16,0.100502505898476,1024,1,0.078125
"semeion","cone",16,0.100502505898476,512,1,0.078125
"semeion","rect",16,0.100502505898476,512,1,0.078125
"semeion","cone",16,0.097989946603775,256,1,0.078125
"semeion","rect",16,0.100502505898476,256,1,0.078125
"semeion","cone",8,0.100502505898476,1024,0.1,0.078125
"semeion","rect",8,0.100502505898476,1024,0.1,0.078125
"semeion","cone",8,0.100502505898476,512,0.1,0.078125
"semeion","rect",8,0.100502505898476,512,0.1,0.078125
"semeion","cone",8,0.100502505898476,256,0.1,0.078125
"semeion","rect",8,0.100502505898476,256,0.1,0.078125
"semeion","cone",8,0.100502505898476,1024,1,0.078125
"semeion","rect",8,0.097989946603775,1024,1,0.078125
"semeion","cone",8,0.100502505898476,512,1,0.078125
"semeion","rect",8,0.100502505898476,512,1,0.078125
"semeion","cone",8,0.100502505898476,256,1,0.078125
"semeion","rect",8,0.100502505898476,256,1,0.078125
"semeion","rect",4,0.100502505898476,512,0.1,0.078125
"semeion","rect",4,0.100502505898476,1024,1,0.078125
"semeion","rect",4,0.100502505898476,512,1,0.078125
"semeion","cone",4,0.100502505898476,256,1,0.078125
"semeion","rect",4,0.100502505898476,256,1,0.078125
"semeion","rect",3,0.100502505898476,1024,1,0.078125
"semeion","cone",3,0.100502505898476,512,1,0.078125
"semeion","rect",3,0.100502505898476,512,1,0.078125
"semeion","cone",3,0.100502505898476,256,1,0.078125
"semeion","rect",3,0.100502505898476,256,1,0.078125
"semeion","cone",2,0.100502505898476,1024,1,0.078125
"semeion","rect",2,0.100502505898476,1024,1,0.078125
"semeion","cone",2,0.100502505898476,512,1,0.078125
"semeion","cone",2,0.100502505898476,256,1,0.078125
