"dataset","testAccuracy","layerForm","nhidden","nlayers","valAccuracy","learningrate"
"glass",0.377358496189117,"cone",256,8,0.357142865657806,0.01
"glass",0.377358496189117,"cone",1024,8,0.357142865657806,0.1
"glass",0.377358496189117,"cone",256,3,0.357142865657806,0.1
"glass",0.377358496189117,"rect",256,16,0.350000008940697,1
"glass",0.377358496189117,"rect",1024,4,0.350000008940697,1
"glass",0.377358496189117,"cone",256,4,0.350000008940697,1
"glass",0.377358496189117,"rect",256,3,0.350000008940697,1
"glass",0.377358496189117,"cone",512,32,0.342857152223587,1
"glass",0.377358496189117,"rect",1024,16,0.342857152223587,1
"glass",0.377358496189117,"rect",512,3,0.335714295506477,1
"glass",0.320754706859589,"cone",256,2,0.335714295506477,1
"glass",0.358490586280823,"rect",256,4,0.328571438789368,0.1
"glass",0.320754706859589,"cone",256,3,0.292857155203819,1
"glass",0.320754706859589,"cone",1024,32,0.28571429848671,0.01
"glass",0.320754706859589,"rect",1024,32,0.28571429848671,0.01
"glass",0.320754706859589,"cone",512,32,0.28571429848671,0.01
"glass",0.320754706859589,"rect",512,32,0.28571429848671,0.01
"glass",0.320754706859589,"rect",256,32,0.28571429848671,0.01
"glass",0.320754706859589,"cone",1024,32,0.28571429848671,0.1
"glass",0.320754706859589,"rect",1024,32,0.28571429848671,0.1
"glass",0.320754706859589,"cone",512,32,0.28571429848671,0.1
"glass",0.320754706859589,"rect",512,32,0.28571429848671,0.1
"glass",0.320754706859589,"cone",256,32,0.28571429848671,0.1
"glass",0.320754706859589,"rect",256,32,0.28571429848671,0.1
"glass",0.320754706859589,"cone",1024,32,0.28571429848671,1
"glass",0.320754706859589,"rect",1024,32,0.28571429848671,1
"glass",0.320754706859589,"rect",512,32,0.28571429848671,1
"glass",0.320754706859589,"cone",256,32,0.28571429848671,1
"glass",0.320754706859589,"rect",256,32,0.28571429848671,1
"glass",0.320754706859589,"cone",1024,16,0.28571429848671,0.01
"glass",0.320754706859589,"rect",1024,16,0.28571429848671,0.01
"glass",0.320754706859589,"cone",512,16,0.28571429848671,0.01
"glass",0.320754706859589,"rect",512,16,0.28571429848671,0.01
"glass",0.320754706859589,"cone",256,16,0.28571429848671,0.01
"glass",0.320754706859589,"cone",1024,16,0.28571429848671,0.1
"glass",0.320754706859589,"rect",1024,16,0.28571429848671,0.1
"glass",0.320754706859589,"cone",512,16,0.28571429848671,0.1
"glass",0.320754706859589,"rect",512,16,0.28571429848671,0.1
"glass",0.320754706859589,"cone",1024,16,0.28571429848671,1
"glass",0.320754706859589,"cone",512,16,0.28571429848671,1
"glass",0.320754706859589,"rect",512,16,0.28571429848671,1
"glass",0.320754706859589,"cone",256,16,0.28571429848671,1
"glass",0.320754706859589,"rect",1024,8,0.28571429848671,0.01
"glass",0.320754706859589,"rect",256,8,0.28571429848671,0.01
"glass",0.320754706859589,"rect",1024,8,0.28571429848671,0.1
"glass",0.320754706859589,"cone",512,8,0.28571429848671,0.1
"glass",0.320754706859589,"rect",512,8,0.28571429848671,0.1
"glass",0.320754706859589,"cone",256,8,0.28571429848671,0.1
"glass",0.320754706859589,"rect",256,8,0.28571429848671,0.1
"glass",0.320754706859589,"cone",1024,8,0.28571429848671,1
"glass",0.320754706859589,"rect",1024,8,0.28571429848671,1
"glass",0.320754706859589,"cone",512,8,0.28571429848671,1
"glass",0.320754706859589,"rect",512,8,0.28571429848671,1
"glass",0.320754706859589,"cone",256,8,0.28571429848671,1
"glass",0.320754706859589,"rect",256,8,0.28571429848671,1
"glass",0.320754706859589,"rect",1024,4,0.28571429848671,0.1
"glass",0.320754706859589,"rect",512,4,0.28571429848671,0.1
"glass",0.320754706859589,"cone",1024,4,0.28571429848671,1
"glass",0.320754706859589,"cone",512,4,0.28571429848671,1
"glass",0.320754706859589,"rect",512,4,0.28571429848671,1
"glass",0.320754706859589,"rect",256,4,0.28571429848671,1
"glass",0.320754706859589,"cone",1024,3,0.28571429848671,1
"glass",0.320754706859589,"rect",1024,3,0.28571429848671,1
"glass",0.320754706859589,"cone",512,3,0.28571429848671,1
"glass",0.320754706859589,"cone",1024,2,0.28571429848671,1
"glass",0.320754706859589,"rect",1024,2,0.28571429848671,1
"glass",0.320754706859589,"cone",512,2,0.28571429848671,1
"glass",0.320754706859589,"rect",512,2,0.28571429848671,1
"glass",0.320754706859589,"rect",256,2,0.28571429848671,1
"glass",0.0754716992378235,"cone",1024,4,0.10000000372529,0.01
"glass",0.0566037744283676,"rect",256,16,0.0714285746216774,0.01
"glass",0.0377358496189117,"cone",256,4,0.0714285746216774,0.01
