"dataset","nhidden","nlayers","testAccuracy","layerForm","learningrate","valAccuracy"
"lenses",256,32,0.666666686534882,"cone",0.01,0
"lenses",1024,32,0.666666686534882,"cone",0.1,0
"lenses",512,32,0.666666686534882,"cone",0.1,0
"lenses",512,32,0.666666686534882,"rect",1,0
"lenses",256,32,0.666666686534882,"cone",1,0
"lenses",512,16,0.666666686534882,"rect",0.01,0
"lenses",256,16,0.666666686534882,"cone",0.1,0
"lenses",1024,16,0.666666686534882,"rect",1,0
"lenses",256,16,0.666666686534882,"cone",1,0
"lenses",512,8,0.666666686534882,"rect",0.01,0
"lenses",512,8,0.666666686534882,"rect",1,0
"lenses",256,3,0.666666686534882,"cone",0.1,0
"lenses",1024,2,0.5,"rect",0.01,0
"lenses",256,2,0.666666686534882,"cone",0.01,0
