"dataset","learningrate","testAccuracy","layerForm","nlayers","nhidden","valAccuracy"
"heart-switzerland",0.01,0.0645161271095276,"cone",16,1024,0
"heart-switzerland",0.01,0.0645161271095276,"rect",16,1024,0
"heart-switzerland",0.01,0.0645161271095276,"cone",16,512,0
"heart-switzerland",0.01,0.0645161271095276,"rect",16,512,0
"heart-switzerland",0.01,0.0645161271095276,"rect",16,256,0
"heart-switzerland",0.1,0.0645161271095276,"rect",16,1024,0
"heart-switzerland",0.1,0.0645161271095276,"cone",16,512,0
"heart-switzerland",0.1,0.0645161271095276,"rect",16,512,0
"heart-switzerland",0.1,0.0645161271095276,"cone",16,256,0
"heart-switzerland",0.1,0.0645161271095276,"rect",16,256,0
"heart-switzerland",1,0.0645161271095276,"cone",16,1024,0
"heart-switzerland",1,0.0645161271095276,"rect",16,1024,0
"heart-switzerland",1,0.0645161271095276,"rect",16,512,0
"heart-switzerland",1,0.0645161271095276,"cone",16,256,0
"heart-switzerland",1,0.0645161271095276,"rect",16,256,0
"heart-switzerland",0.01,0.225806444883347,"rect",8,256,0
"heart-switzerland",0.1,0.0645161271095276,"cone",8,1024,0
"heart-switzerland",0.1,0.0645161271095276,"rect",8,1024,0
"heart-switzerland",0.1,0.0645161271095276,"rect",8,512,0
"heart-switzerland",0.1,0.0645161271095276,"rect",8,256,0
"heart-switzerland",1,0.0645161271095276,"cone",8,1024,0
"heart-switzerland",1,0.0645161271095276,"rect",8,1024,0
"heart-switzerland",1,0.0645161271095276,"cone",8,512,0
"heart-switzerland",1,0.0645161271095276,"rect",8,512,0
"heart-switzerland",1,0.0645161271095276,"cone",8,256,0
"heart-switzerland",1,0.0645161271095276,"rect",8,256,0
"heart-switzerland",0.1,0.0645161271095276,"rect",4,1024,0
"heart-switzerland",0.1,0.225806444883347,"rect",4,512,0
"heart-switzerland",1,0.0645161271095276,"cone",4,1024,0
"heart-switzerland",1,0.0645161271095276,"rect",4,1024,0
"heart-switzerland",1,0.0645161271095276,"cone",4,512,0
"heart-switzerland",0.01,0.129032254219055,"rect",3,512,0
"heart-switzerland",0.1,0.0645161271095276,"rect",3,512,0
"heart-switzerland",1,0.0645161271095276,"cone",3,1024,0
"heart-switzerland",1,0.0645161271095276,"rect",3,1024,0
"heart-switzerland",1,0.0645161271095276,"cone",3,256,0
"heart-switzerland",1,0.0645161271095276,"cone",2,1024,0
"heart-switzerland",1,0.0645161271095276,"rect",2,1024,0
