"dataset","nlayers","nhidden","valAccuracy","testAccuracy","layerForm","learningrate"
"led-display",3,256,0.137500002980232,0.0960000082850456,"rect",1
"led-display",2,1024,0.137500002980232,0.0960000082850456,"cone",1
"led-display",2,1024,0.137500002980232,0.0960000082850456,"rect",1
"led-display",2,512,0.137500002980232,0.096000000834465,"rect",1
"led-display",2,256,0.137500002980232,0.0960000082850456,"rect",1
"led-display",32,1024,0.112500004470348,0.100000008940697,"cone",0.1
"led-display",4,512,0.112500004470348,0.100000008940697,"rect",0.1
"led-display",4,256,0.112500004470348,0.100000008940697,"cone",0.1
"led-display",32,512,0.111250001937151,0.0920000076293945,"cone",0.01
"led-display",2,512,0.100000002235174,0.108000010251999,"cone",1
"led-display",32,256,0.100000001490116,0.108000010251999,"rect",1
"led-display",16,1024,0.100000001490116,0.108000010251999,"rect",1
"led-display",3,256,0.100000001490116,0.0920000076293945,"cone",0.1
"led-display",3,1024,0.100000001490116,0.108000010251999,"cone",1
"led-display",2,256,0.100000001490116,0.108000010251999,"cone",1
"led-display",3,512,0.0975000016391278,0.108000010251999,"rect",1
"led-display",4,256,0.0950000032782555,0.124000012874603,"rect",0.1
"led-display",8,512,0.0950000017881394,0.108000010251999,"cone",1
