"dataset","nlayers","nhidden","testAccuracy","layerForm","learningrate","valAccuracy"
"zoo",8,1024,0.439999967813492,"rect",0.01,0.272727280855179
"zoo",8,512,0.439999967813492,"cone",0.01,0.272727280855179
"zoo",8,512,0.439999967813492,"rect",0.01,0.272727280855179
"zoo",8,256,0.439999967813492,"cone",0.01,0.272727280855179
"zoo",8,1024,0.439999967813492,"cone",0.1,0.272727280855179
"zoo",8,1024,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",8,512,0.439999967813492,"cone",0.1,0.272727280855179
"zoo",8,512,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",8,256,0.439999967813492,"cone",0.1,0.272727280855179
"zoo",8,256,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",8,1024,0.439999967813492,"cone",1,0.272727280855179
"zoo",8,1024,0.439999967813492,"rect",1,0.272727280855179
"zoo",8,512,0.439999967813492,"cone",1,0.272727280855179
"zoo",8,512,0.439999967813492,"rect",1,0.272727280855179
"zoo",8,256,0.439999967813492,"cone",1,0.272727280855179
"zoo",8,256,0.439999967813492,"rect",1,0.272727280855179
"zoo",4,1024,0.439999967813492,"cone",0.1,0.272727280855179
"zoo",4,1024,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",4,512,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",4,256,0.439999967813492,"cone",0.1,0.272727280855179
"zoo",4,256,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",4,1024,0.439999967813492,"cone",1,0.272727280855179
"zoo",4,1024,0.439999967813492,"rect",1,0.272727280855179
"zoo",4,512,0.439999967813492,"cone",1,0.272727280855179
"zoo",4,512,0.439999967813492,"rect",1,0.272727280855179
"zoo",4,256,0.439999967813492,"cone",1,0.272727280855179
"zoo",4,256,0.439999967813492,"rect",1,0.272727280855179
"zoo",3,1024,0.439999967813492,"cone",0.1,0.272727280855179
"zoo",3,1024,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",3,512,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",3,256,0.439999967813492,"rect",0.1,0.272727280855179
"zoo",3,1024,0.439999967813492,"cone",1,0.272727280855179
"zoo",3,1024,0.439999967813492,"rect",1,0.272727280855179
"zoo",3,512,0.439999967813492,"cone",1,0.272727280855179
"zoo",3,512,0.439999967813492,"rect",1,0.272727280855179
"zoo",3,256,0.439999967813492,"cone",1,0.272727280855179
"zoo",3,256,0.439999967813492,"rect",1,0.272727280855179
"zoo",2,1024,0.439999967813492,"cone",1,0.272727280855179
"zoo",2,1024,0.439999967813492,"rect",1,0.272727280855179
"zoo",2,512,0.439999967813492,"cone",1,0.272727280855179
"zoo",2,512,0.439999967813492,"rect",1,0.272727280855179
"zoo",2,256,0.439999967813492,"cone",1,0.272727280855179
"zoo",2,256,0.439999967813492,"rect",1,0.272727280855179
"zoo",32,1024,0.0399999991059303,"cone",0.01,0.190909096598625
"zoo",16,256,0.0399999991059303,"cone",0.01,0.181818187236786
"zoo",4,512,0.0399999991059303,"cone",0.01,0.181818187236786
"zoo",16,512,0.0399999991059303,"rect",0.01,0.109090912342072
"zoo",8,256,0.439999967813492,"rect",0.01,0.0272727280855179
"zoo",32,512,0.0799999982118607,"rect",0.01,0
