"dataset","valAccuracy","learningrate","testAccuracy","nhidden","nlayers","layerForm"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,16,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,16,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,16,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,16,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,16,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,16,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,16,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,16,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,16,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,16,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,1024,8,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,512,8,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,256,8,"cone"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,256,8,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,1024,8,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,1024,8,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,8,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,8,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,8,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,8,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,8,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,8,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,8,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,8,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,8,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,8,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,1024,4,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,4,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,4,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,4,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,4,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,4,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,4,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,4,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,4,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,4,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,4,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,1024,3,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,3,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,3,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,3,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,3,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,3,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,3,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,2,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,2,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,2,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,2,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,2,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,2,"rect"
"echocardiogram",0.53571429848671,0.1,0.787878751754761,1024,4,"cone"
"echocardiogram",0.457142862677574,0.01,0.30303031206131,512,8,"cone"
"echocardiogram",0.428571432828903,0.01,0.30303031206131,512,16,"rect"
"echocardiogram",0.428571432828903,0.01,0.30303031206131,1024,8,"cone"
