"dataset","nlayers","nhidden","learningrate","testAccuracy","valAccuracy","layerForm"
"wall-following",8,1024,0.1,0.404692053794861,0.385185211896896,"rect"
"wall-following",8,1024,1,0.404692113399506,0.385185211896896,"cone"
"wall-following",8,1024,1,0.404692053794861,0.385185211896896,"rect"
"wall-following",8,512,1,0.404692053794861,0.385185211896896,"rect"
"wall-following",8,256,1,0.404692053794861,0.385185211896896,"rect"
"wall-following",4,512,1,0.404692053794861,0.385185211896896,"rect"
"wall-following",4,256,1,0.404692053794861,0.385185211896896,"cone"
"wall-following",3,512,1,0.404692053794861,0.385185211896896,"cone"
"wall-following",32,1024,0.01,0.404692053794861,0.385185208916664,"cone"
"wall-following",32,256,0.01,0.404692053794861,0.385185208916664,"rect"
"wall-following",32,1024,0.1,0.404692053794861,0.385185208916664,"rect"
"wall-following",16,512,0.1,0.404692053794861,0.385185208916664,"rect"
"wall-following",16,1024,1,0.404692053794861,0.385185208916664,"rect"
"wall-following",16,512,1,0.404692053794861,0.385185208916664,"cone"
"wall-following",16,256,1,0.404692053794861,0.385185208916664,"rect"
"wall-following",8,1024,0.1,0.404692053794861,0.385185208916664,"cone"
"wall-following",8,512,0.1,0.404692053794861,0.385185208916664,"cone"
"wall-following",8,256,0.1,0.404692053794861,0.385185208916664,"cone"
"wall-following",8,256,0.1,0.404692053794861,0.385185208916664,"rect"
"wall-following",8,512,1,0.404692053794861,0.385185208916664,"cone"
"wall-following",3,512,1,0.404692053794861,0.385185208916664,"rect"
"wall-following",2,512,1,0.404692053794861,0.385185208916664,"rect"
"wall-following",32,1024,0.01,0.404692053794861,0.385185205936432,"rect"
"wall-following",16,512,0.01,0.404692053794861,0.385185205936432,"rect"
"wall-following",16,1024,0.1,0.404692053794861,0.385185205936432,"rect"
"wall-following",16,256,0.1,0.404692053794861,0.385185205936432,"cone"
"wall-following",16,512,1,0.404692053794861,0.385185205936432,"rect"
"wall-following",16,256,1,0.404692053794861,0.385185205936432,"cone"
"wall-following",8,256,0.01,0.404692113399506,0.385185205936432,"cone"
"wall-following",8,512,0.1,0.404692053794861,0.385185205936432,"rect"
"wall-following",4,512,0.1,0.404692113399506,0.385185205936432,"rect"
"wall-following",4,1024,1,0.404692053794861,0.385185205936432,"rect"
"wall-following",4,256,1,0.404692113399506,0.385185205936432,"rect"
"wall-following",3,256,1,0.404692053794861,0.385185205936432,"rect"
"wall-following",2,1024,1,0.404692113399506,0.385185205936432,"rect"
"wall-following",2,256,1,0.404692053794861,0.385185205936432,"cone"
"wall-following",32,512,0.1,0.404692053794861,0.3851852029562,"cone"
"wall-following",32,1024,1,0.404692053794861,0.3851852029562,"cone"
"wall-following",2,512,1,0.404692113399506,0.3851852029562,"cone"
"wall-following",32,512,0.1,0.404692053794861,0.385185199975967,"rect"
"wall-following",4,512,1,0.404692053794861,0.385185199975967,"cone"
"wall-following",16,256,0.01,0.404692053794861,0.385185196995735,"rect"
"wall-following",2,256,1,0.404692053794861,0.385185194015503,"rect"
