"dataset","testAccuracy","layerForm","nhidden","valAccuracy","nlayers","learningrate"
"fertility",0.879999995231628,"rect",1024,0.875,4,0.01
"fertility",0.879999995231628,"cone",512,0.875,4,0.01
"fertility",0.879999995231628,"cone",256,0.875,4,0.01
"fertility",0.879999995231628,"cone",1024,0.875,4,0.1
"fertility",0.879999995231628,"rect",1024,0.875,4,0.1
"fertility",0.879999995231628,"cone",512,0.875,4,0.1
"fertility",0.879999995231628,"rect",512,0.875,4,0.1
"fertility",0.879999995231628,"cone",256,0.875,4,0.1
"fertility",0.879999995231628,"rect",256,0.875,4,0.1
"fertility",0.879999995231628,"cone",1024,0.875,4,1
"fertility",0.879999995231628,"rect",1024,0.875,4,1
"fertility",0.879999995231628,"cone",512,0.875,4,1
"fertility",0.879999995231628,"rect",512,0.875,4,1
"fertility",0.879999995231628,"cone",256,0.875,4,1
"fertility",0.879999995231628,"rect",256,0.875,4,1
"fertility",0.879999995231628,"cone",256,0.875,3,0.01
"fertility",0.879999995231628,"cone",1024,0.875,3,0.1
"fertility",0.879999995231628,"cone",512,0.875,3,0.1
"fertility",0.879999995231628,"rect",512,0.875,3,0.1
"fertility",0.879999995231628,"cone",256,0.875,3,0.1
"fertility",0.879999995231628,"rect",256,0.875,3,0.1
"fertility",0.879999995231628,"cone",1024,0.875,3,1
"fertility",0.879999995231628,"rect",1024,0.875,3,1
"fertility",0.879999995231628,"cone",512,0.875,3,1
"fertility",0.879999995231628,"rect",512,0.875,3,1
"fertility",0.879999995231628,"cone",256,0.875,3,1
"fertility",0.879999995231628,"rect",256,0.875,3,1
"fertility",0.799999952316284,"rect",512,0.875,2,0.01
"fertility",0.879999995231628,"cone",512,0.875,2,0.1
"fertility",0.879999995231628,"rect",512,0.875,2,0.1
"fertility",0.879999995231628,"cone",1024,0.875,2,1
"fertility",0.879999995231628,"rect",1024,0.875,2,1
"fertility",0.879999995231628,"cone",512,0.875,2,1
"fertility",0.879999995231628,"rect",512,0.875,2,1
"fertility",0.879999995231628,"cone",256,0.875,2,1
"fertility",0.879999995231628,"rect",256,0.875,2,1
"fertility",0.799999952316284,"rect",256,0.8625,2,0.01
"fertility",0.879999995231628,"cone",1024,0.8625,2,0.1
"fertility",0.839999973773956,"rect",256,0.8625,4,0.01
"fertility",0.879999995231628,"rect",512,0.85,4,0.01
"fertility",0.839999973773956,"cone",512,0.85,2,0.01
"fertility",0.839999973773956,"rect",512,0.8375,3,0.01
"fertility",0.759999990463257,"rect",1024,0.825,2,0.01
"fertility",0.839999973773956,"rect",256,0.825,3,0.01
"fertility",0.159999996423721,"rect",1024,0.8,3,0.1
"fertility",0.719999969005585,"cone",256,0.7875,2,0.1
"fertility",0.879999995231628,"rect",1024,0.7875,3,0.01
"fertility",0.879999995231628,"cone",256,0.7875,2,0.01
"fertility",0.639999985694885,"cone",1024,0.725,2,0.01
"fertility",0.799999952316284,"rect",1024,0.725,2,0.1
