"dataset","nhidden","layerForm","testAccuracy","valAccuracy","learningrate","nlayers"
"congressional-voting",512,"rect",0.587155938148499,0.605405443906784,0.01,4
"congressional-voting",256,"cone",0.605504512786865,0.594594657421112,0.01,3
"congressional-voting",256,"rect",0.550458669662476,0.58378381729126,0.01,8
"congressional-voting",512,"rect",0.596330225467682,0.583783805370331,0.01,8
"congressional-voting",1024,"rect",0.587155938148499,0.581081128120422,0.01,3
"congressional-voting",1024,"cone",0.614678859710693,0.572972995042801,1,3
"congressional-voting",1024,"cone",0.614678859710693,0.567567586898804,0.01,32
"congressional-voting",1024,"rect",0.614678859710693,0.567567586898804,0.01,32
"congressional-voting",512,"rect",0.614678859710693,0.567567586898804,0.01,32
"congressional-voting",1024,"cone",0.614678859710693,0.567567586898804,0.1,32
"congressional-voting",1024,"rect",0.614678859710693,0.567567586898804,0.1,32
"congressional-voting",512,"cone",0.614678859710693,0.567567586898804,0.1,32
"congressional-voting",512,"rect",0.614678859710693,0.567567586898804,0.1,32
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,0.1,32
"congressional-voting",256,"rect",0.614678859710693,0.567567586898804,0.1,32
"congressional-voting",1024,"cone",0.614678859710693,0.567567586898804,1,32
"congressional-voting",1024,"rect",0.614678859710693,0.567567586898804,1,32
"congressional-voting",512,"cone",0.614678859710693,0.567567586898804,1,32
"congressional-voting",512,"rect",0.614678859710693,0.567567586898804,1,32
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,1,32
"congressional-voting",256,"rect",0.614678859710693,0.567567586898804,1,32
"congressional-voting",1024,"rect",0.614678859710693,0.567567586898804,0.01,16
"congressional-voting",512,"rect",0.614678859710693,0.567567586898804,0.01,16
"congressional-voting",256,"rect",0.614678859710693,0.567567586898804,0.01,16
"congressional-voting",1024,"cone",0.614678859710693,0.567567586898804,0.1,16
"congressional-voting",1024,"rect",0.614678859710693,0.567567586898804,0.1,16
"congressional-voting",512,"cone",0.614678859710693,0.567567586898804,0.1,16
"congressional-voting",512,"rect",0.614678859710693,0.567567586898804,0.1,16
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,0.1,16
"congressional-voting",256,"rect",0.614678859710693,0.567567586898804,0.1,16
"congressional-voting",1024,"cone",0.614678859710693,0.567567586898804,1,16
"congressional-voting",1024,"rect",0.614678859710693,0.567567586898804,1,16
"congressional-voting",512,"cone",0.614678859710693,0.567567586898804,1,16
"congressional-voting",512,"rect",0.614678859710693,0.567567586898804,1,16
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,1,16
"congressional-voting",256,"rect",0.614678859710693,0.567567586898804,1,16
"congressional-voting",512,"cone",0.614678859710693,0.567567586898804,0.01,8
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,0.01,8
"congressional-voting",1024,"cone",0.614678859710693,0.567567586898804,0.1,8
"congressional-voting",1024,"rect",0.614678859710693,0.567567586898804,0.1,8
"congressional-voting",512,"cone",0.614678859710693,0.567567586898804,0.1,8
"congressional-voting",512,"rect",0.614678859710693,0.567567586898804,0.1,8
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,0.1,8
"congressional-voting",256,"rect",0.614678859710693,0.567567586898804,0.1,8
"congressional-voting",1024,"cone",0.614678859710693,0.567567586898804,1,8
"congressional-voting",1024,"rect",0.614678859710693,0.567567586898804,1,8
"congressional-voting",512,"cone",0.614678859710693,0.567567586898804,1,8
"congressional-voting",512,"rect",0.614678859710693,0.567567586898804,1,8
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,1,8
"congressional-voting",256,"rect",0.614678859710693,0.567567586898804,1,8
"congressional-voting",1024,"cone",0.614678859710693,0.567567586898804,0.1,4
"congressional-voting",1024,"rect",0.614678859710693,0.567567586898804,0.1,4
"congressional-voting",512,"rect",0.614678859710693,0.567567586898804,0.1,4
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,0.1,4
"congressional-voting",256,"rect",0.614678859710693,0.567567586898804,0.1,4
"congressional-voting",1024,"cone",0.614678859710693,0.567567586898804,1,4
"congressional-voting",1024,"rect",0.614678859710693,0.567567586898804,1,4
"congressional-voting",512,"cone",0.614678859710693,0.567567586898804,1,4
"congressional-voting",512,"rect",0.614678859710693,0.567567586898804,1,4
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,1,4
"congressional-voting",256,"rect",0.614678859710693,0.567567586898804,1,4
"congressional-voting",1024,"cone",0.614678859710693,0.567567586898804,0.1,3
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,0.1,3
"congressional-voting",1024,"rect",0.614678859710693,0.567567586898804,1,3
"congressional-voting",512,"cone",0.614678859710693,0.567567586898804,1,3
"congressional-voting",512,"rect",0.614678859710693,0.567567586898804,1,3
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,1,3
"congressional-voting",256,"rect",0.614678859710693,0.567567586898804,1,3
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,0.1,2
"congressional-voting",1024,"cone",0.614678859710693,0.567567586898804,1,2
"congressional-voting",1024,"rect",0.614678859710693,0.567567586898804,1,2
"congressional-voting",512,"cone",0.614678859710693,0.567567586898804,1,2
"congressional-voting",512,"rect",0.614678859710693,0.567567586898804,1,2
"congressional-voting",256,"cone",0.614678859710693,0.567567586898804,1,2
"congressional-voting",256,"rect",0.614678859710693,0.567567586898804,1,2
"congressional-voting",512,"cone",0.385321080684662,0.432432472705841,0.01,32
"congressional-voting",256,"cone",0.385321080684662,0.432432472705841,0.01,32
"congressional-voting",256,"rect",0.385321080684662,0.432432472705841,0.01,32
"congressional-voting",1024,"cone",0.385321080684662,0.432432472705841,0.01,16
"congressional-voting",512,"cone",0.385321080684662,0.432432472705841,0.01,16
"congressional-voting",256,"cone",0.385321080684662,0.432432472705841,0.01,16
"congressional-voting",1024,"cone",0.385321080684662,0.432432472705841,0.01,8
