"dataset","nlayers","testAccuracy","nhidden","valAccuracy","layerForm","learningrate"
"ozone",2,0.971608877182007,1024,0.977830147743225,"rect",0.01
"ozone",4,0.966877043247223,256,0.977358478307724,"rect",0.01
"ozone",2,0.974763512611389,1024,0.976886749267578,"cone",0.1
"ozone",3,0.974763512611389,1024,0.976415067911148,"cone",0.01
"ozone",4,0.971608936786652,256,0.976415055990219,"cone",0.01
"ozone",3,0.976340770721436,256,0.973584896326065,"rect",0.01
"ozone",2,0.968454420566559,256,0.9731132209301,"rect",0.1
"ozone",2,0.971608877182007,256,0.972641509771347,"cone",0.01
"ozone",2,0.958990573883057,256,0.972169828414917,"cone",0.1
"ozone",3,0.974763512611389,1024,0.972169816493988,"rect",0.01
"ozone",4,0.971608877182007,1024,0.972169804573059,"rect",0.01
"ozone",2,0.974763512611389,512,0.971698123216629,"rect",0.01
"ozone",3,0.971608877182007,512,0.9716981112957,"rect",0.01
