"dataset","nhidden","layerForm","learningrate","testAccuracy","valAccuracy","nlayers"
"tic-tac-toe",1024,"cone",1,0.652719616889954,0.753846168518066,16
"tic-tac-toe",256,"cone",1,0.652719616889954,0.753846168518066,16
"tic-tac-toe",512,"cone",0.01,0.652719616889954,0.753846168518066,8
"tic-tac-toe",256,"rect",0.01,0.652719616889954,0.753846168518066,8
"tic-tac-toe",1024,"cone",0.1,0.652719616889954,0.753846168518066,8
"tic-tac-toe",512,"cone",0.1,0.652719616889954,0.753846168518066,8
"tic-tac-toe",256,"cone",0.1,0.652719616889954,0.753846168518066,8
"tic-tac-toe",1024,"cone",1,0.652719616889954,0.753846168518066,8
"tic-tac-toe",256,"cone",1,0.652719616889954,0.753846168518066,8
"tic-tac-toe",256,"cone",0.01,0.652719616889954,0.753846168518066,4
"tic-tac-toe",256,"cone",0.1,0.652719616889954,0.753846168518066,4
"tic-tac-toe",512,"cone",1,0.652719616889954,0.753846168518066,4
"tic-tac-toe",256,"cone",1,0.652719616889954,0.753846168518066,4
"tic-tac-toe",256,"cone",0.1,0.652719616889954,0.753846168518066,3
"tic-tac-toe",256,"rect",1,0.652719616889954,0.753846168518066,3
"tic-tac-toe",1024,"cone",0.1,0.652719616889954,0.753846168518066,2
"tic-tac-toe",512,"cone",0.1,0.652719676494598,0.753846168518066,2
"tic-tac-toe",512,"rect",0.1,0.652719616889954,0.74923078417778,3
"tic-tac-toe",512,"rect",0.01,0.652719676494598,0.733846169710159,8
"tic-tac-toe",1024,"rect",0.1,0.652719676494598,0.730769246816635,3
"tic-tac-toe",256,"rect",0.1,0.652719616889954,0.724615401029587,3
"tic-tac-toe",256,"cone",1,0.652719676494598,0.710769248008728,2
"tic-tac-toe",512,"rect",0.1,0.347280323505402,0.296923078596592,4
"tic-tac-toe",512,"rect",1,0.347280323505402,0.296923078596592,2
"tic-tac-toe",256,"rect",1,0.347280323505402,0.286153848469257,2
"tic-tac-toe",1024,"cone",0.01,0.347280323505402,0.276923079788685,4
"tic-tac-toe",1024,"cone",1,0.347280323505402,0.26000000089407,3
"tic-tac-toe",1024,"cone",0.01,0.347280323505402,0.246153846383095,32
"tic-tac-toe",1024,"rect",0.01,0.347280323505402,0.246153846383095,32
"tic-tac-toe",512,"rect",0.01,0.347280323505402,0.246153846383095,32
"tic-tac-toe",256,"rect",0.01,0.347280323505402,0.246153846383095,32
"tic-tac-toe",1024,"rect",0.1,0.347280323505402,0.246153846383095,32
"tic-tac-toe",512,"rect",0.1,0.347280323505402,0.246153846383095,32
"tic-tac-toe",256,"rect",0.1,0.347280323505402,0.246153846383095,32
"tic-tac-toe",1024,"cone",1,0.347280323505402,0.246153846383095,32
"tic-tac-toe",1024,"rect",1,0.347280323505402,0.246153846383095,32
"tic-tac-toe",512,"rect",1,0.347280323505402,0.246153846383095,32
"tic-tac-toe",256,"rect",1,0.347280323505402,0.246153846383095,32
"tic-tac-toe",1024,"cone",0.01,0.347280323505402,0.246153846383095,16
"tic-tac-toe",1024,"rect",0.01,0.347280323505402,0.246153846383095,16
"tic-tac-toe",512,"rect",0.01,0.347280323505402,0.246153846383095,16
"tic-tac-toe",256,"cone",0.01,0.347280323505402,0.246153846383095,16
"tic-tac-toe",256,"rect",0.01,0.347280323505402,0.246153846383095,16
"tic-tac-toe",1024,"rect",0.1,0.347280323505402,0.246153846383095,16
"tic-tac-toe",512,"rect",0.1,0.347280323505402,0.246153846383095,16
"tic-tac-toe",256,"rect",0.1,0.347280323505402,0.246153846383095,16
"tic-tac-toe",1024,"rect",1,0.347280323505402,0.246153846383095,16
"tic-tac-toe",512,"cone",1,0.347280323505402,0.246153846383095,16
"tic-tac-toe",512,"rect",1,0.347280323505402,0.246153846383095,16
"tic-tac-toe",256,"rect",1,0.347280323505402,0.246153846383095,16
"tic-tac-toe",1024,"cone",0.01,0.347280323505402,0.246153846383095,8
"tic-tac-toe",256,"cone",0.01,0.347280323505402,0.246153846383095,8
"tic-tac-toe",1024,"rect",0.1,0.347280323505402,0.246153846383095,8
"tic-tac-toe",512,"rect",0.1,0.347280323505402,0.246153846383095,8
"tic-tac-toe",256,"rect",0.1,0.347280323505402,0.246153846383095,8
"tic-tac-toe",1024,"rect",1,0.347280323505402,0.246153846383095,8
"tic-tac-toe",512,"cone",1,0.347280323505402,0.246153846383095,8
"tic-tac-toe",512,"rect",1,0.347280323505402,0.246153846383095,8
"tic-tac-toe",256,"rect",1,0.347280323505402,0.246153846383095,8
"tic-tac-toe",1024,"rect",0.1,0.347280323505402,0.246153846383095,4
"tic-tac-toe",1024,"cone",1,0.347280323505402,0.246153846383095,4
"tic-tac-toe",1024,"rect",1,0.347280323505402,0.246153846383095,4
"tic-tac-toe",512,"rect",1,0.347280323505402,0.246153846383095,4
"tic-tac-toe",256,"rect",1,0.347280323505402,0.246153846383095,4
"tic-tac-toe",1024,"rect",1,0.347280323505402,0.246153846383095,3
"tic-tac-toe",512,"cone",1,0.347280323505402,0.246153846383095,3
