"dataset","testAccuracy","nhidden","nlayers","learningrate","layerForm","valAccuracy"
"breast-cancer-wisc-diag",0.626760601997375,256,32,0.01,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,32,0.01,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,32,0.1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,32,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,32,0.1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,32,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,32,0.1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760542392731,256,32,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,32,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,32,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,32,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760482788086,512,32,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,32,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,32,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,16,0.01,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760542392731,1024,16,0.01,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760542392731,512,16,0.01,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760542392731,512,16,0.01,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,16,0.01,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,16,0.01,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,16,0.1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,16,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,16,0.1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,16,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,16,0.1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,16,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,16,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760542392731,1024,16,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,16,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,16,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,16,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,16,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,8,0.01,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,8,0.01,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760542392731,512,8,0.01,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,8,0.1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,8,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,8,0.1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760542392731,512,8,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,8,0.1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,8,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,8,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,8,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,8,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,8,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,8,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760542392731,256,8,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,4,0.01,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760542392731,1024,4,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,4,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,4,0.1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,4,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,4,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,4,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760542392731,512,4,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,4,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,4,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,4,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,3,0.1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,3,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,3,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,3,0.1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,3,0.1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,3,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,3,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,3,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,3,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,3,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,3,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,2,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,1024,2,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760542392731,512,2,1,"cone",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,512,2,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.626760601997375,256,2,1,"rect",0.720930218696594
"breast-cancer-wisc-diag",0.373239427804947,256,4,0.01,"cone",0.279069781303406
