"dataset","testAccuracy","nhidden","learningrate","valAccuracy","nlayers","layerForm"
"heart-cleveland",0.565789461135864,1024,0.01,0.421052634716034,16,"cone"
"heart-cleveland",0.565789461135864,1024,0.01,0.421052634716034,16,"rect"
"heart-cleveland",0.565789461135864,512,0.01,0.421052634716034,16,"cone"
"heart-cleveland",0.565789461135864,512,0.01,0.421052634716034,16,"rect"
"heart-cleveland",0.565789461135864,256,0.01,0.421052634716034,16,"cone"
"heart-cleveland",0.565789461135864,256,0.01,0.421052634716034,16,"rect"
"heart-cleveland",0.565789461135864,1024,0.1,0.421052634716034,16,"cone"
"heart-cleveland",0.565789461135864,1024,0.1,0.421052634716034,16,"rect"
"heart-cleveland",0.565789461135864,512,0.1,0.421052634716034,16,"cone"
"heart-cleveland",0.565789461135864,512,0.1,0.421052634716034,16,"rect"
"heart-cleveland",0.565789461135864,256,0.1,0.421052634716034,16,"cone"
"heart-cleveland",0.565789461135864,256,0.1,0.421052634716034,16,"rect"
"heart-cleveland",0.565789461135864,1024,1,0.421052634716034,16,"cone"
"heart-cleveland",0.565789461135864,1024,1,0.421052634716034,16,"rect"
"heart-cleveland",0.565789461135864,512,1,0.421052634716034,16,"cone"
"heart-cleveland",0.565789461135864,512,1,0.421052634716034,16,"rect"
"heart-cleveland",0.565789461135864,256,1,0.421052634716034,16,"cone"
"heart-cleveland",0.565789461135864,256,1,0.421052634716034,16,"rect"
"heart-cleveland",0.565789461135864,256,0.01,0.421052634716034,8,"cone"
"heart-cleveland",0.565789461135864,1024,0.1,0.421052634716034,8,"cone"
"heart-cleveland",0.565789461135864,1024,0.1,0.421052634716034,8,"rect"
"heart-cleveland",0.565789461135864,512,0.1,0.421052634716034,8,"cone"
"heart-cleveland",0.565789461135864,512,0.1,0.421052634716034,8,"rect"
"heart-cleveland",0.565789461135864,256,0.1,0.421052634716034,8,"cone"
"heart-cleveland",0.565789461135864,256,0.1,0.421052634716034,8,"rect"
"heart-cleveland",0.565789461135864,1024,1,0.421052634716034,8,"cone"
"heart-cleveland",0.565789461135864,1024,1,0.421052634716034,8,"rect"
"heart-cleveland",0.565789461135864,512,1,0.421052634716034,8,"cone"
"heart-cleveland",0.565789461135864,512,1,0.421052634716034,8,"rect"
"heart-cleveland",0.565789461135864,256,1,0.421052634716034,8,"cone"
"heart-cleveland",0.565789461135864,256,1,0.421052634716034,8,"rect"
"heart-cleveland",0.565789461135864,1024,0.1,0.421052634716034,4,"cone"
"heart-cleveland",0.565789461135864,1024,0.1,0.421052634716034,4,"rect"
"heart-cleveland",0.565789461135864,512,0.1,0.421052634716034,4,"rect"
"heart-cleveland",0.578947365283966,256,0.1,0.421052634716034,4,"rect"
"heart-cleveland",0.565789461135864,1024,1,0.421052634716034,4,"cone"
"heart-cleveland",0.565789461135864,1024,1,0.421052634716034,4,"rect"
"heart-cleveland",0.565789461135864,512,1,0.421052634716034,4,"cone"
"heart-cleveland",0.565789461135864,512,1,0.421052634716034,4,"rect"
"heart-cleveland",0.565789461135864,256,1,0.421052634716034,4,"cone"
"heart-cleveland",0.565789461135864,256,1,0.421052634716034,4,"rect"
"heart-cleveland",0.565789461135864,1024,1,0.421052634716034,3,"cone"
"heart-cleveland",0.565789461135864,1024,1,0.421052634716034,3,"rect"
"heart-cleveland",0.565789461135864,512,1,0.421052634716034,3,"cone"
"heart-cleveland",0.565789461135864,512,1,0.421052634716034,3,"rect"
"heart-cleveland",0.565789461135864,256,1,0.421052634716034,3,"rect"
"heart-cleveland",0.592105269432068,1024,0.1,0.421052634716034,2,"rect"
"heart-cleveland",0.565789461135864,256,0.1,0.421052634716034,2,"cone"
"heart-cleveland",0.565789461135864,1024,1,0.421052634716034,2,"cone"
"heart-cleveland",0.565789461135864,1024,1,0.421052634716034,2,"rect"
"heart-cleveland",0.565789461135864,512,1,0.421052634716034,2,"cone"
"heart-cleveland",0.565789461135864,512,1,0.421052634716034,2,"rect"
"heart-cleveland",0.565789461135864,256,1,0.421052634716034,2,"rect"
"heart-cleveland",0.565789461135864,256,0.1,0.410526317358017,3,"cone"
"heart-cleveland",0.631578922271729,1024,0.1,0.405263161659241,3,"rect"
"heart-cleveland",0.592105269432068,1024,0.1,0.384210523962975,3,"cone"
"heart-cleveland",0.513157904148102,1024,0.01,0.368421047925949,2,"cone"
"heart-cleveland",0.11842105537653,512,0.01,0.12631579041481,4,"cone"
"heart-cleveland",0.039473682641983,1024,0.01,0.105263158679008,32,"cone"
