"dataset","testAccuracy","valAccuracy","nhidden","nlayers","learningrate","layerForm"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,32,0.01,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,32,0.01,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,32,0.01,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,32,0.01,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,32,0.1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,32,0.1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,32,0.1,"cone"
"conn-bench-vowel-deterding",0.0909090936183929,0.0555555559694767,512,32,0.1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,32,0.1,"cone"
"conn-bench-vowel-deterding",0.0909090936183929,0.0555555559694767,256,32,0.1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,32,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,32,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,32,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,32,1,"rect"
"conn-bench-vowel-deterding",0.0909090936183929,0.0555555559694767,1024,16,0.01,"cone"
"conn-bench-vowel-deterding",0.0909090936183929,0.0555555559694767,1024,16,0.01,"rect"
"conn-bench-vowel-deterding",0.0909090936183929,0.0555555559694767,512,16,0.01,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,16,0.01,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,16,0.01,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,16,0.01,"rect"
"conn-bench-vowel-deterding",0.0909090936183929,0.0555555559694767,1024,16,0.1,"cone"
"conn-bench-vowel-deterding",0.0909090936183929,0.0555555559694767,1024,16,0.1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,16,0.1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,16,0.1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,16,0.1,"rect"
"conn-bench-vowel-deterding",0.0909090936183929,0.0555555559694767,1024,16,1,"cone"
"conn-bench-vowel-deterding",0.0909090936183929,0.0555555559694767,1024,16,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,16,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,16,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,16,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,8,0.1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,8,0.1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,8,0.1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,8,0.1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,8,0.1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,8,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,8,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,8,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,8,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,8,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,8,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,4,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,4,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,4,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,4,1,"cone"
"conn-bench-vowel-deterding",0.0909090936183929,0.0555555559694767,256,4,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,3,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,256,3,1,"cone"
"conn-bench-vowel-deterding",0.0909090936183929,0.0555555559694767,256,3,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,1024,2,1,"rect"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,2,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0555555559694767,512,2,1,"rect"
"conn-bench-vowel-deterding",0.0909090936183929,0.0537037041038275,256,32,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0518518522381783,512,3,1,"rect"
"conn-bench-vowel-deterding",0.0909090936183929,0.050000000372529,512,4,1,"cone"
"conn-bench-vowel-deterding",0.0909090861678123,0.0370370373129845,512,8,0.1,"cone"
