"dataset","learningrate","nhidden","testAccuracy","layerForm","nlayers","valAccuracy"
"molec-biol-promoter",0.01,512,0.5,"rect",32,0.333333343267441
"molec-biol-promoter",0.01,256,0.5,"cone",32,0.333333343267441
"molec-biol-promoter",0.01,256,0.5,"rect",32,0.333333343267441
"molec-biol-promoter",0.1,1024,0.5,"rect",32,0.333333343267441
"molec-biol-promoter",0.1,512,0.5,"rect",32,0.333333343267441
"molec-biol-promoter",0.1,256,0.5,"cone",32,0.333333343267441
"molec-biol-promoter",0.1,256,0.5,"rect",32,0.333333343267441
"molec-biol-promoter",1,512,0.5,"cone",32,0.333333343267441
"molec-biol-promoter",1,256,0.5,"rect",32,0.333333343267441
"molec-biol-promoter",0.01,1024,0.5,"cone",16,0.333333343267441
"molec-biol-promoter",0.01,1024,0.5,"rect",16,0.333333343267441
"molec-biol-promoter",0.01,512,0.5,"cone",16,0.333333343267441
"molec-biol-promoter",0.01,512,0.5,"rect",16,0.333333343267441
"molec-biol-promoter",0.01,256,0.5,"cone",16,0.333333343267441
"molec-biol-promoter",0.01,256,0.5,"rect",16,0.333333343267441
"molec-biol-promoter",0.1,1024,0.5,"rect",16,0.333333343267441
"molec-biol-promoter",0.1,512,0.5,"rect",16,0.333333343267441
"molec-biol-promoter",0.1,256,0.5,"cone",16,0.333333343267441
"molec-biol-promoter",0.1,256,0.5,"rect",16,0.333333343267441
"molec-biol-promoter",1,1024,0.5,"cone",16,0.333333343267441
"molec-biol-promoter",1,1024,0.5,"rect",16,0.333333343267441
"molec-biol-promoter",1,512,0.5,"rect",16,0.333333343267441
"molec-biol-promoter",1,256,0.5,"rect",16,0.333333343267441
"molec-biol-promoter",0.01,1024,0.5,"cone",8,0.333333343267441
"molec-biol-promoter",0.01,1024,0.5,"rect",8,0.333333343267441
"molec-biol-promoter",0.01,512,0.5,"cone",8,0.333333343267441
"molec-biol-promoter",0.01,512,0.5,"rect",8,0.333333343267441
"molec-biol-promoter",0.01,256,0.5,"cone",8,0.333333343267441
"molec-biol-promoter",0.01,256,0.5,"rect",8,0.333333343267441
"molec-biol-promoter",0.1,1024,0.5,"cone",8,0.333333343267441
"molec-biol-promoter",0.1,1024,0.5,"rect",8,0.333333343267441
"molec-biol-promoter",0.1,512,0.5,"rect",8,0.333333343267441
"molec-biol-promoter",0.1,256,0.5,"rect",8,0.333333343267441
"molec-biol-promoter",1,1024,0.5,"rect",8,0.333333343267441
"molec-biol-promoter",1,512,0.5,"cone",8,0.333333343267441
"molec-biol-promoter",1,256,0.5,"cone",8,0.333333343267441
"molec-biol-promoter",1,256,0.5,"rect",8,0.333333343267441
"molec-biol-promoter",0.1,1024,0.5,"rect",4,0.333333343267441
"molec-biol-promoter",0.1,512,0.5,"rect",4,0.333333343267441
"molec-biol-promoter",0.1,256,0.5,"rect",4,0.333333343267441
"molec-biol-promoter",1,256,0.5,"rect",4,0.333333343267441
"molec-biol-promoter",0.1,256,0.5,"cone",3,0.333333343267441
"molec-biol-promoter",0.1,256,0.5,"rect",3,0.333333343267441
"molec-biol-promoter",1,1024,0.5,"cone",3,0.333333343267441
"molec-biol-promoter",1,1024,0.5,"rect",3,0.333333343267441
"molec-biol-promoter",1,256,0.5,"cone",3,0.333333343267441
"molec-biol-promoter",1,256,0.5,"rect",3,0.333333343267441
"molec-biol-promoter",1,512,0.5,"cone",2,0.333333343267441
"molec-biol-promoter",1,512,0.5,"rect",2,0.333333343267441
