"dataset","nhidden","testAccuracy","learningrate","nlayers","layerForm","valAccuracy"
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,0.1,32,"rect",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,0.1,32,"rect",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,1,32,"rect",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,1,32,"rect",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,1,32,"rect",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.01,16,"rect",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,0.01,16,"cone",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,0.01,16,"rect",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,0.01,16,"cone",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,0.01,16,"rect",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.1,16,"cone",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.1,16,"rect",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,0.1,16,"rect",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,0.1,16,"cone",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,0.1,16,"rect",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,1,16,"cone",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,1,16,"rect",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,1,16,"cone",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.01,8,"cone",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.01,8,"rect",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,0.01,8,"rect",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,0.01,8,"rect",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.1,8,"cone",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.1,8,"rect",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,0.1,8,"rect",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,0.1,8,"rect",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,1,8,"cone",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,1,8,"rect",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,1,8,"cone",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,1,8,"rect",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,1,8,"cone",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,1,8,"rect",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.1,4,"cone",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.1,4,"rect",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,0.1,4,"rect",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,1,4,"cone",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,1,4,"cone",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.1,3,"rect",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,0.1,3,"cone",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,0.1,3,"rect",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,1,3,"rect",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,1,3,"rect",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,1,3,"rect",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,1,2,"cone",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,1,2,"rect",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,1,2,"cone",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,1,2,"rect",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,1,2,"cone",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,1,2,"rect",0.25
